name;age;price;description
Jessica Stevenson;43.0;9.1;'''This agent room; Want senior political war personal ; Cell system ball'''
Olivia Mckinney;87.0;40.1;'''North house; Inside bed factor notice Customer we tonight lose'''
Jon Willis;35.0;55.1;'''Herself think; Thought Reason'''
Alexandra West;22.0;88.1;'''(Law conference instead ask) ; Very likely and Brother kid'''
Russell Smith;97.0;27.1;'''Note: Nothing; then Season spring'''
x;18.0;62.1;'''(Single section rather goal response act) ; Drug cell and Seek doctor note member some'''
Ronald Medina;67.0;99.1;'''We time; Receive pass shoulder local condition Power could mind model community'''
James Ross;97.0;57.1;'''Along cause coach customer or: Individual argue start; Your drop station different despite need'''
James Garcia;78.0;17.1;'''Market model color; Card ; Possible full'''
Angela Parrish;87.0;96.1;'''Draw and plant small everybody; Mention toward growth Walk enter'''
Ann Caldwell;51.0;90.1;'''Analysis image: History natural voice whole; Environment institution others'''
Melissa Chapman;14.0;64.1;'''Note: Job challenge; then Everybody appear fund while term various'''
Brian Fitzgerald;77.0;62.1;'''(Magazine) ; Tend and Ability determine compare'''
Richard Lowe;98.0;97.1;'''Poor instead west none; Politics fact Likely as nature'''
Tyler Blackwell;55.0;18.1;'''Arrive capital; Though itself ago drop huge Study kind trouble'''
Penny Nguyen;53.0;94.1;'''Around occur manage; Interest appear learn job Democrat ; Civil century young'''
Tyler Phillips;30.0;28.1;'''(Per news crime) ; End benefit civil and Help watch someone writer'''
Mr. Christopher Jordan;91.0;14.1;'''(Condition) ; Standard special when check and Girl wish set'''
James Schmidt;96.0;53.1;'''Cold land city: Market board even; Management available yard even heavy'''
Michael Brown;73.0;47.1;'''Around build interview; Season Win financial wall'''
Dr. Matthew Bradley;34.0;16.1;'''Camera ball building raise; Morning talk Color serve beyond message per'''
John Scott MD;19.0;71.1;'''Somebody sell fact: Better agent help minute become; Interesting town walk nice TV'''
Thomas Morris;7.0;98.1;'''Worry dark; Film us Pressure guy up'''
David Bernard;33.0;92.1;'''Note: Once authority; then Coach past hold movie society'''
Dennis Turner;92.0;74.1;'''Six month; Product form moment city nation go Main until'''
Dr. Rebecca Nicholson;;32.1;'''Note: Position address wear conference; then Home'''
Daniel Hurst;29.0;37.1;'''Environmental; Serve single here standard build ; American feel price'''
Amanda Williams;71.0;13.1;'''Yes: Fire recent; High million company now'''
Brittney Weeks;98.0;78.1;'''Around food: War check late true describe power; Quality check trip stuff'''
Amber Ali;23.0;15.1;'''Note: What; then And environmental sell'''
John Santana;14.0;6.1;'''(Seem answer property appear) ; Although worry whom and Important final environmental less'''
Stacey Butler;64.0;98.1;'''Suffer red prepare: After shake instead again often real; Commercial why interest'''
Leslie Lee;47.0;96.1;'''Red address call manage citizen unit: Similar full; Hold case yourself weight'''
Troy Campbell;68.0;;'''Begin similar service; Cold campaign American now adult to ; Least'''
Larry Andersen;39.0;88.1;'''(Billion) ; Popular seem season and Accept foot allow pattern research feel'''
Megan Watson;64.0;41.1;'''Option road; Across laugh easy Offer hospital hand'''
Susan Austin;92.0;15.1;'''Note: On save; then Environment paper'''
Troy Horton;2.0;74.1;'''Democrat authority so ask; Alone authority Experience trouble note enough'''
Ashley Giles;69.0;59.1;'''Likely foot difference foreign: Hold inside; Matter speak tax garden'''
Melissa Nelson;82.0;62.1;'''(Happen push) ; Prevent thus site and Church east tell join'''
