username,name,score,comment
lori_buckley_8701,Lori Buckley,87.0,'''Name meeting simply; Nice , Lay media direction'''
debra_duncan_7400,Debra Duncan,87.0,'''Trial stage; Call , Not agent I cup serious'''
douglas_melendez_3803,Douglas Melendez,91.0,'''Outside crime sort, Course near business Half red'''
xavier_pollard_4340,Xavier Pollard,31.0,'''Growth however, Minute break tree another More political various any traditional we'''
darius_wu_1080,Darius Wu,,'''Summer ahead point guy out choose, Effect Else often against war role'''
susan_price_1201,Susan Price,18.0,'''Note: That piece, then High often'''
jenny_ramsey_1079,Jenny Ramsey,20.0,'''Woman student sea sort change, Off later investment Skill arm hear only'''
chloe_martin_9625,Chloe Martin,17.0,'''Just firm each; Pattern win , Tell compare firm next doctor writer'''
stephanie_fischer_0196,Stephanie Fischer,93.0,'''Above measure individual; Not fast , Pretty feeling wear'''
amy_gonzalez_3137,Amy Gonzalez,88.0,'''Smile response; Keep open car he catch , Rate economy east'''
jonathan_oconnor_6985,Jonathan Oconnor,32.0,'''Perhaps believe music, Candidate Kid east'''
william_arnold_8913,William Arnold,94.0,'''Note: Away measure light, then Scientist live'''
tammy_mcdonald_6640,Tammy Mcdonald,80.0,'''(Stop represent few) , Protect last and Writer statement'''
alison_mcguire_3987,Alison Mcguire,71.0,'''Open clearly cold; Perhaps send thank wide pay up , At see'''
richard_zamora_5518,Richard Zamora,86.0,'''Natural together better foot; High history , Soldier short'''
gabrielle_moore_2027,Gabrielle Moore,62.0,'''Account year; Not water , Year yourself'''
scott_matthews_7848,o,72.0,'''(Response) , Maintain and Clearly example'''
allen_nunez_6545,Allen Nunez,48.0,'''(Bit) , Especially region citizen and Level tonight yourself force dog'''
edward_craig_7306,Edward Craig,42.0,'''Change off lawyer through, Science management prevent Bring need poor individual control value'''
vanessa_harris_1506,Vanessa Harris,59.0,'''Note: Under money own, then Cause success brother most'''
kimberly_thomas_4977,Kimberly Thomas,72.0,'''Note: Truth dinner, then Language newspaper half take'''
