name;score;rating;summary;description
Dr Brett Anderson;49.0;24.1;"""(Quas reiciendis unde nemo debitis) ; Facilis veniam doloribus and Possimus""";"""Inventore laudantium exercitationem repudiandae; Earum a corrupti ; Hic quis eum"""
Max Hayward;97.0;95.1;"""Note: Ipsam vel ad numquam; then Expedita""";"""Ratione: Deleniti corrupti; Vitae error fugit alias perspiciatis"""
Irene O'Brien-Holmes;70.0;46.1;"""(Necessitatibus id) ; Culpa ipsum and Vero veritatis iste nemo""";"""Magni dolor soluta at; Modi aut doloribus ; Nesciunt accusantium aliquam"""
Amanda Hughes;74.0;61.1;"""Velit amet; Quam quos officia soluta ; Vero cumque temporibus""";"""Note: Nisi non; then Est"""
Frank Williams;81.0;38.1;"""Sunt ducimus ex numquam; Praesentium sint eius blanditiis tenetur omnis ; Pariatur expedita""";"""Facere: Repellat doloremque dignissimos voluptates; Numquam ullam perferendis"""
Kieran Gough;29.0;34.1;"""(Harum maxime) ; Harum debitis beatae quidem quisquam occaecati and Quia""";"""Nihil voluptate molestias: Fugit perspiciatis atque quo; Eveniet ex libero sunt"""
Jonathan Davies;35.0;49.1;"""Hic asperiores quidem; Nostrum optio ; Architecto""";"""Consequatur id nam quo; Consectetur occaecati eligendi enim Et voluptates aliquam ad aliquam officiis"""
Miss Michelle Lyons;15.0;87.1;"""Note: Quia dolores amet ex; then Architecto""";"""Ducimus; Hic cum magnam Officia odio repudiandae recusandae corrupti aut"""
Joshua Rees;32.0;35.1;"""Ex odio possimus: Eum in tempore; Amet eveniet fugit est error""";"""Qui vel ipsa deleniti culpa inventore; Maiores ipsa ; Recusandae saepe"""
Mr Lewis Reid;51.0;18.1;"""Tempore sapiente dolores: Dicta dolor expedita error veritatis; Vel hic in""";"""Tempore eum deserunt ea recusandae; Dicta vitae recusandae ipsa Repellendus autem est porro earum laborum"""
Jenna Brown;71.0;93.1;"""Perferendis; Veritatis sed fugit mollitia repellendus illum Nostrum blanditiis occaecati illo consequuntur""";"""Ex minus; Aliquid voluptas esse ; Accusantium ea"""
Aaron Hall;84.0;69.1;"""(Animi distinctio sint) ; Accusamus recusandae doloremque fuga distinctio and Illum excepturi nesciunt""";"""Note: Saepe earum voluptatum voluptates; then Nesciunt labore"""
Abdul Myers;21.0;69.1;"""(Sapiente possimus ab sequi) ; Odit voluptatem and Autem""";"""(Qui tenetur eligendi) ; Quaerat esse assumenda earum and Doloribus ut"""
