username,name,total_count,salary,remark
toby_fletcher_8675,Toby Fletcher,65.0,25.1,"""(Inventore autem accusantium amet rerum) , Adipisci modi in similique and Harum quod et aliquam"""
lauren_martin_6797,Lauren Martin,91.0,72.1,"""Note: Voluptas cumque nihil nostrum delectus aperiam, then Laboriosam consectetur"""
alexander_davies_2628,Alexander Davies,60.0,69.1,"""Eaque natus tempore impedit quam dolorem, Culpa totam nulla Quod sit doloremque sint"""
clifford_mills_3187,Clifford Mills,45.0,,"""Quo officiis quam culpa sequi, Id a maxime veniam Placeat ad hic sed"""
william_joyce_8446,William Robertson-Joyce,76.0,40.1,"""Cum illo dolorum inventore, Quia Laborum rem assumenda laudantium asperiores"""
gemma_russell_1642,Gemma Russell,89.0,64.1,"""Note: Maxime omnis aliquam, then Perspiciatis"""
edward_doyle_5144,Edward Doyle,86.0,64.1,"""Mollitia ad aperiam, Fuga Perspiciatis"""
mr_bradley_2342,Mr Gerard Bradley,16.0,77.1,"""Earum debitis possimus, Quis Autem accusantium ipsum voluptates magni"""
patricia_robertson_7728,Patricia Robertson,81.0,37.1,"""(Esse velit veniam) , Eius ex and Mollitia similique quisquam dolorum soluta consequuntur"""
angela_williams_1532,Angela Williams,16.0,65.1,"""Dolore reiciendis labore, Ratione Reprehenderit corporis"""
eileen_harris_6637,Eileen Preston-Harris,21.0,27.1,"""Accusantium doloremque voluptatem quod; Quasi , Nulla facilis"""
catherine_wright_4251,Catherine Hussain-Wright,8.0,96.1,"""(Perferendis molestiae aliquid) , Corporis ipsum and Nesciunt expedita"""
amy_law_3260,Amy Law,15.0,20.1,"""Est pariatur: Voluptatem error aliquid, Magnam eaque"""
olivia_bennett_0118,Olivia Bennett,35.0,93.1,"""Eius, Tempore animi alias perspiciatis sit Libero iste"""
linda_hall_3928,e,31.0,1.1,"""Officia: Quibusdam asperiores quasi, Reiciendis nisi"""
mr_reynolds_7100,Mr Adam Reynolds,25.0,59.1,"""Libero facilis ipsa, Fugiat inventore repellat Cupiditate similique aperiam voluptas"""
dr_thomas_1957,Dr Karl Thomas,27.0,81.1,"""Fuga eius totam voluptatem: Maxime doloremque, Molestiae in quaerat iste"""
ms_brady_3527,Ms Carly Brady,81.0,79.1,"""(Deleniti et) , Saepe quo and Praesentium reprehenderit"""
bradley_wright_8972,Bradley Johnson-Wright,,26.1,"""Soluta saepe porro voluptate; Debitis blanditiis , Quam eos aliquam"""
clifford_moran_1927,Clifford Moran,54.0,73.1,"""Note: Nisi sit consequatur distinctio, then Quibusdam repudiandae"""
dr_williams_7739,Dr Lydia Williams,21.0,8.1,"""Note: Quam veritatis, then Incidunt sed aliquid ad"""
tina_mitchell_3356,Tina Mitchell,73.0,29.1,"""Illum; Perferendis quo magnam ab aliquam , Cum possimus fugit dicta hic"""
danielle_poole_0238,Danielle Poole,94.0,95.1,"""Repellat ratione: Laudantium porro quo ipsam, Maxime tenetur"""
antony_bradshaw_5185,Antony Bradshaw,52.0,9.1,"""Et repudiandae autem eum: Facere natus suscipit nulla quo, Quam"""
marie_hill_4941,Marie Hill,67.0,35.1,"""Blanditiis culpa quasi fugit minima; Totam ut , Voluptates ut repellat aspernatur aperiam doloremque"""
sam_collier_8433,Sam Short-Collier,54.0,39.1,"""Note: Cupiditate, then Eligendi"""
miss_pugh_9643,Miss Katy Pugh,85.0,82.1,"""(Provident at iste) , Quae provident and Dicta molestias"""
rosie_davies_9499,Rosie Davies,47.0,94.1,"""Note: Sapiente, then Deserunt voluptatibus"""
pamela_hardy_8100,Pamela Hardy,67.0,69.1,"""(Architecto quisquam vero labore) , Optio quibusdam voluptates and Expedita"""
maria_jones_8439,Maria Jones,50.0,79.1,"""Note: Odit, then Exercitationem assumenda optio error"""
