username;name;salary;total_count;note;remark
sheila_lynch_4279;Sheila Lynch;71.0;29.1;"""Rem quae totam; Sed ; Hic eveniet""";"""Odio; Neque esse rem ; Explicabo facilis quos at"""
samantha_smith_0503;Samantha Smith;73.0;84.1;"""Molestias occaecati repellat necessitatibus: Reiciendis deleniti itaque; Explicabo repellat non""";"""Rerum eligendi: Fugiat inventore reprehenderit; Maxime"""
mrs_jones_8373;Mrs Dawn Jones;42.0;90.1;"""Note: Ipsum quos sunt; then Laboriosam ab illum atque consequuntur""";"""Veniam occaecati non molestiae; Nostrum dolores ; Voluptas"""
dr_williams_1908;Dr Sarah Williams;63.0;;"""(Atque) ; Debitis aliquam and Sed neque""";"""Quos quisquam repellat; Quis sapiente reiciendis accusantium ; Consequuntur assumenda officia accusamus"""
gregory_clayton_9179;Gregory Clayton;78.0;9.1;"""Nobis molestias voluptatibus nesciunt; At laudantium Facere""";"""Eaque odio at vel sequi; Provident ; Libero facere nostrum quos"""
henry_king_6794;Henry Singh-King;34.0;84.1;"""Sequi; Doloribus fuga beatae Exercitationem labore quo non""";"""Note: Eveniet nesciunt maxime; then Maxime reprehenderit"""
bethany_mitchell_3537;Bethany Mitchell;55.0;9.1;"""Note: Magni; then Nihil culpa""";"""Quaerat beatae: Reprehenderit deserunt distinctio quibusdam cupiditate; Numquam praesentium"""
george_coleman_5233;George Coleman;62.0;92.1;"""Pariatur quae consequatur quis facilis atque; Possimus dolor libero Nisi aliquam ipsum""";"""Note: Id placeat sed; then Expedita est"""
emily_bond_9209;Emily Atkinson-Bond;81.0;100.1;"""Note: Nihil placeat; then Error necessitatibus inventore natus tempora""";"""Excepturi; Exercitationem facilis numquam Tempora autem accusamus autem"""
samuel_chapman_2140;Samuel Chapman;64.0;22.1;"""(Perspiciatis quos) ; Eveniet ad assumenda sequi nisi impedit and Ullam repellendus illum""";"""Doloribus aliquam laboriosam; Animi rerum Numquam nam"""
gavin_franklin_7966;Gavin Franklin;49.0;47.1;"""Sequi consequuntur accusamus nesciunt natus; Perferendis vel ; Autem ex reprehenderit quam cumque autem""";"""Commodi sit libero consequuntur molestias; Dolores provident numquam odio ; Voluptate cupiditate in"""
ashley_farrell_6304;Ashley Hayes-Farrell;75.0;73.1;"""Note: Ullam amet; then Officiis""";"""Vero delectus ea explicabo; Deleniti eum enim Laboriosam fugiat saepe"""
sian_smith_8548;Sian Smith;27.0;52.1;"""Note: Porro saepe veniam; then Aliquam eligendi quidem sint maxime""";"""Note: Quasi eveniet; then Quidem impedit"""
ronald_clarke_7961;Ronald Clarke;53.0;90.1;"""Note: Quia cupiditate soluta quas quidem; then Labore cumque necessitatibus repellat magni""";"""Architecto minima; Minima similique autem odit ab Eius aspernatur"""
mrs_sharpe_8118;Mrs Katie Sharpe;64.0;50.1;"""Sunt ex; Pariatur sapiente ; Tempore""";"""(Dolores mollitia iusto) ; Quibusdam itaque voluptatibus unde ex and Nobis sint consequuntur"""
mr_king_8747;Mr Arthur King;25.0;63.1;"""(Qui asperiores esse amet) ; Nihil fugit and Porro impedit beatae praesentium""";"""Note: Aperiam repellendus itaque fuga fuga veniam; then Modi ea laboriosam"""
