# This is a comment line to skip
name,username,rating,total_count,salary,remark
Brandi Soto,brandi_soto_9476,70.0,98.1,7.2,"""Clear check, Power particularly Dark"""
David Ellis,david_ellis_1777,47.0,69.1,16.2,"""Lead father: Return, Second increase"""
Shannon Moyer,shannon_moyer_2230,66.0,42.1,46.2,"""Sort professor: Run physical, Card pressure lawyer trial"""
Phillip Gutierrez,phillip_gutierrez_6279,59.0,19.1,70.2,"""Building senior project: Likely successful however, Bit"""
Kevin Fleming,kevin_fleming_4894,89.0,61.1,7.2,"""A air: I, Individual generation example point college"""
Amber Schmidt,amber_schmidt_7668,64.0,55.1,29.2,"""Throw gas: Yet, Occur interview finally road you"""
Nicole Juarez,nicole_juarez_8802,78.0,13.1,,"""Maintain character them: Majority Mr, Edge all"""
Megan Jones,megan_jones_0383,63.0,81.1,64.2,"""(Leave expect same budget seat oil) , Store fact and Foreign field"""
Mary Smith,mary_smith_7457,95.0,72.1,63.2,"""(Together claim) , Two and Policy"""
Amy Goodwin,amy_goodwin_2844,69.0,49.1,64.2,"""Sea: Free most during, Article specific"""
John Cole,john_cole_6857,87.0,58.1,39.2,"""Half both they; Cause matter , Mission of foreign trouble"""
Sean Tate,sean_tate_1646,92.0,28.1,97.2,"""Family country; Figure career bag firm over , This"""
Jeremy Watson,jeremy_watson_4256,52.0,50.1,58.2,"""Pass able: Recent our share article forget move, Consumer everybody"""
Sabrina Baker,sabrina_baker_4264,61.0,10.1,52.2,"""Around ago; Old , Policy reveal"""
Michael Brown,michael_brown_5359,48.0,100.1,87.2,"""(Figure) , Western most she and Example catch what use"""
Heather Donaldson,heather_donaldson_5876,91.0,72.1,80.2,"""Sign forward single movement mouth: North key over, Structure direction computer dark trial"""
Kevin Young,kevin_young_0448,74.0,19.1,76.2,"""Note: Song must against hold, then Himself policy just chance church enjoy"""
David Wilson,david_wilson_4811,45.0,29.1,73.2,"""Rate water language special; Chance trouble risk American , Eight development success decade"""
Samuel Brown,samuel_brown_3688,89.0,18.1,25.2,"""(Important management turn) , Direction indeed boy relate and Should"""
Bryan Pham,bryan_pham_8681,55.0,,46.2,"""Clear however without: Art authority drive parent, Poor"""
Thomas Johnson,thomas_johnson_7492,48.0,31.1,56.2,"""(Station full range) , Number fire including arrive and Guess serve"""
Morgan King,morgan_king_6168,81.0,87.1,83.2,"""Television clearly far enough culture: Remain relationship bar including single, Responsibility watch think"""
Barbara Kramer,barbara_kramer_3048,24.0,71.1,74.2,"""Occur red hot view, Oil issue Personal mission information"""
Sean Lee,sean_lee_9376,30.0,16.1,7.2,"""(Else hand seven) , Technology poor under together and According also two"""
David Mckinney,david_mckinney_6940,27.0,61.1,51.2,"""(Eight raise) , Course possible administration hit out and Some full"""
Robert Peterson,robert_peterson_7509,50.0,4.1,8.2,"""Note: Easy ready machine, then Smile reveal and fish art staff"""
Jack Mckinney,jack_mckinney_5743,82.0,8.1,96.2,"""(Mother find bed strong) , Money deal general draw and Standard"""
Michael Lowery,michael_lowery_0560,86.0,100.1,34.2,"""(Down) , Thousand pass and Pretty reach animal my"""
Micheal Krueger,micheal_krueger_9049,37.0,53.1,34.2,"""Note: Direction person reduce item, then Where reach"""
Kiara Wilson MD,kiara_md_6206,52.0,55.1,98.2,"""Cultural answer view: Bill page miss now, Agreement response"""
Alisha Hines,alisha_hines_2006,55.0,77.1,35.2,"""Second some challenge whom: Number, Nature would"""
Karen Marshall,karen_marshall_5057,72.0,72.1,22.2,"""Necessary thing should career: Reduce either until, College specific"""
Daniel Cox,daniel_cox_6325,79.0,66.1,39.2,"""Audience, Respond adult find investment I Before"""
Jose Dennis,jose_dennis_7294,64.0,69.1,40.2,"""Note: Everyone forget TV crime democratic, then Over without it stay"""
Autumn Patterson,autumn_patterson_0390,37.0,8.1,84.2,"""Network yet majority; Stand despite the , Action"""
Ian Wilson,ian_wilson_3022,98.0,96.1,9.2,"""Politics eat fire, Themselves crime Perform"""
Zachary Williams,zachary_williams_2629,46.0,65.1,25.2,"""Available score agree sense bank, Pay goal evening admit Learn future run race enough"""
Gabriel White,gabriel_white_3050,61.0,26.1,80.2,"""Note: Heavy foot, then Court best line"""
Ricky Gallegos,ricky_gallegos_8362,25.0,35.1,22.2,"""Manage summer live, Economy life ever subject similar Book light really"""
David Brown,david_brown_8289,48.0,32.1,7.2,"""Focus two dinner, Minute standard Third though call small against even"""
Juan Frazier,juan_frazier_0809,14.0,4.1,70.2,"""Although spring: View direction service, Leader"""
Scott Wood,scott_wood_5793,27.0,69.1,76.2,"""Nation kitchen our, Build safe wife Writer always"""
Ryan Mccoy,ryan_mccoy_7495,,59.1,14.2,"""Peace second oil; Full , Begin develop growth"""
Christopher Newton,christopher_newton_0364,19.0,41.1,65.2,"""Note: More bring together performance mission, then Discuss wind firm"""
Loretta Cochran,loretta_cochran_0965,62.0,87.1,10.2,"""Participant, More together run bit Week program"""
Donald Yoder,donald_yoder_4550,48.0,99.1,43.2,"""Child pretty: Head sound claim, Open soldier"""
Melinda Rodriguez,melinda_rodriguez_0635,65.0,88.1,56.2,"""(General degree) , Bag cup fill skin and Western everybody movement teach oil house"""
Terri Peterson,terri_peterson_2813,30.0,20.1,29.2,"""Personal else history shake it: Cold simply kind, You believe"""
John Harris,john_harris_6153,43.0,22.1,1.2,"""Back; From receive call look , Citizen fall paper agency"""
e,aaron_nielsen_3133,88.0,27.1,31.2,"""Radio; Camera worker , Particularly bed usually pick although"""
