name,username,age,salary,price,remark
Jason Marshall,jason_marshall_3807,89.0,64.1,22.2,'''Note: Still market stage heart, then Tough wide final low'''
Ricky Mcbride,ricky_mcbride_3679,66.0,3.1,67.2,'''Note: Computer pull occur serve media, then Really board child summer'''
Erik Burch,erik_burch_4672,,40.1,71.2,'''(Five woman so) , Option know and Age billion spring'''
Lori Rogers,lori_rogers_3659,91.0,68.1,80.2,'''Note: Month night soldier community really someone, then Management establish area challenge'''
Stephanie Martin,stephanie_martin_1300,83.0,63.1,70.2,'''Value natural, Take important Result thus interesting author'''
Ashley Tate,ashley_tate_1893,77.0,58.1,85.2,'''Audience recognize: Our wife, South bill strong half onto'''
D,samuel_bryant_2543,31.0,84.1,31.2,'''Parent responsibility rate real side, Important it family radio Like'''
Alexander Larson,alexander_larson_0188,77.0,5.1,89.2,'''(Safe) , Question and Certainly bit move'''
Kristen Brown,kristen_brown_3856,13.0,32.1,69.2,'''Congress instead parent live provide rather; Reveal home , Far her structure fact'''
Veronica Reese,veronica_reese_5663,1.0,75.1,4.2,'''Note: Common skin, then Them none'''
Karen Miller,karen_miller_9856,69.0,,57.2,'''Employee night, Form Rock similar technology'''
Lee Morales,lee_morales_7147,16.0,98.1,53.2,'''Especially, Thought three financial support real Someone five choose list'''
Tammy Travis,tammy_travis_7023,83.0,54.1,18.2,'''(During same agency) , Success impact individual degree and Clearly'''
Mackenzie Davila,mackenzie_davila_4592,28.0,57.1,,'''Away book allow although: Side involve process, Remember price serious'''
Adam Schneider,adam_schneider_5253,72.0,92.1,98.2,'''Trade; Wide , Media research information raise'''
Lisa Marquez,lisa_marquez_5545,16.0,31.1,95.2,'''Note: Avoid inside me similar, then Foot service become executive decade'''
Mark Jenkins,mark_jenkins_1073,63.0,86.1,96.2,'''Against change: Dream environment middle often, Will art human score since'''
Brittney Edwards,brittney_edwards_4012,44.0,82.1,45.2,'''Thousand community floor agree art leader, Seem set personal State consider'''
Dennis Kim,dennis_kim_6176,6.0,75.1,29.2,'''Check yes: Child, Pick cover'''
Emily Cooper,emily_cooper_0953,8.0,12.1,78.2,'''Head; Until poor yourself author anyone , Issue'''
