name;username;price;rating;total_count;summary
Dr Kevin Wilson;dr_wilson_8530;48.0;60.1;10.2;'''(Voluptates quas) ; Nulla amet officiis and Voluptatum repudiandae ipsa mollitia'''
Mrs Elizabeth Kennedy;mrs_kennedy_9937;14.0;38.1;29.2;'''(Deleniti optio inventore eius id optio) ; Veritatis totam perspiciatis and Voluptatum'''
Mr Dennis Whitehouse;mr_whitehouse_4271;;48.1;79.2;'''(Aut) ; Illo and Repellendus sunt'''
Cameron Roberts;cameron_roberts_5710;45.0;12.1;57.2;'''Quia voluptate expedita; Fuga Sunt nostrum debitis delectus'''
Neil Patel;neil_patel_8943;51.0;100.1;87.2;'''(Blanditiis quidem) ; Reprehenderit and Optio incidunt repudiandae'''
Thomas Bryan;thomas_bryan_7926;24.0;81.1;56.2;'''(Temporibus architecto sequi assumenda) ; Recusandae similique and Eveniet ipsum reiciendis deleniti'''
Ms Karen Gilbert;ms_gilbert_6495;45.0;93.1;55.2;'''Tempore inventore; Aliquam totam corporis sapiente id aperiam Velit consequatur nostrum saepe'''
Terry Stephenson;terry_stephenson_6168;77.0;6.1;93.2;'''Nulla aspernatur quis porro ducimus perferendis; Repudiandae quaerat eum Perferendis delectus'''
Gavin Baker;gavin_baker_3139;78.0;58.1;81.2;'''(Earum) ; Quaerat rerum iusto and Facere suscipit esse dolorum'''
Mr Richard Smith;mr_smith_4618;55.0;49.1;4.2;'''Ea fugit; Architecto ducimus doloremque Animi'''
Wayne Webb-Sharp;wayne_sharp_9364;38.0;48.1;21.2;'''Sequi facere; Vel soluta tenetur consequatur ; Asperiores labore perspiciatis sint'''
Olivia Peacock;olivia_peacock_3000;85.0;33.1;17.2;'''(Culpa) ; Libero tempora adipisci and Vel sunt'''
Maureen Taylor;maureen_taylor_1351;73.0;98.1;33.2;'''Nobis quibusdam cupiditate odio distinctio; Eveniet numquam praesentium accusamus Aperiam molestiae labore provident'''
Robin Reeves-Davies;robin_davies_1590;24.0;54.1;24.2;'''Magnam mollitia magnam; Quod ea sapiente facilis Doloribus deleniti odio libero sit dolorem'''
Dr Lauren Barber;dr_barber_5425;85.0;62.1;95.2;'''(Sunt voluptatibus) ; Temporibus illo and Veritatis illum'''
Heather Harper;heather_harper_3913;80.0;22.1;30.2;'''(Mollitia soluta) ; Accusamus nesciunt esse and Perferendis qui occaecati impedit'''
Marcus Barnett;marcus_barnett_6872;71.0;14.1;13.2;'''Note: Expedita autem ab sed fugiat; then Illo corporis'''
Ross Parry;ross_parry_6057;33.0;8.1;91.2;'''Numquam quidem; Explicabo ab architecto Distinctio quasi optio aspernatur excepturi illum'''
Joseph Clements;joseph_clements_4882;65.0;73.1;43.2;'''Voluptatum hic quod non; Optio ; Dignissimos ab'''
Francis Hunter;francis_hunter_7228;88.0;35.1;17.2;'''Enim accusantium at; Dolorem facere iusto dolorem atque ; Beatae unde'''
Andrew Parker-Smith;andrew_smith_7759;98.0;;64.2;'''Note: Ipsum temporibus totam corporis quidem; then Aliquid nihil velit officia nesciunt'''
Mr Marcus Pearson;mr_pearson_7022;7.0;96.1;87.2;'''(Culpa enim) ; Id ut accusantium quasi ratione and Quae sed'''
Tom Brown;tom_brown_7120;3.0;83.1;14.2;'''Optio excepturi explicabo; Delectus quisquam sapiente est ; Sit'''
Miss Rosemary Thomas;miss_thomas_5257;10.0;98.1;;'''Provident repudiandae; Provident ; Ratione neque'''
Richard Bishop;richard_bishop_5590;93.0;64.1;16.2;'''Iure labore; Magni ; Velit aliquid quasi corporis vel doloremque'''
Dr Ryan Clements;dr_clements_3635;58.0;87.1;64.2;'''Dolore; Cupiditate occaecati repudiandae voluptatibus ; Expedita'''
Leigh Brooks-Hall;leigh_hall_5617;25.0;52.1;62.2;'''(Omnis quod atque doloribus) ; Aut expedita fugit reiciendis ipsum and Minima recusandae nulla incidunt aperiam'''
Connor Walsh;connor_walsh_6100;80.0;74.1;15.2;'''Quis sint occaecati reprehenderit laboriosam; Dicta ab ipsam illum Nemo culpa animi vero ducimus ab'''
x;douglas_riley_5629;88.0;90.1;53.2;'''Note: Corporis; then Iusto'''
