username;name;rating;total_count;age;remark
jacob_goodman_1943;Jacob Goodman;9.0;87.1;80.2;"""Note: Friend; then Card"""
destiny_jones_9291;Destiny Jones;22.0;63.1;42.2;"""Ok job store among; As ; Discover image region soon size family"""
denise_fisher_0015;Denise Fisher;46.0;87.1;40.2;"""(Student month effect) ; Mention special short member and See risk"""
shannon_bates_1686;Shannon Bates;82.0;34.1;10.2;"""Note: Account along leg agency; then Boy focus ready"""
steven_humphrey_2700;Steven Humphrey;50.0;85.1;83.2;"""Crime: Yard child final take; Man region"""
jessica_elliott_9680;Jessica Elliott;70.0;10.1;83.2;"""So force: Exactly of job well; One new describe"""
stephanie_jackson_4790;Stephanie Jackson;11.0;66.1;46.2;"""Have although accept; Break read modern recent Whom seek research executive"""
henry_hill_3406;Henry Hill;20.0;66.1;42.2;"""Trip moment; Cultural standard game eye man Phone just"""
mary_carr_5479;Mary Carr;40.0;33.1;83.2;"""Partner report reflect music; Discussion remain speech kitchen sit million Major employee"""
sharon_smith_4893;Sharon Smith;64.0;45.1;88.2;"""Option mean; Care true commercial reality ; Threat enjoy time story early"""
benjamin_diaz_8552;Benjamin Diaz;41.0;98.1;42.2;"""Catch might someone; Computer enough morning side support Inside yeah call smile"""
wayne_reed_7751;Wayne Reed;38.0;92.1;39.2;"""(Job light sport) ; And million and Visit happen business already spring"""
joseph_flores_0898;Joseph Flores;56.0;45.1;20.2;"""Note: Manage which up; then Great have say"""
ann_flynn_0837;Ann Flynn;16.0;29.1;45.2;"""(Answer contain not item government plan) ; Mean stand and Action law less see"""
eric_hill_9361;Eric Hill;77.0;77.1;6.2;"""(Attorney military sure must) ; Them investment and Artist population"""
molly_woods_6878;Molly Woods;28.0;28.1;99.2;"""Magazine coach over type personal human; Air ; Stock"""
jonathan_martinez_6823;Jonathan Martinez;66.0;16.1;92.2;"""Note: Trip central claim; then Wait data data tax consider exist"""
gavin_caldwell_2633;Gavin Caldwell;89.0;56.1;33.2;"""(Help sit) ; Material and Network clearly example"""
caroline_robinson_9976;Caroline Robinson;27.0;87.1;74.2;"""Note: Entire score model quickly; then Have idea low seat"""
april_bowers_5314;April Bowers;68.0;39.1;95.2;"""Job machine; Continue daughter A"""
matthew_burns_7860;Matthew Burns;85.0;10.1;81.2;"""(Chair class) ; Control reveal consider us win and Floor general today"""
christopher_logan_4037;Christopher Logan;85.0;11.1;7.2;"""Size; Perform per ; Administration"""
carol_carney_1568;Carol Carney;4.0;6.1;39.2;"""Around difficult; However ; While perhaps place contain spend"""
ronald_vega_8567;Ronald Vega;41.0;93.1;30.2;"""Arm own research; Upon because like education Red heavy international"""
francisco_cochran_4446;Francisco Cochran;81.0;45.1;70.2;"""Note: Bar require quite personal major read; then Including upon behavior issue husband anything"""
gina_lopez_5671;A;25.0;43.1;47.2;"""Trouble voice oil avoid send; Baby base fly gun maintain Least paper"""
phillip_brandt_5284;Phillip Brandt;84.0;94.1;63.2;"""(Modern realize eight best assume) ; Group who discuss level and Tend interest soon debate"""
michael_hale_1095;Michael Hale;98.0;28.1;89.2;"""(Data pretty both goal) ; Whole and Treat within trouble pass"""
anna_weiss_0740;Anna Weiss;99.0;6.1;94.2;"""She number citizen sort; Large still Growth value off as nearly"""
angela_kim_1524;Angela Kim;23.0;39.1;92.2;"""Game talk need happen they: Join site; Summer home break oil"""
teresa_diaz_6955;Teresa Diaz;40.0;13.1;6.2;"""Note: Discover name; then Because feel"""
edward_ellison_5189;Edward Ellison;48.0;58.1;82.2;"""Note: How fine certainly; then Eight according"""
virginia_webb_8970;Virginia Webb;48.0;75.1;51.2;"""Note: Political teach treat; then Book medical white"""
scott_md_4135;Scott Eaton MD;99.0;75.1;53.2;"""Human mind despite big: Sign hear so; Appear material in"""
elizabeth_brown_5395;Elizabeth Brown;81.0;83.1;66.2;"""Note: Science partner media; then Task somebody reality girl always main"""
denise_dvm_4860;Denise Mcmahon DVM;78.0;18.1;23.2;"""(Glass) ; Around personal always culture soon and Camera opportunity"""
jonathan_mccann_5375;Jonathan Mccann;93.0;12.1;76.2;"""Note: Center number hair minute meet; then Tax mention"""
melissa_lopez_4398;Melissa Lopez;78.0;38.1;62.2;"""Their; House idea Shoulder then"""
john_mullins_1721;John Mullins;12.0;58.1;;"""(Economic side human) ; Establish and Million I least action same position"""
alex_bush_3141;Alex Bush;94.0;100.1;37.2;"""Note: Like likely term list language; then Try require"""
andrew_jones_4873;Andrew Jones;46.0;29.1;39.2;"""Note: Study theory; then Nice war pull only"""
stephanie_barajas_9597;Stephanie Barajas;5.0;94.1;55.2;"""Note: Decade mean very should decade; then Building hard vote"""
becky_cooper_8109;Becky Cooper;29.0;;31.2;"""Note: Great; then Help bad good red"""
melanie_larson_5762;Melanie Larson;;57.1;74.2;"""Safe tend step able each: Network front; Team operation town"""
steve_roy_3380;Steve Roy;88.0;51.1;71.2;"""(Receive remember buy) ; Health kind and Growth serve friend actually staff"""
