# This is a comment line to skip
name	score	price	description	summary
Rachel Tate	98.0	35.1	"""Institution particularly senior; Local tax media 	 Happen"""	"""Note: Ball middle	 then Response fall explain"""
Johnny Matthews	30.0	86.1	"""Attack right: Item person professional	 Establish hair reason real teach writer"""	"""(Next create need set production) 	 Right look and Hospital"""
Lauren Carroll	31.0	40.1	"""(Ask) 	 Whatever always fine and Low serious"""	"""Treat form: Movement term outside successful	 Board conference nearly artist recent school"""
Kirk Duffy	72.0	18.1	"""Air wish: Happy picture develop research tree fine	 Pass language new"""	"""Note: Generation a than	 then Behavior get life"""
Katherine Schmidt	15.0	33.1	"""Probably get suggest budget; Experience say artist must management 	 Place dark project development"""	"""Large: Those red provide	 Central key trade"""
Christopher Knight	33.0	75.1	"""Partner: Window story away	 Stay"""	"""Note: Sense	 then Together also notice run"""
Stephen Kennedy	15.0		"""(Scientist blue) 	 Republican and Administration stop gas"""	"""Listen any power herself carry seven	 Describe woman serious ability meeting Information charge"""
Jennifer Wright	23.0	64.1	"""Note: Factor realize war truth	 then Main for somebody social central"""	"""Visit product including break: Provide into scene run police	 Gas"""
Christine Berry	5.0	8.1	"""(Executive style actually) 	 May institution and Land arm"""	"""Note: No treat	 then Wall child"""
Kathryn Morris	22.0	82.1	"""Card: Type town especially people even ask	 Edge"""	"""Spring right	 Raise provide suggest Over happy"""
Kelly Norman	36.0	81.1	"""Well; Wide course through specific 	 Power"""	"""Read degree art stage	 Practice garden behavior deal Between our however"""
Jennifer Brown	51.0	59.1	"""Interest; Instead adult 	 Although church soldier since because"""	"""Them: Pattern recently watch	 Behavior decide evening"""
Diane Martin	61.0	33.1	"""Drug adult poor for media; Firm myself 	 When life"""	"""(Race hair) 	 Official our and Hope along"""
Nicholas Young	5.0	53.1	"""Item get prepare feeling: Writer analysis religious skin really safe	 Teach power shake itself behavior hour"""	"""Grow bar dream: Executive determine	 Artist firm"""
Christopher Bailey	80.0	49.1	"""Several: Bank cultural	 Leave rock"""	"""(Clearly military man computer) 	 Civil seat and Education"""
Connie Diaz	79.0	93.1	"""Skin budget; Republican choice too war 	 Act be"""	"""Step interview: Tonight whose shake stuff	 Industry"""
Bobby Petersen	51.0	31.1	"""(Me wrong) 	 Piece keep call and Example help for respond represent strong"""	"""World fly: Around hotel behavior example per	 Picture true"""
x	40.0	28.1	"""Note: Deep dinner	 then Center"""	"""Allow bring catch protect; Quality generation agency 	 Modern"""
Paul Clark	39.0	56.1	"""(All explain beyond maintain) 	 Item specific most service skin and Industry kid bring"""	"""(Forget course wall) 	 Toward and Glass perform according summer total choice"""
Charles Jackson	54.0	2.1	"""Note: Establish people cell	 then Just half rise"""	"""Find water network tonight: However senior	 Human late"""
Rebecca Davis	59.0	17.1	"""(Himself personal) 	 Seven send hot candidate glass task and List thousand"""	"""Read financial: Task too media enjoy	 During set cost"""
Erica Chavez	12.0	74.1	"""Cost commercial save suddenly; Big your million 	 Start"""	"""Knowledge do senior here: Purpose traditional executive	 Our later above"""
Lauren Ballard		15.1	"""Plant foot	 Become if question Example manage"""	"""Note: Push door require	 then Crime suddenly indicate American this"""
