# This is a comment line to skip
username;name;score;total_count;salary;message
megan_bond_5348;Megan Bond;7.0;41.1;18.2;"""Series method address language attention; Leg no Every career east possible finally"""
matthew_parks_2770;Matthew Parks;93.0;48.1;32.2;"""Explain western; Career beyond ; Building morning plant character"""
madison_galvan_0847;Madison Galvan;55.0;21.1;24.2;"""However other; Idea meeting Former system"""
phillip_mendoza_5314;Phillip Mendoza;80.0;2.1;33.2;"""Then say challenge: Offer draw property; She product"""
tammy_boyd_9523;Tammy Boyd;80.0;12.1;83.2;"""Heavy behind; Skin war manage author around growth Call tend nation"""
elizabeth_olson_2265;Elizabeth Olson;66.0;84.1;;"""Care day; Sing must ; Sister billion hand organization"""
dalton_martin_7835;Dalton Martin;75.0;1.1;90.2;"""Can everybody fill: White scientist conference; Economic news center national"""
douglas_lee_6858;Douglas Lee;87.0;49.1;91.2;"""Stuff hold tax bad; Member listen ; Lose after knowledge"""
crystal_perez_9701;Crystal Perez;;90.1;18.2;"""Event; Hold camera Everyone from"""
shane_rios_0125;Shane Rios;93.0;79.1;32.2;"""Plan feel officer; Action move ; Exist"""
jessica_miller_9539;Jessica Miller;47.0;94.1;13.2;"""Yet may civil consumer ground; Win sister ; Federal institution many"""
luis_baker_9168;Luis Baker;77.0;;70.2;"""Hit benefit effort discuss; Scientist fire recognize star trade Report building trouble"""
nicole_warner_0076;Nicole Warner;40.0;98.1;86.2;"""(Sure decision risk money) ; Yeah science and Direction common campaign skin"""
karina_parker_4166;Karina Parker;48.0;20.1;76.2;"""Level do scene; Race Begin truth without movement full role"""
jimmy_jordan_8257;Jimmy Jordan;47.0;58.1;56.2;"""Suggest put: Claim back message law deep; Subject"""
charles_williams_4114;Charles Williams;63.0;5.1;10.2;"""Note: What party; then Change"""
diane_rogers_8692;Diane Rogers;58.0;62.1;45.2;"""Visit rather center maybe doctor; Artist human ; Certain number director value"""
samantha_scott_9899;Samantha Scott;77.0;67.1;71.2;"""Government senior her national score; Either investment method reality Often act by"""
natasha_powell_4667;Natasha Powell;21.0;80.1;93.2;"""Power close theory; Common important without Always so"""
laura_robles_9533;D;87.0;2.1;71.2;"""Character mother; Pass Civil"""
