username	name	score	note
timothy_green_4115	D	32.0	'''Memory call describe baby: Grow air every Mr water	 Key'''
erik_garcia_5133	Erik Garcia	92.0	'''Than area live: Like after involve where social	 Method'''
hector_harris_9550	Hector Harris	66.0	'''Threat without point structure; Pass people south necessary 	 Movement'''
richard_johnson_1204	Richard Johnson	57.0	'''(Base traditional hot everybody action which participant) 	 Southern option and Stuff put including'''
michael_jackson_1739	Michael Jackson	90.0	'''Attack half local arm; Arm 	 Like might check rate'''
kimberly_harris_5627	Kimberly Harris	95.0	'''View meet pass: Take difference environment trade simply	 Thing inside'''
debra_richards_5449	Debra Richards	62.0	'''(Marriage type wrong) 	 Out quality and Daughter set serve'''
angela_rivera_1938	Angela Rivera	49.0	'''Note: Attack	 then Card mind'''
tamara_jones_4213	Tamara Jones	52.0	'''Note: Site once material end	 then Trouble party institution relate'''
patricia_tucker_0791	Patricia Tucker	79.0	'''Consumer student room last	 Think decide field leader Blood wife'''
michaela_terry_0730	Michaela Terry	47.0	'''Our teacher market face; Tree despite 	 Eight morning executive among our'''
laura_goodwin_0571	Laura Goodwin	61.0	'''Professor scene security general simple: Reflect item	 Line begin'''
jessica_haynes_0225	Jessica Haynes	63.0	'''Whether; Mind able 	 Player many measure similar employee'''
courtney_james_4481	Courtney James	31.0	'''Note: May artist	 then Under official early someone represent'''
charles_edwards_5503	Charles Edwards	6.0	'''Note: Opportunity old attack	 then Result indicate fight stand car'''
jessica_pollard_6874	Jessica Pollard	97.0	'''Government case: Close wonder ahead window carry	 Today model'''
ross_dean_7276	Ross Dean	87.0	'''Note: Race agency particularly necessary	 then Save analysis during'''
pedro_hill_5788	Pedro Hill	42.0	'''Old law beyond head	 At however Suffer'''
kristen_ward_1755	Kristen Ward	67.0	'''(Provide improve under bit level) 	 Major green finally security and Choice argue'''
brian_jones_0789	Brian Jones	82.0	'''Heart continue learn: Pass pick account	 City woman employee'''
christian_taylor_9152	Christian Taylor	22.0	'''Note: Address partner teach	 then Mouth particular allow after spring'''
donald_johnson_6603	Donald Johnson	100.0	'''Usually base green; How base south 	 Star may'''
david_reed_3693	David Reed	8.0	'''(Firm well seven) 	 Religious still spring increase protect which and System little'''
martha_perez_5385	Martha Perez	85.0	'''(Second) 	 Point here positive watch and Admit check anyone leave purpose'''
michelle_sanchez_6142	Michelle Sanchez	77.0	'''(Trade grow) 	 National and Name various'''
katherine_coleman_2794	Katherine Coleman	65.0	'''Establish: Whether international list	 Challenge factor'''
ashley_carter_1704	Ashley Carter	82.0	'''Note: Page time dog piece professor	 then Opportunity away arm indicate live'''
susan_bradley_6776	Susan Bradley	90.0	'''Eye place start plant: Night appear treat continue	 Walk guess'''
gregory_jennings_6450	Gregory Jennings	50.0	'''Note: Model	 then Station own outside in'''
chelsea_haynes_7746	Chelsea Haynes	56.0	'''Note: Already no reduce	 then Market usually under'''
shawn_vance_8975	Shawn Vance	84.0	'''(Create leg seem fish condition) 	 Dinner century and Allow'''
sarah_osborne_7457	Sarah Osborne		'''Official another; Generation response number teacher 	 Or national cultural politics'''
joann_villanueva_6894	Joann Villanueva	17.0	'''Television establish recognize reduce realize sure: Dark key loss throughout	 Free situation traditional American support'''
felicia_frazier_2343	Felicia Frazier	94.0	'''Possible tell; Trade production 	 Thousand treatment affect fund'''
julie_lowe_2989	Julie Lowe	90.0	'''Business drive manager nice worker	 Spend focus unit Month project beautiful society'''
jason_green_1519	Jason Green	99.0	'''Above pattern vote sometimes	 Development staff window red Down soon add ok'''
colleen_ramsey_9834	Colleen Ramsey	54.0	'''(Sometimes positive blood anyone) 	 Area us base industry and Cup television'''
jennifer_snyder_8260	Jennifer Snyder	97.0	'''(Decision vote option radio) 	 Mission hit either choose and Interest hour'''
david_steele_5773	David Steele	61.0	'''Note: Window place	 then Where under enjoy make difficult'''
ashley_larson_3371	Ashley Larson	6.0	'''Capital finally: Official off	 Simply prepare in short'''
dorothy_sanchez_5112	Dorothy Sanchez	22.0	'''Note: Great inside six	 then Probably memory girl understand'''
brian_mccullough_4204	Brian Mccullough	78.0	'''(But party act no) 	 Want and Speech most analysis'''
jean_braun_0604	Jean Braun	10.0	'''(Understand evidence apply center sort) 	 Listen find go agency single sea and Always'''
patrick_graves_7073	Patrick Graves	22.0	'''Week join administration: Though talk their pretty east reach	 Story before action lose film'''
jonathan_ferguson_2628	Jonathan Ferguson	84.0	'''(Major seem office federal) 	 Onto traditional and Republican especially paper'''
keith_cunningham_3758	Keith Cunningham	3.0	'''Describe usually	 Imagine now rate Key section'''
