# This is a comment line to skip
name	username	total_count	salary	age	remark	review
Elizabeth Dyer	elizabeth_dyer_9777	52.0	33.1	85.2	"""(Class bar) 	 Behind detail majority and Relate chance international"""	"""(Land first) 	 Your since usually quickly and Within bed discover phone"""
Ann Griffith	ann_griffith_7652	84.0		63.2	"""Note: Woman force thousand	 then Available smile"""	"""Note: Store own	 then Still traditional"""
Samantha Goodman	samantha_goodman_5517	71.0	64.1	7.2	"""Receive; Know executive population 	 Speech life industry"""	"""(Radio likely material) 	 Tree reveal three look and System later"""
Elizabeth Franklin	elizabeth_franklin_3090	41.0	60.1	74.2	"""Change wife little various wall production; Fast fill behavior begin 	 Race despite manage"""	"""(Exist) 	 By late laugh and Since item describe"""
David Weeks	david_weeks_7245	92.0	11.1	81.2	"""(Expert baby happen) 	 Actually and Side recent"""	"""(Air similar sense) 	 Response speak and Day seven early"""
Marissa Rubio	marissa_rubio_3168	80.0	88.1	35.2	"""Science season; May decision by provide key fly 	 To response"""	"""Single military boy member fact lot	 He Situation lawyer"""
Robert Stevenson	robert_stevenson_3874	40.0	39.1	88.2	"""Explain name dog lot even: Make level third TV	 Include lot"""	"""Choose: Reason seat degree role	 Everything case"""
James Smith	james_smith_7744	62.0	64.1	84.2	"""Tell include take charge	 House first Front kid suddenly"""	"""It southern teach bank value	 Improve Congress environmental administration Know feeling available expert contain"""
A	erin_hernandez_3369	75.0	17.1	59.2	"""(Baby school cold) 	 Tax and White real couple"""	"""(Enough win eat) 	 Fast your past born high and Past"""
Donald Blair	donald_blair_8261	91.0	53.1	73.2	"""Large others policy: Let growth	 Herself"""	"""Hit: Image sense case	 Black listen foreign woman left"""
Gregory Gilmore	gregory_gilmore_7214	89.0	77.1	65.2	"""(Indicate word understand memory) 	 Pretty up activity phone during and Interesting"""	"""Ago rich environment land: Home individual drug current item	 Air my seat"""
Joe Mills	joe_mills_5983	33.0	14.1	3.2	"""Very director	 Above light Lot head land them director summer"""	"""Note: Walk find	 then Early debate street strategy too fact"""
David Thomas	david_thomas_6279	98.0	35.1	64.2	"""Decide: Personal rise	 Popular easy"""	"""List nor leader; Behind 	 Good stock"""
Marcia Anderson	marcia_anderson_1418	77.0	13.1	16.2	"""Lay: Citizen service remain pretty	 Consumer section movement member back white"""	"""Especially until; Find 	 Or sure country animal"""
William Ruiz	william_ruiz_0693	87.0	88.1	47.2	"""(Big of) 	 Best that prove and Analysis news see"""	"""(Sea new quickly floor) 	 Commercial door and Hotel almost"""
Michelle Jackson	michelle_jackson_6529	100.0	99.1	11.2	"""Oil job	 Leave military security East"""	"""(Such according) 	 Big over back last bad and Half stage"""
Danielle Dennis	danielle_dennis_9536	5.0	78.1		"""(Yeah to ability leave expert choose) 	 Language detail room blue and Hospital"""	"""Cultural painting: Run medical crime market answer turn	 Late evidence even"""
James Rose	james_rose_8651		14.1	71.2	"""(History it) 	 Voice remain and Agreement exist record"""	"""Good care	 Music public source war avoid Despite how"""
Sara Watson	sara_watson_2805	42.0	100.1	36.2	"""Field; Play life partner whom week 	 Series degree"""	"""(He) 	 Eight store he and Third"""
Amanda Silva	amanda_silva_3984	61.0	12.1	36.2	"""Treat others resource defense; Figure 	 Detail manage else"""	"""Note: Human maybe student add trip	 then Member call"""
