# This is a comment line to skip
name;username;score;age;description;comment
Amber Walker;amber_walker_2071;24.0;28.1;'''Amount any: Even run; Above right''';'''Hotel spring follow; Hundred collection else former ; Firm listen'''
Julie Liu;julie_liu_4936;30.0;74.1;'''(Fund church commercial feel class) ; Trial wear hospital three standard and Dream get''';'''(Like author state since kind) ; Answer and Rate special ask'''
Steven Brown;steven_brown_1776;45.0;27.1;'''Travel: Type; Despite tend president audience skill''';'''Store least range whatever protect worry: Raise research; Where rich difference'''
Willie Williams;willie_williams_8499;12.0;54.1;'''Movement choose page; Inside rock think which Southern old''';'''Heavy cup seat environmental; For economic ; Ahead'''
Richard Stevens;richard_stevens_9431;97.0;95.1;'''(Prepare discover) ; Yes sign majority green and Popular third''';'''Ok fear; Leader task start physical realize ; Especially option particularly not trade power'''
John Jarvis;john_jarvis_7450;16.0;1.1;'''Forward prevent: With conference cause; Ability I control southern seat''';'''(Opportunity accept) ; Voice really and Us picture'''
Elizabeth Dyer;elizabeth_dyer_3375;9.0;2.1;'''Sea during floor; Away report remain how into What national of''';'''Water huge similar head station: They; Police letter free everybody degree determine'''
Angela Vargas;angela_vargas_1709;48.0;64.1;'''Age information require: Peace certain; Area sell''';'''Note: Detail successful prove; then Central'''
Kenneth Mccann;kenneth_mccann_1452;55.0;38.1;'''(Protect matter before) ; Herself central station and Road garden''';'''(Foreign door hold pull your) ; Performance main recent and Election consumer get gun write according'''
Jessica Jones;jessica_jones_4152;6.0;10.1;'''Maintain strong conference; Marriage policy Million bank ready condition reality''';'''Note: Call dog boy prepare involve cup; then Century walk situation friend above door'''
Colleen Hunter;colleen_hunter_3463;37.0;4.1;'''Note: Along piece generation; then Capital evening''';'''Hard good: Call whether so imagine; Him meet effort'''
Joshua Estrada;joshua_estrada_6962;65.0;14.1;'''Rest oil force any real; Natural say first about available ; Full hotel surface move test serious''';'''(Mission those former finally) ; Oil doctor admit and Moment'''
Timothy Andrade;timothy_andrade_7816;;64.1;'''Career fear; Few ; Citizen speech''';'''Official actually; Treat reflect subject ; Student off'''
Amy Lee;amy_lee_8781;82.0;77.1;'''Note: Unit design meeting news son; then Stay gun''';'''President collection hear; Former Congress'''
Diane Joyce;diane_joyce_7888;100.0;26.1;'''Enjoy morning order few; Speech ; Public seat represent radio''';'''Note: Increase state believe about; then Use by beautiful'''
Marissa Cox;marissa_cox_9446;73.0;75.1;'''You remain; Drug home Agent interesting require heavy''';'''Note: Mouth fly blood decide; then Both'''
D;megan_brown_3601;42.0;51.1;'''Job thus; Future sign during result Writer''';'''Almost condition character approach management: Capital public material act voice help; Medical join'''
Suzanne Smith;suzanne_smith_9708;21.0;;'''Game ahead write: Do allow; Nature none''';'''Perform man allow option; Town fly authority build brother ; On'''
Deborah Wright;deborah_wright_7293;71.0;32.1;'''Anyone main floor discussion never; Fear audience your avoid military responsibility Effect over unit blood enjoy hundred''';'''Travel research sure sell; Particularly special chance Major parent now'''
Mrs. Jacqueline Lewis;mrs_lewis_4123;20.0;8.1;'''Nice us third: Successful sea seven; Responsibility clear''';'''Note: Over foot politics trouble; then Serve skill season fact'''
Alexander Cole;alexander_cole_2301;35.0;7.1;'''Note: Result half; then Offer politics''';'''Customer either focus he; Course rule provide ; Far popular response'''
Anthony Moore;anthony_moore_8036;11.0;77.1;'''Significant special; Cup person agency Friend scene church sort''';'''Lawyer: Without war policy; Shake positive interest'''
