username	name	salary	score	remark
robert_garcia_9200	Robert Garcia	17.0	41.1	'''Increase: Mission each support coach door partner	 Debate executive site challenge there'''
dr_wilson_3795	Dr. Robert Wilson	84.0	53.1	'''Thus me structure data	 Director still agreement both Us where true'''
rachel_schmitt_5382	Rachel Schmitt		61.1	'''(Step possible sport) 	 Media so and North within economy'''
emily_wilcox_8933	Emily Wilcox	37.0	32.1	'''Note: New performance suggest	 then Increase'''
lori_aguirre_6686	Lori Aguirre	69.0	82.1	'''Note: Model himself popular	 then Yeah there'''
brandy_hammond_5497	Brandy Hammond	13.0	75.1	'''Shake return news	 Party Lay follow cell one low'''
eric_brown_5322	Eric Brown	64.0	25.1	'''Note: Result most important	 then Lay firm ahead would'''
alexis_cooley_6118	Alexis Cooley	95.0	13.1	'''(Tough various report several learn) 	 And and Hard teacher'''
andrea_martin_5341	Andrea Martin	25.0	19.1	'''Identify kitchen; Wish trip your level either 	 Court pay hand black'''
tracy_flores_8267	Tracy Flores	74.0		'''Especially consider hard; Admit nor 	 Other anyone remember'''
john_frazier_7233	John Frazier	22.0	63.1	'''(Food thus other) 	 Authority off southern fly finish my and Too'''
patrick_wallace_0832	Patrick Wallace	50.0	97.1	'''Here thought	 Cup degree team Wear'''
david_stanley_5092	David Stanley	60.0	39.1	'''Hold; Change today especially 	 You action too'''
andrea_williams_2757	Andrea Williams	29.0	6.1	'''Go quite: Of structure carry service six	 Capital site'''
amanda_lambert_7262	Amanda Lambert	56.0	22.1	'''Yes: First business	 Raise leader'''
natalie_williams_2654	Natalie Williams	58.0	55.1	'''Account; Economic marriage building place fine 	 End fast history author'''
teresa_hartman_8958	Teresa Hartman	91.0	85.1	'''Note: Church lawyer wrong human	 then Office gas order'''
terry_roberts_6776	Terry Roberts	19.0	27.1	'''(Imagine everyone) 	 Her certain order and Road police protect international space'''
timothy_page_0028	Timothy Page	7.0	65.1	'''Go he; Realize war 	 Local business meet'''
derek_cooper_5069	Derek Cooper	12.0	41.1	'''(Lay model) 	 Especially travel image and Might leave job'''
wendy_perez_3052	Wendy Perez	2.0	62.1	'''Economic compare interesting especially start	 Foreign party few trip response mind Serious wind'''
jessica_jackson_8505	Jessica Jackson	98.0	7.1	'''(Indicate throughout type) 	 Movement at image plan and Everything use about anything'''
luis_fernandez_7685	Luis Fernandez	61.0	5.1	'''Involve control cup theory: Price suggest wear nation	 Tv partner'''
roger_carey_9402	Roger Carey	76.0	44.1	'''Note: Clearly maybe draw business forward necessary	 then Ever political hold'''
patrick_clark_2705	x	4.0	61.1	'''Note: Them yeah	 then Across move life travel day defense'''
kyle_silva_5283	Kyle Silva	32.0	45.1	'''Note: Artist ten hit	 then Black'''
anthony_hall_6774	Anthony Hall	61.0	31.1	'''Fund everybody: Safe chance Mr capital	 While friend ever service'''
tiffany_richmond_2364	Tiffany Richmond	28.0	48.1	'''(Color) 	 Stop method practice decide national and Phone yet away painting'''
ronald_vasquez_3291	Ronald Vasquez	59.0	43.1	'''Difficult choose despite sit blue	 Upon strategy arrive any market executive dream Watch until'''
brandy_evans_5858	Brandy Evans	2.0	17.1	'''Note: Wind defense music anything	 then Field dinner hand'''
susan_miller_3812	Susan Miller	59.0	93.1	'''(About light) 	 Look something and Cultural song'''
bryan_taylor_5790	Bryan Taylor	66.0	18.1	'''Available billion develop sign how: Audience he box officer	 Person century'''
