name;score;price;remark
Kate Thompson;77.0;7.1;"""Note: Aspernatur repudiandae voluptatibus quisquam ipsa; then Eveniet nesciunt"""
Phillip Charlton-Edwards;16.0;81.1;"""Note: Repellat; then Sed consequatur cumque facilis eum"""
Vanessa Roberts;79.0;69.1;"""(Blanditiis excepturi) ; Alias recusandae praesentium and Nesciunt eos recusandae omnis"""
Leslie Stewart;42.0;3.1;"""Repellat quas nihil explicabo; Explicabo laboriosam assumenda ; Iusto sunt totam dicta"""
Russell Thompson;24.0;83.1;"""Note: Voluptas excepturi; then Hic atque distinctio commodi maiores similique"""
x;7.0;44.1;"""Delectus quas cupiditate; Eaque minus veritatis ; Debitis quod"""
Diane Marsh;3.0;9.1;"""(Sapiente quasi minus sunt) ; Perspiciatis eveniet nemo and Voluptate enim reprehenderit"""
Lucy Harrison;82.0;21.1;"""Note: Esse repellat; then Reiciendis vero"""
Lawrence Stevens;82.0;20.1;"""Nihil; Tenetur odio aliquid assumenda ; Animi error itaque cupiditate voluptatum"""
Ms Paula Singh;71.0;18.1;"""Corrupti sunt rem odio recusandae: Voluptates amet; Sint at ipsum temporibus"""
Dr Georgina Parker;45.0;73.1;"""Note: Nobis; then Est explicabo culpa id illo"""
Elizabeth Reeves-Dean;28.0;;"""Nostrum quam id veritatis earum fugit; Sequi aliquam optio corrupti Provident vel eveniet"""
Dawn Barrett;79.0;12.1;"""(Optio) ; Omnis animi placeat and Accusamus molestiae"""
Leigh Sharp;15.0;31.1;"""Quaerat reiciendis excepturi impedit; Occaecati eos nostrum ; At dolores impedit minima"""
Mrs Dorothy Brooks;68.0;4.1;"""Numquam asperiores saepe: Dignissimos sunt iusto; Itaque reprehenderit repudiandae expedita molestias"""
Lesley Turnbull;58.0;32.1;"""Quidem architecto aut hic deserunt; Aspernatur nesciunt nihil eos Quidem"""
Dr Vanessa Ingram;65.0;58.1;"""(Animi laborum consequatur voluptatum) ; Vero distinctio and Impedit"""
Max Lewis;25.0;42.1;"""Note: Doloribus praesentium exercitationem at; then Esse necessitatibus ab"""
Miss Anna Shaw;92.0;30.1;"""(Repudiandae ipsa) ; Porro rem nulla and Inventore ea esse"""
Eric Williamson-Palmer;41.0;10.1;"""Dolor eaque; Sequi sunt Nemo voluptates"""
Mr Albert Bryan;5.0;1.1;"""Cumque ea et; Magni accusamus quis Temporibus autem officia"""
Gemma Tomlinson;7.0;37.1;"""In atque; Aperiam asperiores Facilis occaecati consequuntur expedita"""
Ms Vanessa Richardson;54.0;84.1;"""Molestiae; Harum distinctio eum deleniti exercitationem est Molestiae nobis pariatur"""
Janice James;63.0;52.1;"""Consequuntur eaque dolor quia; Ab corrupti ; Ratione placeat repudiandae fuga"""
Samantha Holland;24.0;15.1;"""(Odit dignissimos aperiam) ; Nisi and Labore explicabo"""
Stewart Clark;70.0;96.1;"""Note: Nobis aliquam ipsa aliquam itaque fuga; then Dignissimos deserunt ducimus"""
Miss Hilary Joyce;2.0;92.1;"""Inventore placeat: Accusamus; Saepe ipsam ipsa quas"""
Dean O'Neill;50.0;51.1;"""Ipsam iste maiores esse provident; Dolorum dolor placeat ; Nesciunt minima iure et nemo"""
Joseph Reynolds;98.0;68.1;"""(Inventore) ; Ratione assumenda and Nesciunt impedit aut fugiat eum doloremque"""
Lynne Green;36.0;56.1;"""Delectus; Esse sunt libero reprehenderit explicabo quidem ; Deserunt exercitationem dolorum"""
Dean Kerr;56.0;72.1;"""Commodi; Quasi doloremque ; Odit eligendi quos nesciunt iusto"""
Dr Lewis Taylor;62.0;51.1;"""Note: Reprehenderit repudiandae reiciendis; then Placeat"""
Colin Watson;18.0;73.1;"""(Modi officia minima cum) ; Quam aspernatur dolorem iusto reprehenderit and Dolorem pariatur"""
Mr Adrian Oliver;40.0;47.1;"""Debitis cum ab iusto ipsa esse: Sequi tempora; Reiciendis nam eos"""
Miss Joan Metcalfe;15.0;78.1;"""Note: Quod quos odit eius aperiam; then Harum dignissimos"""
Lisa Nelson;60.0;11.1;"""Qui cumque doloribus fugiat numquam; Repudiandae pariatur omnis eum laboriosam ; Tempora et"""
Mrs Laura Phillips;36.0;23.1;"""Temporibus id: Officia delectus repellat; Cum"""
Dr Sarah Brown;;90.1;"""(Quia minus illum voluptatum ipsam) ; Deleniti autem tempora and Debitis similique"""
Sam Graham;9.0;29.1;"""(Animi ducimus quo) ; Dolorum and Explicabo delectus error amet quae"""
Dr Angela Smith;45.0;42.1;"""Sapiente harum ipsa; Dolores optio repudiandae ; Officiis delectus eveniet voluptatum asperiores temporibus"""
Gerard Palmer;3.0;89.1;"""Quis omnis laboriosam: Iure laborum velit; Illum nesciunt"""
Dr Russell Harris;2.0;48.1;"""Quia sapiente; Perferendis assumenda magni ; Atque minus"""
Miss Julia Norman;57.0;28.1;"""Note: Enim quas eligendi ratione; then Amet sed"""
Stanley Stevenson;42.0;26.1;"""Sint architecto enim; Adipisci aliquid ; Assumenda omnis quas"""
Nicholas Griffin;52.0;19.1;"""Error necessitatibus: Sed reiciendis; Magnam rem"""
