name	username	salary	age	score	description
Josephine Miller-Bryant	josephine_bryant_8267	87.0	11.1	15.2	"""Natus neque: Reiciendis	 Necessitatibus harum dolore adipisci"""
Ms Gail Harvey	ms_harvey_9250	91.0	84.1	94.2	"""Note: Error accusantium	 then Quisquam sequi labore"""
Eric Wood	eric_wood_3753	56.0	42.1	81.2	"""Nobis voluptates et: Fugiat repudiandae dignissimos adipisci laborum	 Earum minima saepe odio excepturi"""
Dr Dean Martin	dr_martin_8856	69.0	37.1	23.2	"""(Nobis explicabo architecto) 	 Excepturi and Alias iure numquam recusandae"""
Dr Ryan Pollard	dr_pollard_8221	10.0	7.1	64.2	"""Note: Totam et ducimus	 then Qui sint sunt"""
Charlotte Quinn	charlotte_quinn_6198	3.0	66.1	72.2	"""Debitis; Ratione dignissimos quidem 	 Nostrum a consequuntur"""
Garry Goddard-Hill	garry_hill_7491	13.0	46.1	98.2	"""Eum: Voluptatum nisi ullam	 Ipsum nam"""
D	miss_dean_2922	30.0	20.1	17.2	"""Note: Non unde illo	 then Sapiente repellendus laborum saepe"""
Amy Gray-Robinson	amy_robinson_5600	23.0		34.2	"""Debitis accusamus dicta error doloremque accusamus; Tempore commodi quis ut 	 Ipsam voluptatum"""
Mr Nicholas Turner	mr_turner_0328	35.0	71.1		"""Temporibus voluptatum sapiente a: Autem vel voluptate	 Reiciendis optio inventore doloribus"""
Lee Brown-Johnson	lee_johnson_8814	58.0	58.1	31.2	"""Quas harum cumque sit	 Sit dolores veritatis distinctio Officia sapiente adipisci corporis"""
Mr Glenn Wright	mr_wright_8173	13.0	7.1	30.2	"""Facere; Fugiat quos 	 Rerum dolorum"""
Josephine Long	josephine_long_0561	58.0	10.1	63.2	"""Quidem accusantium esse: Officia illum cum	 Nisi ad corporis corporis"""
Joanna McCarthy	joanna_mccarthy_3797	6.0	10.1	55.2	"""Occaecati; Excepturi illum ex 	 Porro quam"""
Clifford Robinson	clifford_robinson_8285	54.0	16.1	6.2	"""Ullam quisquam velit; A maiores 	 Praesentium odio"""
Mr Christopher Smart	mr_smart_7413	30.0	13.1	40.2	"""Alias quam	 Ad voluptatem quae ducimus Impedit iusto"""
Kathleen Little	kathleen_little_9601	28.0	29.1	74.2	"""Note: Accusantium expedita possimus maiores	 then Libero maiores corporis"""
Lee Francis-Evans	lee_evans_9691	49.0	4.1	5.2	"""(Consequuntur nostrum similique nulla exercitationem pariatur cupiditate) 	 Eaque expedita and Blanditiis similique quos"""
Diane Cooper-Cook	diane_cook_2446	35.0	47.1	44.2	"""Illo assumenda magnam laborum; Neque autem 	 Consequuntur maiores"""
Mrs Shirley Evans	mrs_evans_5540	63.0	21.1	72.2	"""Note: Eligendi amet exercitationem	 then Molestiae ullam"""
Gerard Kelly	gerard_kelly_1458	56.0	12.1	58.2	"""Commodi quia	 Placeat quidem nam Quasi asperiores"""
Robin Humphries-Lewis	robin_lewis_7041		99.1	91.2	"""Note: Cupiditate similique	 then Nam quam"""
Dr Aaron Walker	dr_walker_1264	70.0	51.1	43.2	"""Note: Facere quisquam ipsum	 then Fugiat atque"""
Miss Patricia Barnes	miss_barnes_1498	36.0	63.1	61.2	"""Iusto maiores aspernatur adipisci distinctio; Mollitia nesciunt officia 	 Sequi ab ab"""
Shane Gardner	shane_gardner_6324	5.0	33.1	80.2	"""Earum dolorem	 A voluptatum quia Iusto laboriosam impedit"""
