# This is a comment line to skip
name;username;salary;total_count;remark;description
Rachael Rich;rachael_rich_4841;17.0;65.1;"""Time though sound study; Tell ; Generation spring model""";"""Note: Card front again thank pay employee; then Specific discussion present"""
David Jimenez;david_jimenez_2276;84.0;45.1;"""Successful probably already; Right exactly weight conference coach ; Director""";"""Note: Strategy; then Source theory body"""
x;dustin_wall_8690;100.0;26.1;"""(Good carry) ; Including and Side""";"""My; Sort degree evening smile ; Congress start avoid degree set"""
Caitlin Hunt;caitlin_hunt_6421;53.0;22.1;"""(Too involve) ; Prepare call west and But""";"""(Think those language care budget) ; Local share head choice billion democratic and Store sell"""
Jeffrey Smith;jeffrey_smith_2672;73.0;83.1;"""Note: Full mean; then Such at""";"""(Evidence health enjoy) ; Represent be sign and Various local account"""
Dale Stewart;dale_stewart_4233;23.0;95.1;"""Theory surface probably especially window; Forward happen ; Law create moment why""";"""Note: Yes practice phone; then Hear focus across these fire"""
William Kelly;william_kelly_3003;67.0;8.1;"""Note: Scene fund up commercial as; then Ground paper""";"""Future project project she: Same art; Develop hand"""
Connie Cochran;connie_cochran_1098;69.0;;"""Section chair certain; Just standard ask ; Wind speech""";"""Note: Staff never attack happen; then Official spring book wait"""
Hunter Booker;hunter_booker_4398;87.0;56.1;"""Take great fine very night light; Movie stand Reduce""";"""Lose strategy: Education public course; Mouth water activity outside"""
Wayne Moran;wayne_moran_6380;58.0;5.1;"""(After) ; Across food whose fish and Claim success similar""";"""(Light say positive) ; Suggest them expect condition and Mind girl professional one stand"""
Amanda Williams;amanda_williams_3457;52.0;87.1;"""Town maybe; Pick eight man ; Nation eight type have leg else""";"""Note: Far painting; then Half senior until reason line"""
Robert Bennett;robert_bennett_1902;91.0;7.1;"""Note: Respond common product their; then Former list""";"""Impact: Free scene; Though turn"""
Brenda Murray;brenda_murray_5690;41.0;76.1;"""Pm; Window cup Stop program cut""";"""(Start) ; Movement and Give product back"""
Alyssa Ortiz;alyssa_ortiz_4629;57.0;14.1;"""Note: Individual project; then Student""";"""Doctor remember; End hair Often decide"""
Brian Anthony;brian_anthony_0137;14.0;91.1;"""(Article alone) ; Call end stand into argue and Over guess wait""";"""(Quality great) ; How structure number environment and Customer easy watch"""
Christopher Thompson;christopher_thompson_2027;;24.1;"""(Step raise author animal say) ; Same early and Blood""";"""Audience down remember especially news magazine: Involve kitchen; Reduce those officer"""
Chris Campos;chris_campos_9617;21.0;31.1;"""(Market public this movie) ; Trouble goal piece and Economy catch leave""";"""Yard today attack type; Young across relate Example kid"""
Jon Jenkins;jon_jenkins_6749;44.0;82.1;"""His three; Word ; Available include article""";"""I everyone worker; Share reduce few measure town ; Follow late think"""
Michael Barnett;michael_barnett_8727;67.0;73.1;"""Note: Garden defense cell reason take almost upon; then Staff next among""";"""Born very: Impact difficult including; Maintain appear improve particularly"""
Jenny Finley;jenny_finley_6240;3.0;81.1;"""Attention ever that money; Defense kitchen involve Firm record travel""";"""Our: Safe because six much; Local century Republican behind scene reveal"""
Jon Williams;jon_williams_6000;91.0;59.1;"""(Fill tell risk establish) ; Senior way and Today""";"""Republican president prepare; Growth Though measure"""
James Macdonald;james_macdonald_0778;37.0;47.1;"""Language operation blood become; Major ; Hand move identify certainly""";"""Not success traditional notice three work; Open fight What building"""
Stephanie Martinez;stephanie_martinez_8633;14.0;8.1;"""Group sense; Top community film ; Sister""";"""Benefit four: Since special; Soon able"""
