name;username;age;salary;comment;summary
Justin Ho;justin_ho_9934;14.0;77.1;"""Note: As; then High truth""";"""Raise discover bring; Ability season attention grow so ; Research cost"""
Donna Price;donna_price_0324;76.0;46.1;"""All southern white let; Professional relationship production social about Painting son kind ten sport hour""";"""(Enough) ; Executive good and Everybody drug"""
Barry Johnson;barry_johnson_2918;45.0;43.1;"""(Team) ; Region and Continue other""";"""Note: Hard drop; then Play item year"""
Adam Lewis;adam_lewis_9240;;26.1;"""(Science apply scientist) ; Tv expert even ago project can increase and Statement our difficult""";"""Choice stand: Lot make all; Pass"""
Courtney Powers;courtney_powers_3493;51.0;19.1;"""(Prepare attack see room because) ; Way improve bit and Military""";"""Candidate just physical; Fact far ; Produce"""
Valerie Bray;valerie_bray_7855;50.0;9.1;"""Note: Them view none one; then Degree middle""";"""Note: Respond matter lay; then Spring"""
Michael Johnson;michael_johnson_4152;6.0;14.1;"""(Factor) ; Morning and Best skin""";"""Big outside test election why husband; Respond ; Political debate TV necessary"""
Mark Johnson;mark_johnson_2826;66.0;47.1;"""(Data life machine million) ; Environmental already and Country eight""";"""Note: Daughter box bag; then Especially player"""
Robert Gaines;robert_gaines_9736;72.0;42.1;"""Make always; Performance site ; Team where population""";"""Weight coach; Agent service finish Statement where"""
Cristian Rose;cristian_rose_2576;63.0;14.1;"""(Recognize watch) ; Him view real and Mission despite data late be sea""";"""Note: That pattern product; then Night"""
Dr. Richard Morris;dr_morris_1539;37.0;4.1;"""Red before head though if: Throughout information beat; Huge seek play visit like away""";"""Thank its which meeting; Nothing fire ; Tax"""
Christopher Garcia;christopher_garcia_3274;75.0;1.1;"""Consider the; Data baby ; Same foot""";"""Note: Room use her visit; then Eight those"""
Cassidy Perez;cassidy_perez_6587;23.0;72.1;"""Indicate keep test free stock see; Candidate couple none wife best Blood support artist cause""";"""Down sport; Seat tend Himself a"""
Jason Collins;jason_collins_1518;2.0;3.1;"""Note: Western level; then Security""";"""Subject art; Free Around sense writer"""
Darryl Foster;darryl_foster_4211;15.0;95.1;"""Result; Today walk brother itself direction ; Pick tonight along""";"""Idea pull organization treatment: Agreement head black; Month author market"""
Michael Keith;michael_keith_6913;100.0;9.1;"""Let lawyer protect plan hotel high; Its Success quite use""";"""Note: Who senior; then Science"""
Wesley Figueroa;wesley_figueroa_2960;76.0;29.1;"""Story these military anyone use idea; Upon ; Thing firm body hit fear""";"""(Wrong) ; They admit offer and Worker"""
Lindsey Byrd;lindsey_byrd_2660;6.0;20.1;"""Note: Cause population recent; then From have truth""";"""Office person program reality: Really magazine PM; Lay cover measure"""
Ashley Hughes;ashley_hughes_3230;81.0;90.1;"""Think I; Rest customer defense ; Administration test""";"""Mention laugh; Travel themselves Him item win war"""
Emily Holmes;emily_holmes_2879;50.0;35.1;"""Vote sing; Common oil Place light""";"""(For audience) ; Sister official everybody save shake and With pull"""
John Chapman;john_chapman_2242;49.0;4.1;"""Painting beyond; Beautiful human interview claim card Effect interest including""";"""(Water) ; Baby join and Night"""
Barbara Pineda;barbara_pineda_0364;11.0;99.1;"""(Because west local) ; Pull suddenly and Service with laugh allow east""";"""Note: Loss vote ahead; then Deal reflect"""
Thomas Schultz;thomas_schultz_8293;52.0;81.1;"""American arrive raise customer; Personal career himself TV develop Up might stock""";"""(Someone machine) ; Attention yeah and Chair east after old"""
Mark Richmond;mark_richmond_7189;30.0;29.1;"""Choose; Old bad ; Happen find probably positive""";"""Whole ability; Last anything again while individual ; Especially foot"""
Joseph Jacobs;joseph_jacobs_3732;71.0;47.1;"""Note: Today; then Ready admit possible join free""";"""Study she school leg simple specific: Establish ball actually; Office throw"""
Mrs. Carolyn Montgomery;mrs_montgomery_9689;35.0;66.1;"""Strategy: Wind pretty; Model church trip""";"""Somebody learn cultural: Manage strong wrong; Think truth situation you"""
Tracy Mosley;tracy_mosley_7267;27.0;;"""Recent least; Cause response road according defense wait ; Herself care""";"""(Both sound mission cell) ; Stand process and Support indicate view"""
Anna Bird;anna_bird_9512;69.0;17.1;"""Capital so; Half ; Kind collection paper""";"""Behind town gas; Company draw daughter upon ; Describe art"""
Richard Stark;richard_stark_0292;66.0;59.1;"""Note: Goal create author prepare that smile; then Or anyone strategy kid""";"""Her treat; Town soldier energy try mission Prove"""
Kathryn Perry;kathryn_perry_6040;23.0;67.1;"""Yes summer collection; Quickly simply check Plant commercial this""";"""(Sure somebody moment live) ; Paper act idea every man military beyond and Nature hair"""
Amy Avery;amy_avery_9926;3.0;93.1;"""Institution character thousand mouth; War month may region food One very maybe""";"""Institution letter lawyer seem: Just nation; Green check lead worry"""
Frank Cohen;frank_cohen_7180;43.0;6.1;"""(Pay seat identify) ; Off and Behind not newspaper""";"""Growth agree: We industry plan move; Police write serious their enough century"""
Dr. Craig Rogers;dr_rogers_6948;81.0;18.1;"""Note: Inside begin fine usually decision particularly; then Son product black""";"""Really; Red Eye over almost"""
Debra Johnson;debra_johnson_3804;1.0;53.1;"""Note: Foot; then Common doctor""";"""Say exist chance daughter; Outside from central suddenly Drop traditional happen property entire cup"""
Alan Arnold;alan_arnold_1717;48.0;94.1;"""Lead window attention; Available thank us nearly Push""";"""Before spend wrong; May ; Consumer customer"""
Tamara Wade;tamara_wade_0694;73.0;45.1;"""Note: Tough; then Simply hope way increase""";"""Staff soon; Stock ten While"""
 ;christopher_moore_4318;87.0;40.1;"""Consider fear money: Perhaps; Method everything consider""";"""Significant do; Data Through"""
Ellen Lopez;ellen_lopez_2710;88.0;68.1;"""Simply relate herself majority; Surface it memory actually alone Court throughout office""";"""Note: Red learn; then Against begin"""
Andrea Andrade;andrea_andrade_6206;16.0;40.1;"""Common where Republican miss; News Almost possible part""";"""Note: Yeah class manage series; then Program new Congress father"""
Adam Pacheco;adam_pacheco_3724;89.0;7.1;"""(Leave goal approach) ; Agreement school call they and Unit""";"""Detail choose reduce: Year single; Carry program both"""
