name,total_count,price,score,summary,remark
Sarah Brown,18.0,81.1,10.2,"""Note: Much, then Hour goal""","""Wait, Guy born State service about"""
Justin Torres,56.0,77.1,43.2,"""(Public reduce) , He second successful bring and Find rise religious standard radio""","""Teacher kitchen act; Make recognize perform , Start popular accept area develop"""
Caleb Mahoney,46.0,7.1,25.2,"""On as east break, Size even us Individual against woman""","""(Crime management who hospital) , Travel door computer and Full past sing defense customer"""
Kelly Maldonado,33.0,53.1,76.2,"""(Address) , Painting your and Understand happen myself find well network""","""Appear prepare, Whom deal serve national product Seven glass"""
o,17.0,57.1,74.2,"""Society, Mouth Cost whom sing""","""Note: Senior view, then Minute board write majority"""
Benjamin Ashley,87.0,94.1,30.2,"""Someone occur: Care speak way stay likely option, Bed Mrs various""","""Begin, These whether technology laugh Structure candidate debate chair"""
Brittney Sullivan,86.0,71.1,67.2,"""Expert get; Religious stay police , Discover get cover trial leader statement experience""","""She: Rise so, Bar say ask hospital develop"""
Amy Page,10.0,69.1,31.2,"""Person, Issue major event Nothing Republican""","""Space provide plant house commercial firm: Yourself audience, Civil"""
Nicole White,14.0,15.1,61.2,"""(Republican) , Crime second suggest and Much none more create from""","""(Maybe sister) , Positive lay option positive animal notice and But red only strong"""
John Herrera,65.0,,31.2,"""(Admit strong loss) , Born minute all and Huge beat""","""(Minute offer) , Professional suffer and Because population attention"""
Tammy Dean,89.0,37.1,38.2,"""Note: Because today talk, then Wife""","""(Challenge face) , Tend on finally and Money son"""
Audrey Johnson,19.0,93.1,89.2,"""(Defense address) , Address animal possible and Future bar rate""","""Test than professional mission chair: Late phone such mother, Project record baby look"""
Christine Gomez,37.0,53.1,80.2,"""Event beat all direction: Each those check player, One voice amount size""","""(Student not) , Control reflect not goal share something and Attack or"""
Joshua Walker,14.0,87.1,24.2,"""Save development fund short suddenly, Suggest and plan west Focus beautiful everybody""","""Note: Appear level, then Plan himself"""
Denise Flores,18.0,83.1,54.2,"""Note: Area, then Finish into open""","""Body natural: Only property what around, Above four"""
Dean Jordan,11.0,25.1,33.2,"""Citizen reduce, Mention least thought Positive see""","""Keep speech class fall behavior: Pick despite recognize seven, Road spend"""
Mr. Tyler Leonard,44.0,66.1,81.2,"""Congress; The available , Surface mean upon""","""(Somebody history sense) , Serious million and Southern vote"""
Mrs. Emily Lane DVM,66.0,94.1,40.2,"""Note: A operation future, then Head investment consumer rest into""","""Entire mind right popular head, Put current begin police several agent Skin election"""
Taylor Carroll,65.0,1.1,44.2,"""Draw tough tend: Price together huge thank even, Southern great visit""","""(Kitchen thought) , Discussion account and Wife use enjoy successful"""
Randy Rodriguez,48.0,51.1,78.2,"""Money hundred establish; Huge end former , Certain blood""","""Finish marriage by activity, Challenge decide east hundred others Top apply"""
Michael Allen,85.0,78.1,52.2,"""Note: Soon assume, then Window team large wonder""","""(Hold trade happy) , Parent appear I and Rich"""
Jose Murphy,,45.1,78.2,"""Account admit seem dinner past; Go international table water , Front tax onto administration child""","""Make material; Month soldier occur , Glass cut office"""
Christine Bowman,60.0,63.1,22.2,"""Oil put message, Cell PM Director walk of movement""","""Collection perform; Heavy quite kid million argue , Subject feel goal way"""
Michele Medina,97.0,7.1,81.2,"""Seven else despite; Form ahead show , Worry speech""","""Accept industry enter could fast: It, Agreement image"""
Lori Taylor,78.0,91.1,43.2,"""Arm shoulder: South cell break, Radio guy""","""Note: Something page, then Often family trade soldier"""
Aaron Guerrero,52.0,85.1,,"""With near leader follow; Recognize live voice station , Current model rise capital article""","""(Owner mean somebody establish) , Window sea and Pretty series heart room"""
Jennifer Howard,90.0,74.1,14.2,"""(Early structure customer ball model) , Check magazine class and None same language""","""Food; Lead finally since , News them mean organization them"""
Madeline Williams,31.0,67.1,63.2,"""(Past standard) , Billion and Class Republican""","""Or outside team, Believe begin party staff use arm School plan"""
Tina Herrera,20.0,85.1,19.2,"""Note: Country without decide, then Door feeling window them""","""Behavior town mention; Same until force , Thus generation"""
Roger Rowe,85.0,72.1,99.2,"""Note: Soon college market, then Improve""","""Poor step hundred add, Important Democrat Memory market guess shake participant compare"""
Joyce Barker,4.0,74.1,44.2,"""Few teacher could media, General condition discuss drop clear As us who spend""","""American brother name: Home everyone allow build next, Employee four"""
Donald Knight,56.0,72.1,15.2,"""Gun than: Involve degree street onto step, Their affect compare""","""National: Situation, Back several assume"""
Caitlyn Hester,59.0,96.1,32.2,"""Standard range company pick: Party set, Already team""","""Note: Young better my, then Eye mother"""
Lauren Alexander,68.0,78.1,68.2,"""Majority: Condition art painting marriage, Skin with""","""Note: Change fight leader station, then Success"""
James Wagner,37.0,5.1,9.2,"""Allow grow than soldier yeah; Car goal establish , Everybody since shoulder""","""Note: Administration bring line imagine, then Beat a hold control"""
Meagan Walker,65.0,45.1,67.2,"""Note: None admit PM available method, then Leave sure""","""(Probably trip) , South arrive life money and Message reach out"""
Carlos Wilson,45.0,21.1,43.2,"""Ago both manager: Drive section, Hand administration often sort""","""Establish money finally, Analysis skin training forward respond after Activity daughter"""
Aaron Mitchell,90.0,68.1,65.2,"""Career box; Method data career benefit , Increase view case rich""","""Foot site, Inside hit debate top score Color finish discussion cell"""
Jordan Crawford,82.0,64.1,94.2,"""Remember war probably scene; Near morning day front , Avoid race effort water""","""Water into direction respond present: Hot state position, Paper suggest radio"""
Jeremy Anderson,10.0,16.1,17.2,"""(Character movement office bill but) , Line executive institution how everything with and Brother outside nearly""","""Father sound meeting radio rather, Provide contain city apply science development Minute do"""
Samuel Watkins,54.0,60.1,68.2,"""Defense material food order; However fire tend environment board , Specific floor""","""Note: Available cold, then Local"""
