name,salary,age,score,remark
Kelly Williams,73.0,13.1,46.2,'''Note: Us, then Door understand'''
Terry Fritz,73.0,97.1,63.2,'''Note: Unit exactly education, then Dream nearly everyone many'''
Erica Shields,93.0,31.1,38.2,'''(I little career) , Themselves through community deal and Name research manager deal night door'''
o,68.0,78.1,46.2,'''Allow prove, Expect use support trial Light line action significant'''
Marc Anderson,25.0,77.1,13.2,'''Too impact; Never lawyer oil goal , Well young'''
Carlos Vasquez,13.0,17.1,28.2,'''Note: Never its build nice order agreement, then House human suddenly star require'''
Crystal Gardner,96.0,32.1,19.2,'''Save color notice: Land experience sister, White enough next'''
Michelle Davis,99.0,46.1,98.2,'''After trade: Million boy business, Power grow'''
Emily Orr,50.0,42.1,16.2,'''Model wife edge boy: Hospital paper strong, Exist paper'''
Jennifer Burns,95.0,42.1,67.2,'''(Require record) , Husband and Task even after'''
Harry King Jr.,57.0,42.1,96.2,'''Pull generation letter bank visit, Live lot Information know dog environment'''
Allison Wilson,7.0,5.1,79.2,'''Note: Describe white miss, then Full'''
James Smith,66.0,59.1,14.2,'''Law address: Against week big, Product career meeting suffer pass'''
Cathy Johnson,21.0,92.1,64.2,'''Note: All door, then Answer rule always or even through'''
Oscar Burton,33.0,85.1,50.2,'''(Gun) , American drive public see difference and Half them'''
Rebecca Mitchell,19.0,26.1,95.2,'''Mrs speak; Institution hundred , Prove or'''
Kelsey Gonzalez,79.0,88.1,83.2,'''Magazine level positive rate: Seem choose admit, Benefit scientist direction treatment him'''
Jocelyn Nixon,34.0,57.1,93.2,'''Long eat general: Physical begin idea, Religious test think majority'''
Lori Bennett,87.0,84.1,90.2,'''Exactly occur decade job, Often which write each Attack mention'''
Jesse Johnson,63.0,75.1,97.2,'''(Then once) , Send president role last and Task media involve require seek'''
Hailey Prince,31.0,46.1,63.2,'''Also billion movement or be may; Painting , Fill peace late'''
Jacqueline Butler,90.0,63.1,3.2,'''Sell environment employee reveal Mrs; Green might , Yeah later wall'''
Daniel Frazier,33.0,55.1,48.2,'''Note: Activity people increase today recent, then Cold special laugh first'''
Katelyn Montoya,10.0,12.1,64.2,'''Mr point stuff, Discussion crime century Current personal thousand analysis show reflect'''
Grace Solis,12.0,18.1,23.2,'''Note: Civil next, then A expect man happy'''
Joseph Owens,13.0,25.1,40.2,'''(Feel tell matter) , Live daughter and Two process'''
Kimberly Andrews,63.0,6.1,,'''Note: Often admit, then Peace air six'''
Rachael Wood,50.0,91.1,69.2,'''Understand public war upon, Where One whether'''
Christina Williams,81.0,12.1,18.2,'''Red woman; Send yet style , Ten step political'''
Nancy Frank,36.0,,98.2,'''Guy; General house office behind financial process , Plant range upon despite often most'''
Danielle Montgomery,38.0,64.1,41.2,'''Note: Another have, then Medical company become'''
Dana Perez,95.0,27.1,89.2,'''Note: Role special, then Enjoy garden bank movement student'''
Teresa Hill,86.0,23.1,36.2,'''(Whatever statement realize individual natural believe) , Call coach authority and Sister standard finally house'''
Devin Gross,23.0,1.1,53.2,'''Civil; Scientist tonight government , News child lose real'''
Jamie Mcguire,77.0,79.1,33.2,'''(Agreement part most his) , Less six and Understand issue foot'''
Mrs. Emily Bishop,83.0,77.1,22.2,'''(Modern protect) , Claim and Strong'''
Connie English,89.0,4.1,25.2,'''(Woman control although southern) , Design return side and Base event'''
Jennifer Glover,77.0,78.1,55.2,'''Mrs deep product: Foreign million, Ago child avoid'''
Jessica Bartlett,9.0,34.1,85.2,'''Miss, Include what stage various Especially rest late'''
Sheila Simon,4.0,66.1,16.2,'''Note: Turn number line, then Agree instead'''
Melanie Page,,47.1,74.2,'''Wife individual: Age, Phone determine appear pretty'''
Timothy Jones,31.0,82.1,83.2,'''Election, Yet indeed address toward among unit Position visit ball child election decision'''
