# This is a comment line to skip
username	total_count	score	price	note
jeffrey_thompson_7418	81.0	16.1	75.2	'''Sit asperiores mollitia eaque: Repellat recusandae eaque repellat ex nostrum	 Amet sed nobis'''
linda_smith_5068	51.0	93.1	88.2	'''Ratione: Eos id occaecati temporibus blanditiis tenetur	 At eum'''
sara_brown_7167	15.0	66.1	69.2	'''Porro et architecto harum accusantium accusantium	 Architecto quibusdam illum quis In corrupti'''
katherine_davison_8069	36.0	60.1	99.2	'''Quisquam occaecati; Quaerat 	 Ratione molestiae ab corporis occaecati fuga'''
dr_bailey_9649	54.0	24.1	56.2	'''Note: Aut unde vel	 then Ut consectetur fugiat sequi'''
malcolm_lucas_2022	8.0	6.1	81.2	'''Tenetur quaerat; Assumenda perferendis officiis 	 Ab aperiam doloribus'''
miss_davidson_1055	54.0	91.1	75.2	'''Note: Corrupti	 then Labore voluptatum ducimus'''
ms_butcher_1572	25.0		18.2	'''Vitae rerum: Veniam quisquam sunt	 Consequatur deserunt'''
jodie_jones_3886	53.0	40.1	81.2	'''Placeat nostrum distinctio; Molestias repellat dolore asperiores 	 Deserunt explicabo'''
dr_newton_5626	98.0	39.1	32.2	'''Note: Neque	 then Harum vero dolores'''
dr_wilson_0553	69.0	2.1	19.2	'''Eveniet excepturi nam: Corrupti quasi	 Distinctio harum'''
craig_cunningham_1159	13.0	73.1	82.2	'''Quis; Illo nostrum repudiandae 	 Cumque nostrum natus'''
adam_allen_9816	79.0	81.1	94.2	'''(Quae consectetur) 	 Nemo itaque quasi a and Dignissimos eius modi totam iure'''
dr_hill_0939	64.0	41.1	15.2	'''(Vel itaque quisquam) 	 Ipsam ducimus and Perferendis quam'''
marian_stewart_2293	72.0	31.1	41.2	'''Perspiciatis dolorum; Consectetur facilis modi odio 	 Perferendis corporis'''
scott_hill_8917	40.0	76.1	74.2	'''Ad	 Cum ad illum vitae accusamus sunt Facilis ratione sit'''
kerry_brown_6323	43.0	98.1		'''Suscipit eligendi tenetur voluptas	 Repellendus est est Ad quod fuga'''
trevor_davies_1644	18.0	87.1	55.2	'''Eos; Ducimus cum iure 	 Ad placeat aliquid quas'''
nicholas_porter_0379	29.0	54.1	39.2	'''Tenetur qui tempora esse sequi	 Nulla quas enim cupiditate quo Autem'''
sandra_martin_5133	28.0	39.1	11.2	'''(Beatae autem) 	 Sint ab reiciendis et officia culpa and Praesentium ratione dignissimos'''
charlie_cook_3942	2.0	60.1	92.2	'''Note: Deserunt quisquam dolorem	 then Blanditiis doloremque quasi'''
michael_bryan_7605	95.0	22.1	47.2	'''Occaecati unde; Maiores sunt libero 	 Quasi officia debitis saepe'''
rebecca_owen_1746		19.1	12.2	'''Minima fugiat qui dolore: Officiis quod enim vel pariatur	 Minima necessitatibus repellat'''
jodie_edwards_6792	53.0	69.1	30.2	'''(Unde ducimus nemo doloribus sint) 	 Voluptatibus odio eius adipisci enim and Eveniet quibusdam mollitia'''
janet_summers_5346	14.0	20.1	41.2	'''Note: Dolore alias nisi	 then Eveniet fuga'''
dr_collins_6275	19.0	20.1	8.2	'''Eveniet officiis quasi vel	 Quis quos cumque fugiat nulla quam Aut'''
tina_smith_2661	32.0	87.1	32.2	'''Beatae doloribus: Beatae quisquam quisquam	 Eos'''
alison_johnson_5476	9.0	59.1	4.2	'''Note: Soluta	 then Deserunt impedit omnis doloremque minus'''
joseph_richardson_6832	66.0	43.1	93.2	'''Maxime debitis eos mollitia	 Nulla omnis ducimus natus Aliquam nesciunt rem'''
ms_hill_0038	16.0	95.1	2.2	'''Repudiandae nihil alias reprehenderit officia nobis; Eaque hic repellat aspernatur 	 Necessitatibus facilis'''
