# This is a comment line to skip
username;name;price;rating;salary;comment
dr_wall_8882;Dr Ronald Wall;57.0;29.1;2.2;'''Voluptatem libero; Nam perferendis ; Consectetur deleniti'''
glenn_lawrence_3221;Glenn Lawrence;5.0;73.1;81.2;'''(Dolore voluptatum) ; Non eveniet voluptatum dolor and Culpa sit'''
gordon_martin_9658;Gordon Martin;49.0;64.1;27.2;'''Laboriosam iure perferendis id: Omnis eos labore a; Molestias possimus consequuntur molestiae'''
victoria_hunter_0092;Victoria Hunter;62.0;63.1;8.2;'''Aliquam vero beatae sunt excepturi; Libero placeat veniam aliquid ; Fugit esse'''
luke_welch_4327;Luke Welch;32.0;6.1;100.2;'''Laudantium magni et; Praesentium officiis doloribus minima Deserunt et quam'''
hazel_moore_4713;Hazel Berry-Moore;17.0;80.1;49.2;'''Commodi explicabo ipsum omnis et; Totam deserunt a quae magni Accusantium modi'''
gillian_skinner_3769;Gillian Skinner;55.0;64.1;3.2;'''Note: Dolor ipsam; then Consequuntur sed placeat rerum'''
dr_payne_6958;Dr Elizabeth Payne;90.0;74.1;33.2;'''(Iure alias fugiat) ; Temporibus distinctio optio ullam delectus and Assumenda'''
paul_blake_9824;Paul Blake;90.0;45.1;18.2;'''Repellendus; Fugit aliquid quas Consequuntur necessitatibus culpa accusantium fugiat'''
maurice_jones_9244;Maurice Jones;51.0;74.1;54.2;'''Quam excepturi eveniet magnam odit quidem; Accusamus distinctio ; Officia explicabo'''
norman_holloway_7286;Norman Lord-Holloway;58.0;;60.2;'''In perspiciatis; Explicabo molestiae quia Blanditiis sequi sunt'''
mrs_robson_5488;Mrs Megan Robson;36.0;48.1;17.2;'''(Fuga quas nam) ; Sit minima and Perspiciatis repellendus nihil natus incidunt'''
dr_stokes_8197;Dr Trevor Stokes;;87.1;78.2;'''Note: Inventore suscipit debitis error dolores amet; then Sunt sapiente'''
dr_hurst_7333;Dr Ruth Hurst;90.0;1.1;90.2;'''(Illum tempore distinctio odio enim) ; Eius quod and Iusto adipisci'''
brett_jones_6524;Brett Jones;88.0;77.1;66.2;'''Note: Magnam quidem repudiandae; then Neque ex natus quasi aliquid temporibus'''
terence_allen_9391;Terence Allen;31.0;76.1;73.2;'''Voluptate; Esse veritatis laudantium similique optio nisi Maiores non qui autem atque'''
