username,price,rating,salary,summary
rita_fletcher_4825,32.0,66.1,93.2,'''Tenetur fugiat, Culpa dignissimos quibusdam itaque dignissimos Tempora similique facere'''
kevin_leonard_4886,,80.1,12.2,'''(Dolores repudiandae tenetur) , Earum and Saepe harum blanditiis'''
amy_thomson_8850,71.0,51.1,76.2,'''Eligendi magni nostrum itaque a amet, Totam nemo temporibus unde aperiam Repellat'''
mrs_hamilton_8857,46.0,54.1,31.2,'''Note: Eos aspernatur, then Impedit consequatur iure aperiam'''
grace_simmons_6890,30.0,12.1,59.2,'''Enim molestiae: Consequatur eligendi quisquam vel sed animi, Odit iste'''
nicole_nicholls_8423,12.0,36.1,4.2,'''Note: In temporibus iure recusandae ratione aliquid, then Laborum dolor a'''
oliver_scott_2087,59.0,21.1,61.2,'''Quam labore dolorum; Eius , Aspernatur esse facere'''
miss_johnson_5298,36.0,71.1,88.2,'''Repudiandae culpa autem, In omnis aperiam consectetur Pariatur iste'''
paige_bond_2028,39.0,89.1,74.2,'''Molestiae magnam illo; Nesciunt quos culpa ab consequuntur , Ut doloremque aspernatur'''
mr_jones_0964,38.0,37.1,65.2,'''Suscipit iusto soluta, Earum repellendus Dolor accusamus voluptatum quos nemo mollitia'''
claire_austin_1988,19.0,42.1,39.2,'''Minus aut hic quibusdam; Fugit placeat asperiores , Vel similique recusandae quia'''
kimberley_hutchinson_7924,24.0,32.1,44.2,'''Note: Excepturi, then Cum distinctio nostrum'''
jeremy_morris_7549,60.0,52.1,67.2,'''Quaerat aliquam; Laudantium dolores repellendus consectetur ipsum officia excepturi , Delectus necessitatibus itaque libero dolorum'''
dr_akhtar_4765,55.0,80.1,6.2,'''Nam nisi deleniti sint, Quaerat tempore doloribus modi eaque Velit libero asperiores et'''
raymond_dean_5568,100.0,70.1,83.2,'''Tenetur eum laborum, Sunt Debitis quaerat in sint'''
dominic_arnold_6508,90.0,62.1,52.2,'''(Molestiae) , Possimus vero delectus and Nostrum quis hic quos ut omnis'''
mrs_jones_6605,17.0,38.1,97.2,'''(Eveniet) , Mollitia doloribus facilis quasi and Fuga harum'''
janet_howe_6778,22.0,68.1,49.2,'''Note: Dicta saepe, then Fugit iusto'''
mr_burton_6171,94.0,94.1,93.2,'''Illum enim placeat et illo accusamus, Nulla libero eum Eligendi'''
dr_thomas_4718,5.0,99.1,40.2,'''Aliquam fuga autem eius exercitationem, Esse consectetur atque Ducimus eligendi dolores'''
mr_west_2400,47.0,45.1,82.2,'''Adipisci; Officia , Distinctio veritatis commodi'''
ms_hilton_4638,32.0,92.1,43.2,'''Dolores officia quo, Reprehenderit facilis suscipit modi harum Ad quidem'''
dr_gordon_9973,63.0,74.1,38.2,'''Note: Doloribus beatae autem assumenda vitae blanditiis, then Corporis tempora natus exercitationem sapiente dolorum'''
aimee_bates_0847,56.0,46.1,81.2,'''Veritatis facilis; Odio soluta voluptate , Blanditiis'''
kimberley_carey_7162,2.0,16.1,1.2,'''(Sed adipisci) , Modi repudiandae dicta iste dolor and Harum corporis ipsam sit'''
gregory_ross_7023,8.0,61.1,69.2,'''Note: Nulla accusamus, then Magni'''
sharon_lawson_5716,60.0,71.1,41.2,'''Quibusdam nihil soluta: Occaecati, Provident quaerat perferendis quisquam'''
jack_clark_8499,29.0,3.1,70.2,'''Pariatur; Alias explicabo eos , Explicabo veniam'''
norman_murphy_9182,95.0,94.1,52.2,'''Maiores, Eius sed Culpa'''
david_reeves_2207,83.0,39.1,74.2,'''Note: Mollitia quia, then Aut'''
mr_harrison_0751,49.0,63.1,55.2,'''Iste aspernatur; Illum nihil doloribus , Vero ipsam'''
donald_booth_8448,63.0,41.1,78.2,'''(Est) , Facilis and Animi iusto'''
mr_taylor_4402,25.0,71.1,8.2,'''Provident nemo repellat culpa corrupti tempora, Adipisci Consequuntur'''
dr_griffiths_8128,90.0,66.1,,'''Note: Saepe at reprehenderit, then Veniam ex libero'''
edward_wallace_0109,22.0,83.1,26.2,'''Note: Magnam ducimus, then Totam'''
mr_watkins_4099,56.0,30.1,97.2,'''(Nostrum) , Aliquam eligendi assumenda and Ducimus quod'''
georgia_hart_9997,81.0,8.1,66.2,'''(Provident ipsa exercitationem provident optio quisquam consequatur) , Dicta inventore and Quidem modi facilis aliquam placeat'''
dr_miah_6939,97.0,,44.2,'''Esse quibusdam ab; Nisi iure , Dolorum sunt eaque'''
cheryl_ali_4134,4.0,28.1,3.2,'''(Suscipit ipsam sequi similique) , Natus vitae voluptatibus deserunt and Blanditiis rem assumenda nisi'''
mrs_smith_6171,71.0,41.1,59.2,'''Aperiam quis officia, Incidunt temporibus Consequuntur iure sint voluptatum'''
joanne_perkins_5755,94.0,4.1,89.2,'''Note: Tenetur cum, then Itaque laudantium sint'''
dr_hayes_0601,35.0,61.1,81.2,'''Note: Distinctio voluptate corrupti, then Exercitationem fugit'''
denis_ryan_4230,35.0,63.1,97.2,'''Eveniet: Unde sit quia praesentium, Neque culpa ullam corporis'''
carolyn_morgan_8183,9.0,77.1,6.2,'''Iusto, Cum quidem Dolores'''
marcus_yates_3520,9.0,96.1,93.2,'''At, Aut repellendus itaque eius dolores Eaque'''
melanie_burke_3839,19.0,12.1,8.2,'''Eaque fugiat; Sit quia , Neque facere omnis tenetur eos'''
samuel_jones_4919,31.0,42.1,60.2,'''Labore laboriosam accusamus illo: Soluta dolore, Tenetur voluptate quas'''
danielle_douglas_6942,60.0,24.1,49.2,'''Maiores, Magni nostrum ipsum Aliquam rem consequuntur hic'''
kathryn_cunningham_9310,51.0,66.1,67.2,'''Error commodi, Error labore minima Vel'''
carly_pearce_3694,18.0,93.1,56.2,'''Note: Laudantium recusandae, then Voluptates nobis'''
