username	name	total_count	salary	description
rhonda_benson_6005	Rhonda Benson	82.0	16.1	'''Note: Tonight successful music	 then Onto along type food ball'''
maria_rowe_6729	Maria Rowe	58.0	44.1	'''Left firm why: Its	 Product true and relate'''
christopher_robinson_9180	Christopher Robinson	64.0	72.1	'''Foreign have: Yeah game yourself rate	 Media production themselves key necessary source'''
charles_clark_4639	Charles Clark	15.0	76.1	'''Much physical if have need; Short 	 Everything water military'''
allison_daugherty_3989	Allison Daugherty	12.0	42.1	'''(Politics notice image crime) 	 Quality and Performance deep paper husband include night'''
john_md_3011	John Martinez MD	99.0	86.1	'''Note: Traditional answer put	 then Support save military else foot technology'''
victoria_green_8329	Victoria Green	53.0	10.1	'''Spend him another wind mission include; Culture hundred 	 Indeed'''
deborah_sanders_3743	Deborah Sanders	70.0	66.1	'''Note: Voice anything trouble	 then Pass officer at'''
vicki_kelly_3494	Vicki Kelly	88.0	78.1	'''Bag job truth staff light majority; Bar many 	 Hotel kid enter hold site'''
john_bullock_2544	John Bullock	10.0	57.1	'''Company modern; From 	 Vote imagine'''
teresa_barnes_6757	Teresa Barnes	81.0	83.1	'''Movement; Peace series 	 Him research'''
carol_villanueva_1270	Carol Villanueva	98.0	61.1	'''Whose	 Hold compare land Than exist practice try'''
zachary_rogers_0293	Zachary Rogers	49.0	2.1	'''Skill now local: Two top guess energy	 Chair four'''
stacy_hansen_5138	Stacy Hansen	14.0	9.1	'''Arrive impact benefit: Interview lay	 Ready above'''
richard_deleon_7034	Richard Deleon	49.0	59.1	'''Us practice training	 Anything sure prove reveal Nation commercial western'''
paul_harris_1736	Paul Harris	70.0	39.1	'''Really reduce security throughout: West leave	 Protect military'''
benjamin_middleton_8520	Benjamin Middleton	73.0	84.1	'''Note: Ago high	 then Green less television'''
joshua_miller_6589	Joshua Miller	75.0	16.1	'''Note: Kind pick	 then Program hard'''
david_schultz_2334	David Schultz	53.0	44.1	'''Central fight news	 Discover act land Like'''
taylor_smith_4908	Taylor Smith		12.1	'''Note: Candidate moment	 then Wind'''
jessica_howard_9805	Jessica Howard	27.0	30.1	'''Note: Defense person good six	 then Better her agreement fire'''
donna_powers_2881	Donna Powers	15.0	93.1	'''(Choice toward remain) 	 Technology throw within president general and More politics prepare'''
michael_fuller_1568	Michael Fuller	23.0	6.1	'''(Magazine) 	 Lead find and Land teach know'''
william_young_0129	William Young	10.0	31.1	'''(General only despite many) 	 Network agency both city and Before teach'''
martin_ingram_1278	x	46.0	99.1	'''Phone operation similar	 Seek happen story wait Though attorney able'''
cassandra_alvarado_6077	Cassandra Alvarado	62.0	58.1	'''(Data during goal game) 	 Machine whole and Heart decade own'''
stephen_nguyen_8147	Stephen Nguyen	81.0	59.1	'''Success	 Real yard any Sound off outside'''
johnny_rangel_4452	Johnny Rangel	88.0	93.1	'''Note: Sometimes teach future believe environment	 then Simple mission big'''
theresa_wood_0804	Theresa Wood	35.0	37.1	'''Score less political: Choose notice also	 Truth resource current'''
sandra_hale_5928	Sandra Hale	24.0	39.1	'''(Himself able lawyer) 	 Side and Score'''
megan_oconnor_8759	Megan Oconnor	37.0	59.1	'''Often that couple art	 Data miss American hold role with'''
dr_parsons_6509	Dr. Robert Parsons	26.0	2.1	'''Note: Majority more drop win	 then Factor owner successful it'''
nancy_manning_4898	Nancy Manning	84.0	78.1	'''First chair example	 Analysis inside Check check interest same relate though'''
misty_johnson_4756	Misty Johnson	22.0	18.1	'''Note: Writer fish water	 then Get exactly ask billion drive'''
sean_andrews_0844	Sean Andrews	88.0		'''Single address than: Month music	 There democratic get'''
brandi_jimenez_6525	Brandi Jimenez	29.0	97.1	'''Note: Line something red answer	 then Perform'''
john_campbell_8510	John Campbell	12.0	45.1	'''(Gun) 	 Should coach card financial and Pattern during'''
