username;salary;total_count;remark
emily_larsen_3294;33.0;78.1;'''Training this change; Six church nearly doctor reason foot ; Upon everyone'''
jennifer_miller_7882;37.0;13.1;'''Upon most; Perhaps teach Order raise get'''
erica_lee_3208;;39.1;'''Method life; World someone here State free product chance prepare'''
william_adams_1351;24.0;78.1;'''(Near lose anyone break treatment) ; Interview within and Lot'''
dakota_pugh_1724;2.0;99.1;'''Admit writer; Perhaps simply mention commercial Party never'''
sandra_nichols_8465;39.0;50.1;'''Student process avoid; Center vote ground Million participant seven wide'''
anthony_bates_0601;57.0;67.1;'''(Party happen) ; Pick and Manage way'''
jonathan_gonzalez_6549;27.0;64.1;'''How nation cause; His ahead drug court ; Story interest'''
shirley_donaldson_1674;46.0;39.1;'''Culture everybody south good heart; Force small ; Down natural'''
heather_richardson_6348;61.0;94.1;'''Support; Collection other summer blood ; Oil partner keep change'''
jon_blake_2287;84.0;77.1;'''Fight; Thank newspaper issue building Assume network behind'''
steven_west_8494;81.0;83.1;'''Note: Wear often; then Imagine adult pay majority'''
samuel_conner_1766;86.0;29.1;'''Note: Site vote; then Instead part'''
morgan_oliver_1698;95.0;53.1;'''Wife production huge: Special report seek main home; Last bar'''
jacqueline_gallagher_5560;88.0;58.1;'''Entire where enough; Suddenly note raise join right ; However not west cut find score'''
cynthia_mckay_2615;56.0;3.1;'''Note: Appear happen customer sure them reflect; then Style'''
kurt_daniel_4323;71.0;73.1;'''(Open special sign require raise) ; Play moment and Wear investment drop generation'''
john_tucker_3015;5.0;33.1;'''(Song decade) ; Machine nor walk onto democratic and Per sit'''
louis_smith_4717;28.0;34.1;'''Fight evidence trip perform until; Themselves top Of debate oil'''
kenneth_wiley_3027;72.0;86.1;'''Operation mention; Watch who up ; Economic scientist great continue'''
megan_richards_1263;95.0;19.1;'''Note: Base political; then Radio daughter exist stop'''
scott_foster_3517;19.0;95.1;'''Bank relate: Nothing activity recently; Song person'''
scott_madden_7931;51.0;65.1;'''Structure experience: Voice wish too; Either rest on'''
elizabeth_barnett_4429;47.0;44.1;'''Itself source build three; Less effort box remember Such'''
shannon_williams_7413;1.0;41.1;'''Our brother; It visit ; Table add'''
courtney_robinson_6156;97.0;62.1;'''Arm particularly dark; Table discussion Skin travel ball debate word'''
heather_williams_8542;25.0;72.1;'''West choose under; Health best ; Tv especially'''
alexis_gibson_7225;26.0;;'''Forward worry pass American Republican; Site fall meeting Matter size store'''
charlotte_miller_2144;94.0;8.1;'''Note: Decide such; then This pick'''
kaitlin_wright_7752;25.0;74.1;'''Note: Candidate eight; then War simply development pretty'''
