username;name;rating;salary;review;description
tom_scott_9775;Tom Scott;81.0;12.1;"""Tempora porro; Deleniti tempora officiis ; Voluptate eos a ex adipisci""";"""Neque asperiores iste corporis repellendus architecto; Illum excepturi ipsam nesciunt reprehenderit ; Perspiciatis autem sunt"""
abdul_holmes_0475;Abdul Holmes;36.0;56.1;"""Tempora eveniet; Sit nostrum sapiente consectetur mollitia ; Accusamus nemo""";"""Quibusdam quidem: Deserunt alias illum perspiciatis unde incidunt; Officia voluptatum aperiam tenetur cupiditate nobis"""
dr_evans_4081;Dr Jean Evans;69.0;92.1;"""Voluptatibus; Pariatur adipisci ; Non distinctio recusandae officiis""";"""Note: Voluptatibus perferendis rerum; then Sint recusandae mollitia tempora"""
cheryl_burrows_7910;Cheryl Burrows;51.0;25.1;"""Dignissimos sequi vel; Error perspiciatis Repellat rem voluptas""";"""(Labore sunt debitis) ; Reiciendis and Voluptas earum"""
brian_hill_4264;Brian Hill;81.0;37.1;"""Excepturi est reprehenderit magni pariatur; Cum beatae tempore Dolor blanditiis""";"""Modi architecto; Dolor ; Repellendus"""
mrs_johnson_3091;e;9.0;32.1;"""Note: Numquam esse iure; then Nihil eaque quibusdam dicta""";"""Note: Fuga tempore; then Maiores enim dicta"""
colin_stephenson_2893;Colin Stephenson;19.0;63.1;"""Ex alias saepe error corporis ex: Qui; Magni""";"""(Laborum aspernatur) ; Ipsam suscipit debitis aut and Architecto"""
ms_thomas_5163;Ms Megan Thomas;58.0;55.1;"""Eius; Facilis eius explicabo quam Quia odio accusamus commodi libero""";"""Ad maiores; Dolores quos ; Deserunt culpa laudantium inventore quis odio"""
elizabeth_leonard_1152;Elizabeth Leonard;92.0;26.1;"""Accusamus unde quas illo; A vero consectetur ; In debitis magnam""";"""(Voluptate dicta optio doloribus rerum maiores) ; Inventore deleniti and Qui"""
ms_marshall_5483;Ms Pamela Marshall;29.0;36.1;"""Note: Consequatur explicabo quam sed numquam; then Voluptatem ex velit""";"""(Sint reiciendis perferendis) ; Veritatis dolorum in and Adipisci fugit iste"""
mathew_phillips_4430;Mathew Phillips;54.0;14.1;"""(Ipsam quia quam) ; Laudantium delectus aut cum and Ipsa quod earum""";"""Aliquam consectetur expedita; Repellat adipisci quam odio At accusamus"""
joanna_porter_9173;Joanna Porter;10.0;31.1;"""(Velit mollitia quae) ; Quidem amet assumenda tempore eius and Ullam quasi""";"""Quae aut earum suscipit; Ad omnis Mollitia earum officiis"""
ms_davis_5505;Ms Dawn Davis;76.0;5.1;"""Aperiam sapiente culpa atque: Accusantium veniam repellat ab; Consequuntur commodi magnam""";"""Necessitatibus amet commodi corporis delectus; Architecto fugiat Neque minima odio eius corporis"""
natalie_williams_5907;Natalie Williams;88.0;49.1;"""Corrupti; Quae a ducimus Nulla quidem maiores ullam deleniti""";"""Molestias praesentium dolorem ea deserunt; A autem Itaque"""
amanda_leonard_8447;Amanda Leonard;48.0;;"""(Consequatur rem suscipit suscipit) ; Pariatur similique and Aliquid officia quam""";"""Corporis quas: Harum quod repellat aperiam; Voluptate vero quos vero"""
katie_wheeler_1243;Katie Wheeler;87.0;45.1;"""(Qui) ; Nemo quo and At temporibus ex harum""";"""Note: Quisquam explicabo suscipit voluptatum; then Temporibus voluptas"""
dr_robinson_0735;Dr Sian Robinson;73.0;13.1;"""Quo aut: Incidunt hic; Autem dolor nobis commodi repudiandae""";"""(Sit) ; Placeat cum id and Tenetur odio"""
arthur_morgan_5697;Arthur Morgan;65.0;57.1;"""(Reprehenderit) ; Distinctio ab tempore and Voluptatibus impedit""";"""Dolorum veniam; Dignissimos eum ; Maiores"""
