# This is a comment line to skip
name,price,score,salary,comment
Ann Moore,2.0,,46.2,'''Total, Notice such Activity'''
Gregory Adams,14.0,17.1,91.2,'''Safe, Soldier involve decade whatever How through available'''
Stephanie Simpson,84.0,38.1,45.2,'''Pattern: Another also, Left listen impact wind'''
Joy Morris,96.0,48.1,82.2,'''Professor young land fire off, Line approach purpose Protect manage recognize forward shake'''
Troy Wood,73.0,96.1,39.2,'''Occur subject religious, Thing word up by section Artist former manage game'''
Madison Martinez,99.0,61.1,48.2,'''Paper health we happy account turn; Night remain board child , Institution'''
Alyssa Cox,12.0,48.1,70.2,'''Note: Science key, then Third movement lot traditional'''
Gregory Schmidt,97.0,67.1,2.2,'''Want sign recently they: Lose, Edge successful federal only against'''
Brian Anderson,90.0,57.1,81.2,'''Note: Share, then Begin north player skin bit they level'''
Mary Martinez,50.0,71.1,87.2,'''(Turn under ball) , The describe career discuss drive partner and Still red increase'''
John Martinez,33.0,83.1,76.2,'''(Power) , Ahead and Everybody establish public'''
o,100.0,70.1,7.2,'''Tend degree check, Parent actually skin north deep build Feeling above political require image'''
Johnny Lara,15.0,13.1,41.2,'''(Game sound) , Anyone and Suggest budget behavior suffer'''
Brianna Hernandez,,63.1,19.2,'''Her: Will artist, Tv chair attorney'''
Michael Yang,52.0,60.1,19.2,'''(Study) , Tree and Our friend'''
David Blackburn,14.0,26.1,58.2,'''Note: Begin, then Officer establish rather'''
Ashley Robinson,14.0,12.1,11.2,'''Note: Again indeed heart, then Drug trouble'''
Brent Stevenson,23.0,94.1,5.2,'''Note: Region environmental state, then Attorney'''
William Davis,100.0,80.1,10.2,'''Fear detail else almost certain, Fish finally manager any Car important play news'''
Barbara Mcdonald,6.0,36.1,2.2,'''Out action, Worker example defense Must challenge thus'''
Elizabeth Wilkinson,100.0,53.1,69.2,'''Note: Challenge, then Discover half political reason onto'''
Vincent Mcdonald,21.0,98.1,7.2,'''Poor reality; Increase opportunity sister house structure , Group cup let require lose camera'''
Stephanie Harvey,62.0,78.1,92.2,'''(Quite difficult newspaper not) , Current space option and Pm model region'''
Heather Cline,18.0,24.1,,'''Eight themselves rest top, Raise couple type compare Energy word man husband'''
Victoria Crawford,55.0,35.1,87.2,'''Bar thought course study: Those, Nearly already significant whole'''
Jack Fischer,76.0,1.1,54.2,'''Note: Threat program apply mission animal, then Art one visit choice number'''
David Miller,68.0,61.1,82.2,'''Note: Writer century college, then Remain happen animal family five relationship'''
Vanessa Lawrence,57.0,100.1,95.2,'''Throughout when, Few huge upon Everything another in'''
Daniel Cunningham,4.0,49.1,18.2,'''This; Operation new three , Chair together say financial'''
Miss Meagan Allen,76.0,49.1,39.2,'''(Everybody probably relate) , Father and Lead environmental'''
Melissa White,85.0,20.1,59.2,'''Before effect paper hope fine federal, Billion scene Kitchen'''
Ryan Holloway,62.0,47.1,56.2,'''Note: Everyone class choice under, then Scene responsibility'''
Gabriela Wright,67.0,86.1,53.2,'''(Outside near find trial sell) , Ground do particular start and Free fact'''
Christina Cross,74.0,57.1,40.2,'''Three; War guy , Speak baby'''
Jose Bender,81.0,43.1,82.2,'''Low memory skill along; Later effect , Everyone everyone'''
Travis Richard,91.0,54.1,39.2,'''Work decision; Would eye explain , Alone'''
Jeremy Benitez,53.0,75.1,37.2,'''Nor look; Dark miss will , Establish'''
Amy Thomas,65.0,40.1,79.2,'''(Light quickly) , Economy night and Reason itself'''
Olivia Powers DVM,44.0,38.1,20.2,'''Pay star carry yard: Less trade, Option ever'''
Zachary Brown,97.0,46.1,82.2,'''Mean; Cold green television friend , Today hold sound politics none'''
Kaitlyn Blair,22.0,24.1,10.2,'''Dinner; Space , Cold your pay catch low generation'''
Gregory Moses,35.0,34.1,27.2,'''Will: Standard doctor base lot, Mother program audience'''
Barbara Turner,6.0,6.1,98.2,'''(If born) , Everybody college not western stage use and Decide'''
Jason Becker,20.0,44.1,76.2,'''Leave support example choose foot left: Unit degree always, Skill'''
Tyrone Ayers,26.0,61.1,41.2,'''Live nation strong, Item simply Although meet'''
Johnathan Lynch,25.0,79.1,23.2,'''Note: Experience leg bill, then Of cell'''
