name,username,rating,age,price,remark,note
Timothy Carter-Murphy,timothy_murphy_3561,74.0,93.1,20.2,'''Autem repudiandae commodi expedita, Rerum ipsa nesciunt Et corrupti alias dolor nisi''','''Rem, Repellat quam repellendus possimus reprehenderit Est'''
Kerry Berry,kerry_berry_1874,29.0,48.1,84.2,'''(Deserunt aperiam quos voluptates) , Harum nobis and Sed rerum culpa sequi nihil''','''(Architecto delectus) , Vitae ratione and Odit consequatur ut esse quam'''
e,patricia_bentley_8408,12.0,26.1,49.2,'''Odio molestias; Consequuntur ipsa , Quaerat nobis laboriosam''','''Similique dignissimos neque; Laudantium velit amet , Consequuntur animi'''
Miss Catherine Parker,miss_parker_6501,100.0,,1.2,'''(Voluptates quia eveniet ea quia) , Praesentium quia and Commodi accusamus''','''Dignissimos odio corrupti inventore nobis, Autem totam tempore Molestias a'''
Marion Davies,marion_davies_4952,94.0,27.1,80.2,'''Soluta minima voluptatum accusantium; Fuga ipsum esse , Eveniet porro saepe''','''(Et ipsam delectus saepe error commodi) , Ut distinctio consequuntur and Amet consequuntur'''
Julie Dale,julie_dale_0719,41.0,37.1,60.2,'''Exercitationem, Ratione ad architecto Porro natus ducimus asperiores''','''(Suscipit commodi) , Suscipit enim dolores ipsa and Nemo quasi eos'''
Norman Graham,norman_graham_9470,8.0,8.1,96.2,'''(Adipisci aperiam aspernatur) , Sint praesentium laborum praesentium distinctio and Illum accusantium veniam''','''(In quis distinctio) , Odit pariatur debitis eaque and Autem magni'''
Tracy Price,tracy_price_5118,100.0,3.1,8.2,'''Aut dignissimos in illo eaque, Delectus cum quod nulla similique Soluta dolor''','''(Quod aut distinctio pariatur) , Quo and Repellat aliquam doloremque'''
Hannah Lord-Rowley,hannah_rowley_3196,71.0,83.1,38.2,'''Voluptates: Exercitationem enim aspernatur, Minima''','''Quia molestias quod autem vero: Molestias nostrum doloribus doloremque corrupti, Doloribus architecto'''
Ben Bond-Richards,ben_richards_6844,97.0,48.1,58.2,'''Ullam animi: Architecto sequi eligendi placeat laborum tenetur, Consequuntur illo magni''','''(Error laudantium) , Perspiciatis magni quod dolore and Enim id'''
Dr Jason Allen,dr_allen_2321,6.0,35.1,5.2,'''Maiores, Ducimus officiis Repellat mollitia''','''(Nulla) , Hic animi and Vero repellat quisquam hic deserunt'''
Kimberley Gill-Griffiths,kimberley_griffiths_3248,46.0,9.1,8.2,'''Note: Ullam voluptatibus, then Dolore recusandae odio''','''(Illum illo possimus) , Quod impedit and Fugiat possimus explicabo'''
Dr Lisa Pollard,dr_pollard_6932,37.0,58.1,62.2,'''Numquam et assumenda aperiam nemo culpa; Aliquid , Dolorum vero officia''','''(Sunt) , Similique totam alias and Assumenda odio'''
Mrs Bethan Clark,mrs_clark_3256,44.0,45.1,51.2,'''(Atque) , Rerum and Error quos''','''Cum corporis soluta dolores suscipit: Cum cum aperiam sint quia harum, Minima'''
Gavin Mason,gavin_mason_6006,20.0,91.1,73.2,'''Harum laboriosam fugiat eos, Enim dolore officia Consequuntur eligendi''','''At modi: Maxime et quaerat soluta, Magnam sit magnam'''
Antony Hunt,antony_hunt_9374,,39.1,27.2,'''Praesentium voluptas voluptas eaque labore; Animi , Modi''','''Note: Harum, then Ipsa itaque'''
Marcus Bird,marcus_bird_5127,23.0,100.1,77.2,'''(Quidem tenetur recusandae sequi temporibus alias) , Distinctio corporis porro ab and In quaerat deleniti numquam''','''Note: Ducimus tempora sit, then Ut laboriosam consequatur illo'''
Mrs Clare Ross,mrs_ross_7563,12.0,99.1,90.2,'''Consequuntur laudantium facere, Quisquam rem sequi Vel deserunt asperiores quod omnis''','''Ipsam eaque dolorum aut: Illo, Sit facere est'''
Anne Hall-Lloyd,anne_lloyd_5469,92.0,52.1,27.2,'''Soluta doloribus eligendi iste repudiandae nihil, Officia quidem quaerat Consequatur aliquid laborum sint''','''Temporibus corrupti; Saepe recusandae facilis , Eos aspernatur quaerat dicta'''
Kayleigh King,kayleigh_king_6956,12.0,15.1,70.2,'''(Fugiat possimus earum) , Id placeat corporis and Saepe eos a quis doloremque ea''','''Optio; Quisquam et , Esse perferendis modi'''
Mr Kieran Williams,mr_williams_9355,69.0,17.1,84.2,'''Note: Corrupti necessitatibus, then Aperiam sunt''','''Incidunt ducimus eaque dolores possimus: Omnis accusamus, Occaecati'''
Jasmine Miller,jasmine_miller_9864,94.0,55.1,15.2,'''Note: Expedita saepe placeat praesentium, then Laudantium''','''Note: Totam commodi exercitationem sunt, then Molestias aspernatur quidem aliquam'''
Darren Jones,darren_jones_1166,32.0,13.1,,'''(Eos provident) , Adipisci and Aliquid cupiditate sapiente''','''(Distinctio temporibus nostrum) , Molestias veritatis repudiandae and Aperiam non repudiandae culpa necessitatibus'''
Elizabeth Campbell,elizabeth_campbell_2312,35.0,35.1,22.2,'''Blanditiis ullam, Neque Magni numquam vero''','''Note: Cumque quia possimus, then Odit eaque'''
Stanley Baxter,stanley_baxter_8728,67.0,43.1,39.2,'''Dolore consequuntur possimus, Rerum odio Provident quidem voluptate''','''(Ipsam deleniti magni) , Magnam and Quam'''
Dr Caroline Wilkinson,dr_wilkinson_3825,22.0,74.1,66.2,'''Note: Quod maxime doloribus ad, then Reiciendis''','''Accusamus eum; Beatae harum velit sint distinctio nemo , Nostrum quae'''
Emily Rowe,emily_rowe_3702,97.0,97.1,14.2,'''Beatae tempora dolorum eveniet; Quidem , Molestias''','''Note: Consectetur excepturi, then Neque consequatur expedita'''
Marie Clarke,marie_clarke_4639,47.0,89.1,8.2,'''Eius eius; Eligendi hic iusto , Ad molestias''','''Quis nam; Officiis quisquam facilis , Eaque tempora maxime dolores'''
