name,score,age,price,message,comment
Jennifer Kelley,88.0,39.1,57.2,'''Event easy gun, Decision true meet Clearly''','''General member, Film how star be She act region must'''
Ricky Wu,23.0,23.1,30.2,'''Garden property education task yet, Might tax score data article Hotel''','''Unit true couple down: Include develop, Option remember up idea'''
Stephen Martin,4.0,64.1,,'''(I with table standard old) , Represent difference physical and Hope successful senior''','''(Network be time especially) , Company song probably and Government require time action stock'''
Phillip Johnson,19.0,32.1,56.2,'''Ago discussion let business letter official: Space military perhaps, Training ahead meet western''','''(Hear leg) , Suggest heavy and Role seem'''
Brandi Davis,8.0,97.1,100.2,'''Note: Make let community way ok partner, then Economic top recent decision certain agreement''','''Skin once market: Allow teach individual experience, Would word page provide'''
Adrienne Savage,66.0,46.1,81.2,'''(Nothing want political nothing guess four) , Food its and Her exactly interview''','''Note: Save response site else, then Bar ago'''
James Bowen,77.0,81.1,42.2,'''(Especially them) , Third discuss little always and Throughout nothing''','''Interesting; True , Company idea lay'''
Patricia Whitaker,90.0,94.1,96.2,'''Provide various suggest, State firm Whose include tree reality''','''Speak: Bag TV during east, My site'''
Angela Cook,62.0,34.1,37.2,'''Time: Speak affect, Base''','''(Station suffer our) , Nation relate fly and About receive often yourself various'''
Jason Johnston,45.0,14.1,77.2,'''Note: Hand town, then Small until''','''(Today various beautiful our student) , Market spring and Defense cut improve'''
Lee Andrews,33.0,39.1,54.2,'''Note: It major west, then Factor onto''','''Note: Expert appear, then Produce also final break'''
Donna Sanchez,87.0,69.1,42.2,'''Chair myself, Sit Remember discover power and civil''','''(Very) , High federal indicate and Western'''
Jackie Carlson,73.0,91.1,27.2,'''(Parent fear) , Foreign and School development''','''State service last, Force something it save Name economy make'''
Mr. Robert Gilmore,65.0,51.1,95.2,'''(Enough keep) , Buy activity memory billion American democratic and Hope cup''','''Look enough reveal join health thought; Respond , Crime maybe'''
Heather Fernandez,63.0,29.1,60.2,'''Television: Detail, Per question per today tree us play''','''Pick, Able trouble probably Different teach according increase'''
Whitney Watson,31.0,27.1,17.2,'''Note: Dark although issue leg pressure, then Prepare seek arm''','''Develop truth move, Choose carry customer key Inside federal start'''
Kathryn Bell,88.0,21.1,40.2,'''Hair detail word number; Short , Sound get draw strategy our''','''(Week good check final until live) , Little red item enter and Second'''
Alexis Edwards,18.0,44.1,35.2,'''Energy, Stage Reality play star buy father''','''Bill left away realize, Possible short Over movie player enough'''
Judy Stewart,,59.1,7.2,'''Note: Anything, then Hundred man''','''Discuss base; Professional matter , Suggest rock learn read behavior test'''
Samantha Williams,43.0,83.1,35.2,'''Way coach likely, Black course Writer law himself indicate''','''Girl ok leg technology authority: By give, Stock own late science give build'''
Brian Thomas,4.0,88.1,7.2,'''(Toward with young strong) , Consider just large nor from common and Address during''','''Bad property night face stay: Water customer artist relate there fund, Beyond world hold provide he'''
Larry Johnson,69.0,50.1,33.2,'''During what stage; Above , Here close''','''Responsibility: Hope baby daughter almost product, Control'''
Richard Hicks,48.0,,69.2,'''Food want everyone, Song wait total Wait''','''Note: Help hold, then Ten what cup'''
e,36.0,18.1,37.2,'''Note: Security nice, then Blue life work whom''','''Note: Development item election, then So form field stuff'''
Doris George,23.0,8.1,93.2,'''Decade to manage, Run service Speech together''','''Without read well body writer: Majority partner own, Cell cover hand save'''
Lori Kennedy MD,26.0,54.1,100.2,'''(Allow she happy sport behind) , Society south necessary game heart Democrat and Know receive participant''','''Care but, Skin half raise Idea street high quality'''
Adam Thompson,61.0,99.1,47.2,'''Kitchen enter teacher huge, Able charge majority physical because I Modern night yard cell skin''','''City bed: Fear daughter nor travel, Learn job produce while mouth state'''
Kevin Dickson,63.0,52.1,23.2,'''Though board nation organization show religious, Prevent arrive professional learn Popular''','''Such politics, Prepare His scientist site'''
Angela Smith,98.0,20.1,91.2,'''Argue thing while, Somebody election staff else stay North religious''','''(Whole realize senior) , Series cell and However'''
Heather Anderson,46.0,49.1,93.2,'''Shake: Make mother move, Central data against rule travel''','''(Better picture system) , Wear seek policy instead street and Evidence executive card personal maybe might'''
James Jones,63.0,24.1,18.2,'''Those economic project, Begin hard Change especially''','''Note: Why drop decision the, then Feel feeling research score'''
Samantha Harper,89.0,47.1,19.2,'''Right reach miss easy discuss, Age toward happy Financial live''','''But mission item skin: Lose, Audience door'''
Thomas Shepard,28.0,14.1,17.2,'''(Market main together resource something) , Officer most campaign his and Year beat''','''Above city sound, My home billion bring To know'''
Jason Howell,85.0,74.1,99.2,'''Note: Me before election relationship, then Artist participant middle upon''','''(Address development record) , Brother sort song and Fund them yes food'''
Alyssa Guzman,95.0,26.1,92.2,'''Just land time five technology: Page, North current manage''','''Change measure ever population; Argue unit , Lay defense'''
Richard Strickland,11.0,36.1,84.2,'''Least: Drug west institution, Bed factor late''','''Base thousand: Onto, But these east inside voice'''
Stephen Moore,20.0,26.1,6.2,'''Note: Sort range oil wonder, then Responsibility owner beautiful out''','''Note: Sing, then Stock surface section'''
Jerry Nguyen,22.0,27.1,6.2,'''(Community end these price service debate) , By message friend form capital safe and Three including''','''(Physical organization) , Property face better relationship like and Cold soldier treatment'''
Karen White,48.0,47.1,75.2,'''Before draw everybody firm send drive half, Fish blue Recent billion''','''Step his matter, Attack organization who Hear ball bar'''
Debra Love,46.0,89.1,75.2,'''Test performance eye represent lose personal, Activity owner clearly middle Good point stock''','''Note: Word, then Indicate race she'''
Michael Walker,54.0,66.1,67.2,'''Fly friend seem time; Personal prepare half Republican week , Lay front''','''Miss window hour set bill, Appear eight buy because Mention argue technology'''
Jose Sexton,94.0,71.1,68.2,'''Economic; Will price never , Nearly white drop live''','''Next; Well unit , Around politics fast'''
Jorge Anderson,92.0,19.1,2.2,'''Policy pretty one, State middle paper whole current Push traditional civil notice''','''Guess receive, Whose group research night size himself Executive around'''
