# This is a comment line to skip
username	name	salary	total_count	comment	review
dr_collins_2828	Dr Aaron Collins	45.0	50.1	"""(Animi) 	 Ullam deleniti rerum atque and Quidem voluptatum quidem aperiam nulla"""	"""Natus aliquid	 Quae suscipit accusamus quod dolor aut Reiciendis sit sunt cupiditate unde totam"""
miss_marshall_6099	Miss Carolyn Marshall	23.0	72.1	"""Quis libero; Beatae similique sunt repellat sunt 	 Aliquam ipsa et repellendus et"""	"""(Nemo dolorum perspiciatis incidunt) 	 Earum corrupti ipsum commodi and Autem quaerat"""
kenneth_bond_4307	Kenneth Bond	5.0	13.1	"""(Porro natus) 	 Ducimus nemo ipsam and Dolorum maxime voluptatum optio ex"""	"""Quae ipsum; Unde 	 A"""
laura_fox_6767	Laura Fox	7.0	54.1	"""Laudantium sapiente aperiam dolor	 Asperiores recusandae Non"""	"""Impedit sequi natus: Iure adipisci labore ullam exercitationem delectus	 Excepturi dolores dolorem ducimus"""
pauline_shaw_8548	Pauline Taylor-Shaw	32.0	90.1	"""Ex eveniet; Porro ipsum magni ea eaque 	 Ducimus assumenda placeat nam cumque"""	"""Nisi ullam laudantium vitae labore; Nostrum 	 Consequatur provident laborum occaecati rem dolores"""
ms_elliott_2436	Ms Amanda Elliott	22.0	35.1	"""Rerum iure; Sit sunt ducimus 	 Voluptates sapiente iste reiciendis ea"""	"""Magni rerum: Occaecati consectetur magni	 Quidem error"""
mr_hill_8249	Mr Terence Hill	26.0	19.1	"""Quam consectetur qui vitae possimus: Ratione suscipit	 Molestias laboriosam"""	"""Voluptas quibusdam; Veniam optio cum 	 Perspiciatis et accusantium nulla quod"""
oliver_booth_0260	Oliver Booth	17.0	53.1	"""(Minus voluptate expedita illum accusamus) 	 Ea ab dolore ea illum occaecati and Rem veritatis molestias adipisci facere"""	"""Quis iste	 Distinctio fuga facilis Voluptates sapiente facilis"""
kate_webb_1529	Kate Webb	100.0	98.1	"""Praesentium hic: Vero sit	 Exercitationem neque quasi"""	"""Note: Sed odio voluptatibus	 then Id odio adipisci"""
dr_clarke_9193	Dr Kimberley Clarke	81.0	7.1	"""Perferendis nemo commodi odio repellendus iure	 Vel mollitia ratione tenetur Hic voluptate"""	"""(Autem corrupti) 	 Consectetur rem minus eius and Quo quas magni laudantium"""
miss_kelly_0745	Miss Hilary Kelly	15.0	1.1	"""Reiciendis debitis	 Itaque Sequi omnis unde"""	"""(Repellat aliquam) 	 Architecto soluta and Dolore unde"""
