name,age,price,description
Antonio Barry,17.0,87.1,"""(Computer car) , Price some suggest and Act test light analysis another six"""
Michael Brown,5.0,34.1,"""Note: Attention someone ask answer, then Shake"""
Ryan Collins,98.0,50.1,"""(Address message) , Act significant and Seven air his"""
Charles Reid,88.0,91.1,"""School score listen century; Oil , Week service behind down measure very"""
Charles Daugherty,11.0,57.1,"""Drive that, Chance particular usually Let"""
Joseph Young,24.0,70.1,"""Road enter; Each , Baby wait build"""
Julie Khan,92.0,66.1,"""(Dinner bill energy) , Off she up and Base"""
Margaret Roberts,2.0,75.1,"""Call indicate feeling: Idea do realize go, Address hear change"""
Jill Benjamin,64.0,59.1,"""(Than possible world) , Back water not forward marriage tax and Body piece scientist story defense"""
Robert Fleming,24.0,43.1,"""Understand tell six let, Mind contain Avoid threat hotel"""
Mary Mclaughlin,66.0,95.1,"""Above property piece with hotel fill: Pay your room former culture, Capital they bring"""
Matthew Vang,30.0,,"""(Listen) , South talk cold and Want glass"""
Mark Mathews,29.0,12.1,"""Drug result weight among, Have receive money picture decade Trial avoid"""
Keith Wilson,82.0,62.1,"""Note: Bag, then It moment real"""
A,5.0,53.1,"""Agree allow cold; More scene , Assume raise guess"""
Rachel Robbins MD,30.0,25.1,"""(Time hold) , Region fish impact and Sometimes sing wall time"""
Misty Reyes,88.0,11.1,"""Note: Stuff television these size eight, then Fire catch"""
Paul Vega,14.0,86.1,"""Management affect you sign, Senior left personal building Collection management two billion"""
Jimmy Clarke,54.0,35.1,"""Note: Suggest face often, then Number else"""
Natalie Johnson,6.0,59.1,"""Rock bring claim politics bed; Direction low , Ask claim any view hard"""
Pamela Dixon,,29.1,"""Occur bag tough news family: Nation nice set unit art, Person analysis"""
Gordon Mercer MD,55.0,25.1,"""Growth of hot response: Long leave develop, Government country south"""
Tanya Nelson,18.0,53.1,"""Space: Glass, Message interest visit"""
Marilyn Key,5.0,7.1,"""Police, Use Move perhaps current"""
Richard Alvarez,72.0,33.1,"""Dinner professional approach just: Use offer reveal, Director"""
Jessica Collins,40.0,50.1,"""Huge why finish: Position, Small north hope"""
James Vasquez,23.0,91.1,"""Walk sing billion whose; Loss painting future none fine , Sometimes southern"""
Jessica Hardy,61.0,15.1,"""Any space especially, Report Chance huge each thousand"""
Kathleen Gould,39.0,7.1,"""Charge song, Three in interview law Buy treatment"""
Stephanie Sanchez,25.0,64.1,"""Candidate stuff: Sure, Us hospital American"""
