name,price,summary
Carole Johnson,25.0,"""Voluptatibus autem: Praesentium, Aliquam facere"""
Dr Mohammad Martin,74.0,"""Possimus doloribus porro iure, Labore excepturi consequatur Blanditiis itaque quo"""
Ms Suzanne Osborne,29.0,"""Consectetur quod harum fuga, Laboriosam sit nemo corrupti impedit Non repellendus magnam ipsam"""
Linda Turner,82.0,"""Note: Atque architecto deserunt nobis, then Neque asperiores doloribus repudiandae natus"""
Aaron Campbell,54.0,"""Maiores non; Nulla odit nam , Nobis odio"""
Dr Amelia Potts,52.0,"""Sed laborum provident laborum; Facilis quidem eveniet corrupti , Explicabo cumque veniam eaque eos"""
Gerard Lawrence,37.0,"""Tenetur alias velit modi: Commodi, Minus iusto"""
Jill Curtis,28.0,"""Ea: Architecto, Reprehenderit est molestiae"""
Dr Melissa Day,60.0,"""(Quidem quas mollitia) , Nulla fugit and Aliquam"""
Lee Fox,87.0,"""Odit itaque natus, Officiis deleniti quidem vero Nulla rem ea"""
Kim James,33.0,"""Nihil minus: Deserunt, Laborum placeat atque"""
Dawn Hall-Newman,40.0,"""Note: Repellat molestiae, then Neque"""
Justin Parker,54.0,"""Repellendus veritatis reiciendis omnis soluta facere; Odio fuga voluptas , Cum enim"""
Mr Ian Wyatt,37.0,"""Labore ut eos eveniet dolor: Ratione repudiandae reprehenderit temporibus, Adipisci similique"""
Gordon Johnson,92.0,"""Alias vel quam illum quam beatae, Officiis architecto at Alias animi odio magni beatae"""
x,8.0,"""Culpa corporis, Repellat quo Earum"""
Damien Robson,,"""(Optio itaque labore) , Quos adipisci ipsa repellat ratione and Vitae qui ipsum at"""
Kathryn King,89.0,"""Harum sequi; Incidunt iure labore consectetur , Facere aspernatur eaque voluptatem ipsam neque"""
Philip Cole-Hall,34.0,"""Note: Illo, then Commodi provident consequuntur"""
Lauren Evans,67.0,"""Note: Expedita dolores, then Facere distinctio sit fugiat autem iste"""
Graham Powell,85.0,"""Nobis expedita aut, Fuga rerum hic impedit Qui"""
Marc Williams,61.0,"""Libero non: Veritatis, Veniam dicta voluptates accusantium mollitia aliquid"""
Joel Pearson,56.0,"""Aliquam exercitationem fugiat; Enim consequatur cupiditate illo , Velit laborum delectus"""
