name	username	price	salary	comment
Jennifer Murray	jennifer_murray_1235		88.1	"""Matter rich point throughout section media; Pull scene traditional 	 Yet participant"""
Melinda Evans	melinda_evans_8504	11.0	11.1	"""Entire power summer: Defense article daughter	 Star girl large"""
l	daniel_moore_0995	21.0	66.1	"""Enjoy operation key	 Front machine specific Audience sea avoid stage identify necessary"""
Amber Williams	amber_williams_9243	17.0	57.1	"""Leg say; Tree company fly establish discuss 	 Law become effect"""
Robert Sims	robert_sims_8470	27.0	15.1	"""Foot together fund memory step; All end edge though 	 Building might"""
Robert Graham	robert_graham_3391	47.0	47.1	"""(Real base three able specific chance) 	 Age oil to card customer out and Decision modern example work"""
Brian Randolph	brian_randolph_1598	68.0	8.1	"""Last; Pm everyone 	 Tend"""
Sarah Diaz	sarah_diaz_7195	90.0	65.1	"""Visit improve else my	 Responsibility alone police treat whatever Rest alone personal skin listen man"""
David Clayton	david_clayton_5838	100.0	81.1	"""Day political Congress	 Message laugh hear director including event Road thank between"""
Amanda Kirby	amanda_kirby_4765	8.0	31.1	"""With at	 Meet quality clearly Support discussion hold they"""
Donald Rodriguez	donald_rodriguez_9803	19.0	67.1	"""Note: You help	 then Suddenly relate weight probably special many"""
James Bass	james_bass_7633	23.0	89.1	"""Bill yet be anyone	 Their Fly"""
Shelia Phillips	shelia_phillips_5019	27.0	56.1	"""Station computer; Focus adult page 	 Appear anything sense"""
Mark White	mark_white_0659	29.0	59.1	"""Himself lead; Instead right fund 	 Talk"""
Mr. David Nixon	mr_nixon_6123	87.0	8.1	"""Usually another none; Life now generation take 	 Ago system treat election"""
Stacy Coleman	stacy_coleman_4703	95.0	61.1	"""Note: Add	 then Middle city throughout"""
Makayla Marshall	makayla_marshall_6823	62.0	99.1	"""Note: Daughter democratic interest	 then No central almost cup heavy"""
Shawn Shaw	shawn_shaw_8154	99.0		"""Cut positive	 Perform everyone huge age gun Society rock financial argue country half"""
Anna Todd	anna_todd_5214	78.0	33.1	"""Reduce my around finally: Face health	 Field floor employee draw probably indicate"""
Luke Tate	luke_tate_4884	9.0	12.1	"""West myself: Community school oil add trial	 Usually experience thousand minute"""
April Lopez	april_lopez_5859	6.0	35.1	"""Wait family environmental: Doctor much eye represent eat	 Miss gas policy expert job fast"""
Carolyn Blanchard	carolyn_blanchard_2499	19.0	67.1	"""Note: Live strategy song try along	 then Source as may very simply item"""
Ethan Roberts	ethan_roberts_9389	32.0	50.1	"""Democratic likely still: Become report	 Born form until old management"""
Cynthia Martinez	cynthia_martinez_3459	28.0	43.1	"""Democrat left: Bring huge pattern	 Huge certainly"""
Jennifer Lopez	jennifer_lopez_7994	52.0	10.1	"""Note: Happy rule plant born leave alone	 then Full north"""
Melinda Mercer	melinda_mercer_2941	9.0	11.1	"""Leader morning young reality truth spend	 Daughter place chair police Stay them rest Mr cut"""
James Sandoval	james_sandoval_5545	34.0	38.1	"""Imagine charge never fight author: Two by mother image building anyone	 Thought"""
Evan Fisher	evan_fisher_3805	23.0	62.1	"""Camera fill subject fine: Check let ball	 Society plan measure expect join"""
Dylan Hernandez	dylan_hernandez_9182	78.0	67.1	"""Gas investment million	 West religious above Risk son create health"""
Ashley Hines	ashley_hines_1790	23.0	86.1	"""Operation summer though blood	 Scientist beat audience fact although war Ago"""
Ashley Walton	ashley_walton_0585	48.0	21.1	"""Her	 Describe move budget they billion thus Stock"""
Deanna Pennington	deanna_pennington_1533	30.0	98.1	"""History test tell; Would government again 	 Generation couple either"""
Ian Lopez	ian_lopez_0784	100.0	3.1	"""(Charge) 	 Unit improve buy and Specific approach feel specific"""
Charles Friedman	charles_friedman_7023	51.0	61.1	"""(Month democratic material) 	 Television different and Fast"""
Jenny Gould	jenny_gould_2980	7.0	64.1	"""Note: Change visit physical sure number	 then Far control growth list"""
Tony Nelson	tony_nelson_4465	73.0	36.1	"""Nearly: Ok food difficult happen agreement buy	 Major analysis station"""
Ashley King	ashley_king_1114	37.0	44.1	"""Wear bring structure wait glass media: Attack soon tax task	 Partner interest memory"""
William Gregory	william_gregory_4107	53.0	74.1	"""(Life old contain either expect same) 	 Know good and Owner budget"""
Alexandra Brown	alexandra_brown_9205	68.0	98.1	"""System sometimes edge	 Policy Pick"""
Emily Alexander	emily_alexander_4395	67.0	24.1	"""(Hundred onto head later weight) 	 Nature ahead decade scientist modern and Along fire thousand"""
Charlene Jenkins	charlene_jenkins_2375	86.0	7.1	"""(Day especially blue tree) 	 Pay class available and Join water certain"""
Randy Townsend	randy_townsend_7938	25.0	92.1	"""Cost again week it safe; Want sister you get conference 	 Material argue change"""
Timothy Schneider	timothy_schneider_8574	72.0	35.1	"""Note: Put present fall improve	 then Worry"""
Troy Cummings	troy_cummings_0022	3.0	99.1	"""Note: Serve standard image	 then Red choice three receive"""
Michelle Gonzalez	michelle_gonzalez_1348	50.0	91.1	"""Thousand behind: On join	 Long low"""
Laura Petersen	laura_petersen_3022	11.0	42.1	"""(Society involve traditional particular) 	 Night and Tough interesting lawyer"""
Megan Blake	megan_blake_3031	84.0	3.1	"""Note: Parent	 then Inside summer card"""
