# This is a comment line to skip
username;name;rating;total_count;age;summary
matthew_little_9450;Matthew Little;;33.1;20.2;'''Today without group: Say want series; Explain person war'''
jesse_hutchinson_9612;Jesse Hutchinson;82.0;18.1;63.2;'''Note: Agree foot physical; then Certainly day role because during'''
william_fox_5809;William Fox;87.0;6.1;53.2;'''Go others ball; Ability indeed structure watch ; Business medical fight government'''
jenna_west_5176;Jenna West;80.0;2.1;100.2;'''(Step everything forward) ; Remember company scene and Tell indeed serious need bring'''
melissa_peterson_7074;Melissa Peterson;17.0;22.1;40.2;'''Note: Put might; then Common floor measure'''
heather_cooper_2600;Heather Cooper;47.0;29.1;7.2;'''Experience be kitchen; Middle fear determine bring ; Matter number manager'''
tanya_russell_2763;Tanya Russell;100.0;8.1;98.2;'''Note: Machine hour performance better; then Office pull anything'''
crystal_smith_9140;Crystal Smith;84.0;18.1;78.2;'''Ability support true; Range take use area moment power Easy yeah any maybe country certainly'''
jonathan_terry_3176;Jonathan Terry;25.0;15.1;25.2;'''Firm attorney inside; Agent clearly oil Your ball hope'''
patricia_cook_8453;Patricia Cook;17.0;77.1;96.2;'''Above fill theory artist: Reality type choice simply; Size worker'''
adam_moss_6166;Adam Moss;91.0;9.1;32.2;'''I need: Method husband type; Explain fight tree fly'''
holly_combs_2993;Holly Combs;92.0;21.1;22.2;'''Evidence town eight manage; Natural process Place day'''
robert_lloyd_1862;Robert Lloyd;79.0;88.1;16.2;'''Between factor: Less only; Important'''
brandi_brown_1563;Brandi Brown;53.0;84.1;53.2;'''Force baby; Rest point Western cut'''
timothy_maynard_5351;e;43.0;44.1;16.2;'''Note: Culture exist; then Tree floor one'''
james_chan_1928;James Chan;23.0;35.1;31.2;'''Product business: Reality it should side leave cost; Community matter help out less'''
ellen_ruiz_2733;Ellen Ruiz;43.0;14.1;55.2;'''Note: Recognize tax when; then Good name major plan'''
richard_avila_1867;Richard Avila;93.0;80.1;3.2;'''Member success; My seek rather far ; Walk specific marriage shake list'''
jennifer_jackson_0894;Jennifer Jackson;17.0;99.1;98.2;'''Particularly professor present; Interview ; Break floor part'''
cassandra_brown_5778;Cassandra Brown;16.0;32.1;61.2;'''(Imagine whose) ; Create former leave and Their close'''
melissa_sanchez_4473;Melissa Sanchez;13.0;28.1;68.2;'''Me; Career everything organization because Commercial pay'''
marc_collins_2586;Marc Collins;36.0;53.1;79.2;'''Note: Seven ground site; then Positive production door'''
thomas_flores_1195;Thomas Flores;99.0;29.1;33.2;'''(Tend heart way) ; During fill firm manager and Focus explain almost'''
nicole_haynes_7861;Nicole Haynes;44.0;82.1;71.2;'''Republican us; Thing protect Magazine deal him'''
annette_walsh_5793;Annette Walsh;6.0;35.1;93.2;'''Civil my; Thank art firm hundred sell Air consider fish now the'''
michael_johnson_5591;Michael Johnson;69.0;81.1;52.2;'''Create serve certain: Yard sign; Boy serious thank type capital position'''
lisa_hobbs_1460;Lisa Hobbs;38.0;46.1;67.2;'''Table interesting suddenly wear treat: Term; Statement over accept tax beat'''
allison_miranda_6541;Allison Miranda;35.0;54.1;56.2;'''(Never) ; Opportunity free study spend and Range public sit answer lawyer treat'''
emily_howard_5271;Emily Howard;67.0;39.1;;'''With somebody tonight let; Into sort ; Field federal decision just participant'''
krista_hall_3224;Krista Hall;30.0;24.1;98.2;'''Interesting go yard make available; Lead though Successful require stay report grow water'''
scott_carter_2729;Scott Carter;3.0;;48.2;'''Product; Wear pick ; Represent partner light'''
jeffery_taylor_8792;Jeffery Taylor;33.0;56.1;93.2;'''Note: Language his major create mother; then Exist'''
jenna_hill_9321;Jenna Hill;37.0;42.1;29.2;'''Follow throughout; Under poor ; National'''
jeremy_ramirez_3237;Jeremy Ramirez;95.0;74.1;33.2;'''Collection; Defense seem ; Name ready human'''
nicole_schmidt_7975;Nicole Schmidt;70.0;69.1;76.2;'''(Sea listen) ; Entire and Modern concern data minute'''
steven_howard_0770;Steven Howard;81.0;16.1;1.2;'''(Feeling fire other) ; Court worry and Central'''
denise_greene_3356;Denise Greene;61.0;26.1;4.2;'''Professor: Budget space; Stop image'''
nicholas_austin_8969;Nicholas Austin;13.0;9.1;18.2;'''Bag involve; Ten deal wear yard indicate sure Agree government different seem'''
rebecca_price_1024;Rebecca Price;92.0;89.1;71.2;'''Too; After often there ; Could much owner'''
rebecca_fisher_7840;Rebecca Fisher;63.0;80.1;70.2;'''Black; No ; Each common'''
michael_underwood_5496;Michael Underwood;26.0;25.1;73.2;'''Note: Authority; then Protect contain attorney ever thank start'''
samantha_rodriguez_3968;Samantha Rodriguez;10.0;32.1;67.2;'''Save very pick; Indicate sense sell cover ; Charge director'''
jennifer_burgess_5074;Jennifer Burgess;38.0;27.1;9.2;'''Note: Ask week; then Any top'''
amy_martinez_8807;Amy Martinez;9.0;33.1;43.2;'''Suggest interesting fill; Window old hard why site audience Make significant usually'''
william_brown_5865;William Brown;46.0;95.1;48.2;'''(Huge late go feeling inside) ; Skin stop message hospital director respond and Body owner'''
