username	name	score	salary	age	description
john_gould_4060	John Gould	74.0		100.2	'''Nice let story; Owner why couple late 	 Tree'''
katherine_best_4212	Katherine Best	32.0	70.1	84.2	'''Heavy may about financial	 Chair agency Tax single show'''
kristen_washington_6244	Kristen Washington	26.0	58.1	43.2	'''History smile about; Local expect 	 Add exist four story'''
abigail_williams_5293	Abigail Williams	36.0	28.1	22.2	'''Side: Assume little	 Need for system war talk'''
jasmine_monroe_0792	Jasmine Monroe	48.0	57.1	87.2	'''Note: Able affect contain necessary arrive billion	 then Among certain suggest'''
thomas_lane_1631	Thomas Lane	53.0	10.1	71.2	'''(Amount identify) 	 Ready claim understand similar and Charge worry'''
cassandra_wagner_8668	Cassandra Wagner	49.0	85.1	26.2	'''Note: Then out month modern agency	 then Food world sing none'''
paul_malone_0027	Paul Malone		65.1	61.2	'''Note: Camera high treat its thousand	 then Walk behavior'''
sandy_martinez_1543	Sandy Martinez	87.0	100.1	57.2	'''(Order recent) 	 Hour bring and Appear participant'''
andrew_martin_2600	Andrew Martin	90.0	12.1	23.2	'''(Research last true hand page) 	 To particular ground and Safe'''
betty_martinez_3588	Betty Martinez	81.0	81.1	67.2	'''(Financial size) 	 Represent medical exist international will reflect and Media product do national letter population'''
aaron_duncan_3585	Aaron Duncan	58.0	48.1	18.2	'''(Main give piece) 	 Event four wind late share lawyer and Force list'''
adrian_lewis_4483	Adrian Lewis	94.0	52.1	56.2	'''Here present: Question boy	 Determine pass'''
kyle_rojas_5759	Kyle Rojas	3.0	56.1	68.2	'''Consumer beat half issue executive forward; Benefit career law member 	 Drug environment'''
christian_russo_1473	Christian Russo	21.0	94.1	75.2	'''Feeling southern; Pull 	 Material wide move without government'''
jessica_stewart_0582	Jessica Stewart	51.0	56.1	24.2	'''Note: Ability century sea sure	 then Method for bit'''
alexander_reynolds_6790	Alexander Reynolds	10.0	96.1	81.2	'''Stock professional sit benefit social: Seem economy move property she	 Owner if rise'''
christopher_west_1837	Christopher West	17.0	11.1	76.2	'''Note: Within simple action cut talk need	 then Be live leave'''
randall_richardson_4773	e	61.0	16.1	15.2	'''Approach leader respond: Above large	 Attention way'''
timothy_matthews_0323	Timothy Matthews	73.0	68.1	20.2	'''Note: Enter hard	 then Loss computer'''
kyle_hernandez_9049	Kyle Hernandez	10.0	97.1	73.2	'''Threat force quickly: Source hour	 Play'''
justin_obrien_3831	Justin Obrien	29.0	29.1	13.2	'''Attack drive information ten forward	 Television rule move something Service collection'''
william_french_7789	William French	61.0	89.1	8.2	'''(Do bar pay sport) 	 Enough before and Off'''
stephanie_long_0727	Stephanie Long	8.0	10.1	14.2	'''Month; Ask 	 Artist'''
guy_sutton_0291	Guy Sutton	49.0	16.1	44.2	'''(Range spend although) 	 Material exactly discover article agent and Big tonight condition'''
stacey_miller_3494	Stacey Miller	63.0	93.1	86.2	'''Note: Family sure front main	 then Shoulder media per'''
jeffrey_jones_6144	Jeffrey Jones	81.0	95.1	70.2	'''Indeed must line	 Cell teach beat including field Finally program environment black ground girl'''
amber_smith_7015	Amber Smith	57.0	2.1	19.2	'''Beat group buy sell option administration	 Kind garden area open my Subject participant use'''
caitlin_mosley_2279	Caitlin Mosley	69.0	95.1	62.2	'''Respond bed maintain item	 From project professor Trade opportunity play toward enough left'''
autumn_walsh_5279	Autumn Walsh	63.0	61.1	6.2	'''Store affect	 Collection art mission Structure'''
jason_larson_1414	Jason Larson	92.0	84.1		'''Note: Information focus	 then Help mother goal'''
suzanne_lopez_1133	Suzanne Lopez	83.0	81.1	34.2	'''No benefit: Talk onto true answer technology	 Value show'''
