username;name;age;total_count;review;description
aaron_chan_0131;Aaron Perry-Chan;74.0;29.1;"""Dolore quam; Rem enim id tenetur ; Dolore officiis dicta""";"""Note: Doloremque explicabo; then Nesciunt molestiae"""
ms_burke_9921;Ms Carol Burke;93.0;90.1;"""Aliquam saepe nesciunt; Incidunt nam pariatur ; Sint illum pariatur""";"""Note: Quaerat; then Id distinctio ullam error"""
nicola_smith_5342;Nicola Smith;3.0;65.1;"""Note: Deleniti odit; then Beatae molestias nam nemo natus itaque""";"""Enim dolorem; Aliquid quibusdam at laudantium Distinctio atque laborum"""
geraldine_kay_8922;Geraldine Marshall-Kay;99.0;85.1;"""Distinctio voluptate sequi: Sunt natus at; Aperiam aliquid fugiat unde recusandae""";"""(Ipsam nemo laudantium esse) ; Nobis illum soluta cumque and Ipsam ullam est culpa repudiandae"""
daniel_clarke_1842;Daniel Clarke;87.0;77.1;"""Note: Cum eius commodi; then Incidunt blanditiis aliquam""";"""Distinctio impedit facilis eveniet: Earum voluptate eligendi; Rem amet quibusdam veritatis"""
thomas_ward_4816;Thomas Davis-Ward;3.0;25.1;"""Vero repudiandae ea; Enim libero ab voluptatem cupiditate labore ; Hic quisquam consequatur""";"""Note: Doloribus tempore odio doloremque officiis perferendis; then Recusandae pariatur nulla"""
dr_whittaker_6302;Dr Shane Whittaker;26.0;17.1;"""(Doloribus ipsum nisi) ; Dolores architecto sed and Eligendi corrupti""";"""Dolore voluptatem pariatur aspernatur; Officiis enim eligendi harum dicta Eveniet molestias accusantium"""
eileen_barker_0758;Eileen Barker;8.0;;"""(Eum veniam repellat error numquam in) ; Optio fuga magnam and Sed odio""";"""Note: Repellat voluptas; then Temporibus facilis"""
natalie_ferguson_0979;Natalie Wilkinson-Ferguson;68.0;85.1;"""(Illum incidunt officiis maiores recusandae) ; Maxime numquam aliquam molestias consequuntur aliquid and Exercitationem repellat nesciunt animi vitae""";"""Corporis harum ratione voluptate; Quidem ; Alias accusamus delectus"""
dr_atkins_5387;Dr Abdul Atkins;;96.1;"""Note: Corporis in modi; then Soluta architecto""";"""(Deserunt) ; Eum and Numquam consectetur"""
ronald_read_6729;Ronald Read;90.0;54.1;"""Minima dolore; Facere et In quia maxime""";"""Note: Est consequuntur ducimus illo; then Dolorem rerum maiores"""
scott_reynolds_6468;Scott Kelly-Reynolds;84.0;26.1;"""Voluptas exercitationem unde optio; Ipsum accusantium error ; Tempora""";"""(Velit eius) ; Delectus quibusdam and Repellendus cum est nulla facere ad"""
ms_hudson_1367;Ms Linda Hudson;48.0;22.1;"""Libero odit; Inventore suscipit voluptas ; Alias quas odio aliquam quas""";"""Iusto quos magnam minima ab: Ipsam; Iste numquam ullam esse"""
keith_evans_8773;Keith Evans;77.0;56.1;"""Tempore dignissimos nihil; Adipisci dolorem magnam ; A esse ratione""";"""Ab ea debitis laborum minima quaerat; Nam accusamus voluptatem ratione suscipit dolorem Incidunt aliquid occaecati totam"""
vanessa_wright_5004; ;60.0;45.1;"""Note: Vel rerum dicta cupiditate eius voluptatibus; then Veritatis nisi facere labore""";"""Odio inventore veritatis consequatur exercitationem a; Odio consequatur amet Nam nam sunt accusamus"""
nathan_taylor_1072;Nathan Taylor;81.0;58.1;"""Nihil incidunt numquam; Minus odio praesentium Magni sequi""";"""Assumenda blanditiis cupiditate; At ; Alias"""
