username	age	score	salary	review
anne_knapp_2925	49.0	26.1	1.2	"""Major cold or	 Score to Music significant statement"""
alyssa_henry_5095	78.0	16.1	86.2	"""(Charge offer) 	 Second professor treat red simply and Seven security"""
robin_parker_8065	24.0		98.2	"""Although parent herself majority: Personal rich	 Those provide"""
daniel_stewart_1386	35.0	45.1	80.2	"""(Turn) 	 South newspaper card and Democratic grow one detail anyone"""
james_pineda_6085	40.0	82.1	62.2	"""(Thought dark mean scene toward) 	 Tough others and Entire"""
michelle_miller_3699		46.1	45.2	"""Into billion a range western; Section better money today 	 Necessary attack"""
lori_galvan_8775	87.0	56.1	90.2	"""Authority on space; Must approach 	 Just long understand world"""
richard_flores_1487	87.0	25.1	6.2	"""(Bag point foreign) 	 Spring factor and Remember scene"""
keith_mitchell_2654	15.0	44.1	76.2	"""Note: Home age	 then New"""
timothy_harvey_0276	30.0	7.1	98.2	"""Occur feel; Interesting health 	 Argue long event security red"""
adam_md_3531	7.0	11.1	96.2	"""Note: Operation marriage	 then Exist agreement only"""
ryan_arnold_5960	97.0	86.1	19.2	"""Note: Once indeed participant manager science guess	 then Store control way plant"""
carrie_collins_9389	84.0	6.1	62.2	"""Hair leader wall; Issue author move 	 Before last military major take leave"""
jennifer_schneider_8418	9.0	42.1	79.2	"""(Skill he general detail travel) 	 Ever politics very and Hospital partner act our"""
kristina_lopez_8774	55.0	32.1	26.2	"""Lawyer provide	 Walk already scene Kitchen animal"""
kimberly_choi_7427	34.0	36.1	66.2	"""Several foreign fish art court bar: Office	 Explain woman magazine"""
stacy_porter_4963	60.0	16.1		"""Head finally: In fall	 Why seek"""
john_johnson_3023	4.0	28.1	50.2	"""(Set large others voice right) 	 Those listen president and Soldier trade program teach light water"""
matthew_carr_9146	71.0	13.1	59.2	"""Bank ago already	 Drug whether rise by My"""
kimberly_perez_9280	62.0	63.1	95.2	"""Note: Enter trip maintain treatment	 then Police financial commercial"""
