username;price;salary;total_count;summary
brandon_harris_4249;16.0;67.1;4.2;"""Our three thought person; Laugh note half ; Blue from degree follow"""
joann_jones_3126;40.0;27.1;77.2;"""Chance key attention season many; Former policy part professor ; Move street available order rule result"""
matthew_jackson_4614;88.0;46.1;31.2;"""Walk seat: Activity audience collection it recent professional; She send child"""
gregory_warren_5212;68.0;54.1;6.2;"""(Dark medical character citizen) ; Computer and Year since"""
bonnie_jordan_4363;98.0;64.1;39.2;"""Nothing world black budget; Upon stop position ; Happy democratic continue decision level"""
virginia_pennington_3976;;80.1;92.2;"""Magazine claim board myself: Professional main morning; Issue better"""
christopher_martinez_9216;88.0;44.1;65.2;"""(City up general) ; Week look and Congress soldier writer"""
joseph_hill_2522;58.0;84.1;89.2;"""Central lawyer hotel student fly assume; Law plan require thought ; Issue level despite"""
natalie_ramirez_1610;3.0;23.1;32.2;"""Note: Attack; then We floor"""
ashley_ellis_2958;7.0;64.1;3.2;"""Ask ready side; Stop state understand high growth population ; Step see easy Congress"""
daniel_green_5611;97.0;87.1;94.2;"""Where director: Imagine mother than each have; Officer back"""
john_armstrong_2373;88.0;36.1;69.2;"""Local value write; Rich single media reduce ; Fire rather"""
brooke_henson_7262;10.0;2.1;94.2;"""Hospital source nice: Toward; Month since parent be"""
denise_parker_8240;13.0;24.1;62.2;"""Enjoy suffer game threat they; Third Involve visit guess Congress light everybody"""
jose_taylor_9620;66.0;36.1;23.2;"""Box anyone television: Red; Every newspaper Republican"""
joyce_watson_3717;87.0;73.1;91.2;"""Note: History image Mr reflect; then Free entire station voice"""
joshua_castillo_1603;66.0;50.1;31.2;"""Note: Though subject himself could; then Give tax"""
jennifer_knight_6755;14.0;49.1;15.2;"""Tough campaign: Oil; Six must case group member national"""
angela_nguyen_9114;66.0;6.1;32.2;"""Pass important; Office ten young Surface"""
nicole_smith_3015;76.0;54.1;41.2;"""Which grow job; Between it Born mention"""
elizabeth_gonzalez_8496;53.0;67.1;13.2;"""Else house allow; Road church Determine hold available action"""
manuel_phd_5008;8.0;29.1;58.2;"""Computer artist: Administration able; Physical sign third former finish"""
danielle_dvm_2073;92.0;71.1;22.2;"""Base safe; Attack most support Senior"""
sheryl_mcdonald_8626;44.0;78.1;59.2;"""High serious single year partner; Decide player ; When color"""
kenneth_marsh_4973;96.0;29.1;60.2;"""Run father; Degree dog ; Fire"""
stephanie_ramirez_2447;22.0;81.1;20.2;"""His close: Out career dream; Because gun together"""
kevin_orozco_8681;5.0;;2.2;"""Who face: Sometimes seven single; Election"""
latoya_russell_2492;19.0;58.1;64.2;"""Similar fire; Music eat catch ; Number"""
nicholas_hayes_5816;82.0;27.1;41.2;"""Guy a; Stuff Right picture film"""
jeffery_carpenter_1103;20.0;70.1;72.2;"""Baby way yard; Boy effect maybe statement Certain treat think"""
craig_evans_0645;14.0;10.1;97.2;"""Note: Send believe we term; then Fire region break fire"""
amber_schmidt_7286;80.0;16.1;;"""Them professor laugh law successful: Treat; Enough student treatment"""
sean_hernandez_3137;26.0;81.1;39.2;"""Wrong age vote natural evening something: Movie; Language marriage"""
kimberly_lewis_6910;52.0;60.1;39.2;"""Note: Could where ground affect; then Quite"""
michael_baker_0137;44.0;72.1;36.2;"""Trip poor much create; Modern eight ; Trade they"""
tonya_gonzales_0476;63.0;32.1;37.2;"""Cell line; Serve listen fish Republican lot including ; Fast deep"""
hannah_joyce_8481;15.0;72.1;39.2;"""Analysis visit benefit: Language; Candidate"""
jamie_hansen_0829;45.0;25.1;37.2;"""Note: Sure effect; then Deal across this"""
robert_watson_4201;55.0;62.1;99.2;"""Off court; Return ; Pass right buy surface"""
stephen_collins_8814;30.0;32.1;81.2;"""Explain look visit green; Help forget share under occur Recognize"""
alexandra_wallace_0850;87.0;58.1;30.2;"""Hard more ball morning; Thing city international drive manage Area option produce eye"""
aaron_watts_7467;58.0;24.1;83.2;"""Property sister teacher forward; Building treat Throughout compare"""
jacqueline_ramirez_9851;76.0;48.1;48.2;"""(Chance citizen very physical show) ; Sometimes wife break figure environmental and Night hotel garden"""
brian_martin_6059;87.0;27.1;82.2;"""Military war city either; Glass job participant Price break"""
mr_harper_9946;68.0;60.1;20.2;"""(Act) ; Factor item evidence and That nor"""
christina_valdez_5246;97.0;50.1;13.2;"""Father allow they develop; Stop option Shake around physical look"""
