# This is a comment line to skip
name;rating;price;message;note
Jake White;55.0;;"""(It) ; Benefit but still and Give expert""";"""Every news; Series bad Policy kitchen him they race"""
Laura Martinez;99.0;31.1;"""Several few show fear: Might role; Social""";"""Writer finish: Above sometimes model reflect recognize; Environment without"""
Brittany Lee;6.0;24.1;"""Become over; Know wonder wind ; Evidence""";"""Note: Result; then Charge agree so"""
Zoe Anderson;52.0;6.1;"""(Decide) ; Term sister worker price and Show choose size direction budget""";"""Ready business hear such point: The; Yes police"""
Rebecca Rivera;28.0;46.1;"""(Too affect) ; Year me song financial son and Discussion author game assume top clear""";"""(Smile standard term) ; See new on new article and Force himself police dark time chair"""
Dylan Gonzalez;22.0;17.1;"""Item how defense value whose; Significant method stock ; Natural single""";"""Thought kind pattern much; Cultural concern maybe tend these Out management"""
Calvin Edwards;25.0;23.1;"""Note: Including; then Tax read""";"""(Fast hundred first) ; Wrong radio and Like economic effect"""
Amy Meyer;30.0;96.1;"""Growth attention: Control respond; System smile modern share particular""";"""According something go; Space throughout thought claim ; Wrong light instead"""
Robert Mckenzie;9.0;88.1;"""Spring church; Now west kid under ; Current spring study prove""";"""Total another: No head; Degree together happy"""
Courtney Collins;100.0;55.1;"""Back; Ball structure account available Scientist""";"""Note: Paper religious recently; then Entire investment"""
Kathy Murray;70.0;20.1;"""Note: Along blue group act; then Smile small nice analysis truth Congress""";"""Plant first think Republican; Friend upon Necessary book"""
Jessica Monroe;55.0;88.1;"""Note: Check; then Throughout compare""";"""Hope young hope money: Plant light arrive everyone; Foot"""
Todd Mason;57.0;68.1;"""(Five form she yet) ; Project and Provide finish ten five""";"""News consumer; Receive rich measure class site Degree actually"""
David Taylor;88.0;28.1;"""Force deal thus; Energy five inside ; Under item despite away""";"""Pattern despite then; Job decide watch He"""
Caitlyn Ford;37.0;11.1;"""(Fire) ; Clear end break material and Despite imagine media conference group""";"""System media look: Beat whose responsibility; Trip both name find trial"""
Amanda Warren;67.0;9.1;"""Note: Yard agree both; then Article top figure red""";"""(Performance) ; Across since town attention and Trial close democratic"""
David Scott;38.0;66.1;"""(High market) ; Have property and Plant year church go""";"""(Usually but) ; Key tell glass and Food there know"""
Kim Boyer;71.0;4.1;"""Series appear but: Final must worker; Garden""";"""Special ball time; Every Lay study great husband industry exist"""
Elizabeth Mitchell;26.0;33.1;"""Treat last side radio; Young cell there ; Teach skin serve""";"""Drop whether cover; She upon and argue or ; Machine sport some"""
Tracy Hernandez;;37.1;"""Note: Attorney southern task; then Anyone make own""";"""Note: Church station in; then Make"""
Kaitlin Ryan;13.0;7.1;"""Couple bad; Parent consider lay sort ; Light list""";"""His before; Explain ; Hot white"""
Catherine Nguyen;54.0;91.1;"""Crime dream drive: Sound road; Fact""";"""Note: Yes nice everyone land bag; then Hand allow"""
o;59.0;5.1;"""Real beautiful build miss: Step bad manager wrong easy; The get""";"""Work themselves policy; Light Room program skill"""
Steven Farmer;93.0;28.1;"""Door mouth care difference; Wall sing next of third sure ; Job agreement treatment court movement""";"""Note: Purpose eight; then Onto happy choice"""
Steve Larsen;25.0;68.1;"""(Physical) ; Response about west and Relate movement""";"""Note: Society will war; then Off when station beyond group"""
Carrie Lynn;20.0;57.1;"""West need; Nothing difference direction ; Truth establish process standard""";"""You: From important red now; Eye really"""
Maria Peters;48.0;57.1;"""Develop thought: Think factor ready; You claim item""";"""Mouth; Produce information ; Look scientist threat value"""
Catherine Powell;83.0;27.1;"""(Reality spring) ; Charge computer ahead and Recognize""";"""Note: City Mrs run sign; then Deal"""
