name;username;total_count;age;price;description
Kara James;kara_james_1601;16.0;75.1;68.2;"""Along amount business; So threat new officer picture ; Think lay"""
Denise Burgess;denise_burgess_1828;9.0;56.1;86.2;"""(Alone help fill hot) ; Director and Religious plant later second year"""
Angel Cain;angel_cain_8626;87.0;13.1;68.2;"""Note: Wish; then Actually"""
Brian Kelley;brian_kelley_7566;;98.1;74.2;"""Note: Sure; then Design be"""
Raymond Morrison;raymond_morrison_9929;50.0;34.1;76.2;"""Send; Have very On series with"""
Sarah Hernandez;sarah_hernandez_5628;32.0;29.1;37.2;"""Moment: Keep teach; Game total hand"""
Kevin Rice;kevin_rice_5250;31.0;33.1;38.2;"""Note: Light; then Learn senior"""
Joanne Scott;joanne_scott_4698;27.0;61.1;98.2;"""Note: Want involve; then Their bit"""
Sarah Dalton;sarah_dalton_3716;68.0;7.1;93.2;"""Miss be able few; Very prepare ; Hit add"""
Alison Berry;alison_berry_5301;97.0;87.1;21.2;"""Side; Something policy ; How allow value"""
Gabriel Fleming;gabriel_fleming_7373;93.0;76.1;64.2;"""(Nice theory) ; Heart participant ahead spring and Central reveal dog much"""
Danny Davis;danny_davis_0548;71.0;3.1;15.2;"""Note: Should listen; then Reach"""
Melinda Gonzalez;melinda_gonzalez_9979;77.0;1.1;;"""(Store end) ; Hot result research special and Treatment owner"""
William Romero;william_romero_6859;33.0;64.1;53.2;"""Government: Southern seven; Party"""
Lisa Young;lisa_young_3923;31.0;7.1;20.2;"""Note: Identify party know whether environmental prepare; then Wait"""
Keith Evans;keith_evans_0975;91.0;41.1;53.2;"""Society head a buy data: Indicate newspaper that; Husband"""
Christy Hunt;christy_hunt_3038;24.0;41.1;1.2;"""Usually enter room hair toward: Type drug miss; Student no character wait"""
Jason Jackson;jason_jackson_8245;61.0;38.1;44.2;"""(Suffer stock traditional) ; Actually natural office and Draw value help"""
Kimberly Riley;kimberly_riley_8379;94.0;69.1;94.2;"""Lead affect; Now after Laugh power sport"""
Ronald Ross;ronald_ross_4718;43.0;65.1;81.2;"""Its door ask; Officer race step Who with important"""
Kenneth Smith;kenneth_smith_7691;43.0;11.1;42.2;"""(North meet any) ; Already now and Whom"""
Kimberly Brown;kimberly_brown_6847;17.0;33.1;28.2;"""Have; Scientist between Simple fine goal"""
John Cole;john_cole_4027;84.0;30.1;14.2;"""Type pretty some; Example two especially role If idea natural car card"""
Joseph King;joseph_king_3270;86.0;95.1;67.2;"""Lot; Him Serve daughter challenge international"""
Douglas Mitchell;douglas_mitchell_0200;38.0;38.1;75.2;"""All red religious; Issue speak church Eat control"""
Julie Meyer;julie_meyer_7553;43.0;18.1;6.2;"""Note: Impact amount bag amount; then Indeed table enough"""
Angelica Marshall;angelica_marshall_1721;22.0;87.1;98.2;"""Action news class; Yet other carry ; Within none"""
Krystal Patel;krystal_patel_4977;37.0;47.1;15.2;"""Degree state; Large Beyond sometimes"""
Christian Nichols;christian_nichols_8481;59.0;38.1;68.2;"""Because huge style; Perform ; Beyond figure"""
James Turner;james_turner_6106;71.0;53.1;75.2;"""Ten her future figure: Culture magazine local garden; Care contain key entire"""
Joshua Dyer;joshua_dyer_8775;23.0;75.1;27.2;"""Would; View such ; Brother but involve discuss candidate"""
Dana Carlson;dana_carlson_5979;9.0;79.1;45.2;"""Always: Watch reflect; Bag plant tax"""
Mark Kelly;mark_kelly_3427;42.0;18.1;11.2;"""Out pass north ahead material: Writer; Production Mrs total"""
Jeffrey Steele;jeffrey_steele_0392;76.0;6.1;80.2;"""Note: Tax project western; then Turn phone"""
Matthew Payne;matthew_payne_2186;71.0;45.1;49.2;"""Note: Owner public adult necessary him; then Car beat better across deal"""
Andrew Contreras;andrew_contreras_1505;61.0;38.1;9.2;"""Whatever figure: A around; Respond be"""
David Smith;david_smith_4701;24.0;73.1;9.2;"""Nice: Letter power; Morning soldier center"""
Michael Moran;michael_moran_5143;94.0;96.1;15.2;"""Also can hospital place: At toward wall; Concern city structure case technology"""
Ashley Watson;ashley_watson_1022;69.0;92.1;93.2;"""Note: Whose; then High animal center"""
William Bryant;william_bryant_1572;88.0;65.1;35.2;"""(Able) ; She watch feel and Fill require sister base"""
Jordan Maddox;jordan_maddox_7056;7.0;80.1;67.2;"""(End simply) ; Respond music and Board recent hit cause"""
Jimmy Shelton;jimmy_shelton_1792;47.0;85.1;37.2;"""Serious; Behavior ; Difficult cell billion"""
Robert Martin;robert_martin_2328;49.0;97.1;59.2;"""Big or off; Then Seem"""
Linda Johnson;linda_johnson_8000;29.0;9.1;75.2;"""Ahead special: Experience fire teacher; To song"""
William Costa;william_costa_6447;1.0;99.1;95.2;"""Hair he; Impact stand ; Court hit story doctor"""
Lisa Wallace;lisa_wallace_4848;5.0;19.1;57.2;"""(Thought top respond need pattern treatment) ; Bad and Join able"""
D;robert_murillo_7492;18.0;;74.2;"""(Once success) ; Most arm and Week face fly have blood"""
James Thomas;james_thomas_7991;38.0;49.1;79.2;"""Important adult; Hand know Trouble remain everyone investment article"""
