username	name	salary	score	description	comment
mr_palmer_8173	Mr Harry Palmer	83.0	78.1	"""Dolorem nihil ad ipsum quibusdam illum; Unde totam 	 Odit culpa minima"""	"""Placeat illum quos: Vel numquam inventore expedita	 Quae quisquam"""
rosie_morton_9753	Rosie Morton	81.0	1.1	"""Voluptate rerum dolores exercitationem	 Optio debitis Aliquid dolores"""	"""Aliquid neque perferendis	 Dicta sequi harum Ratione mollitia reprehenderit"""
jenna_smith_9379	Jenna Smith	50.0	81.1	"""Note: Fuga fuga	 then Fugiat reprehenderit quia"""	"""Note: Ullam quidem quia necessitatibus	 then Magni"""
dr_hunter_8135	Dr Shirley Hunter	10.0	63.1	"""Note: Excepturi distinctio doloremque	 then Accusamus odit"""	"""(Amet) 	 Recusandae and Occaecati molestias laudantium quia"""
marcus_hughes_7597	Marcus Hughes	76.0	14.1	"""Totam occaecati	 Odio beatae cum illo nemo Temporibus vel"""	"""Repellat cum: Voluptatem commodi	 Qui tempore voluptatem ut repellendus"""
paul_hopkins_1645	Paul Matthews-Hopkins	80.0	40.1	"""Laboriosam neque doloribus: Adipisci mollitia	 Incidunt in rerum"""	"""Eligendi assumenda	 Esse iste accusantium Officia maxime eius culpa sed"""
jason_williams_4941	Jason Williams	3.0	35.1	"""Saepe ut ex cupiditate	 Explicabo fugiat Nihil architecto autem"""	"""Placeat doloremque	 Perspiciatis temporibus Nesciunt repudiandae"""
rita_howard_7487	Rita Howard	30.0	52.1	"""Nam incidunt non; Incidunt corrupti odit ipsa 	 Culpa reprehenderit"""	"""(Nostrum placeat) 	 Quasi magnam quod consectetur and Harum voluptatum eaque voluptatibus sapiente"""
allan_hussain_7869	Allan Hussain	27.0	95.1	"""Quae aperiam; Explicabo nemo qui voluptate 	 Veritatis est eligendi"""	"""Note: Nobis quos delectus	 then Odit"""
mr_atkinson_0901	Mr Max Atkinson	12.0	77.1	"""Molestias eos dicta illo	 Earum dolorem dolores Eius"""	"""Sapiente excepturi magni: Suscipit illum illo unde	 Earum eos"""
samuel_jackson_2199	Samuel Jackson	52.0	62.1	"""Consectetur natus est; Nesciunt aut explicabo 	 Assumenda provident alias qui vero ut"""	"""Illo ipsum temporibus neque; Facilis adipisci ipsa 	 Praesentium reprehenderit consequatur"""
ms_price_0698	Ms Beverley Price	98.0	78.1	"""Minus ad non distinctio omnis	 Tenetur dicta quia Dolores ratione"""	"""Note: Cum magnam adipisci ratione tempora	 then Incidunt sequi"""
ms_turner_9676	Ms Stacey Turner	47.0	14.1	"""(Maiores vel expedita ipsa beatae debitis) 	 Distinctio ab id and Soluta porro"""	"""(Recusandae doloribus earum consequuntur) 	 Quis itaque aperiam and Deserunt sed porro omnis"""
dennis_walsh_3925	x	27.0	63.1	"""Animi dignissimos numquam	 Rem expedita tempora nam Facilis quibusdam iusto qui animi"""	"""Itaque corporis adipisci: Quos ut sunt natus facilis	 Quam culpa officiis delectus"""
andrea_gray_9294	Andrea Gray		66.1	"""Note: A itaque maxime cum nam	 then Ab voluptate optio"""	"""Voluptas voluptate	 Ea corporis facilis Architecto excepturi harum"""
charlene_cooper_9186	Charlene Cooper	12.0		"""Occaecati dolor vel illo veritatis aliquid: Quia quam quibusdam aliquid quae	 Facere cumque nobis"""	"""Veniam cumque: Magnam aliquam suscipit vel	 Officiis quaerat ipsam earum"""
richard_green_4880	Richard Roberts-Green	83.0	70.1	"""Quod cumque: Et at	 Velit earum"""	"""Tempora	 Voluptatibus aspernatur laboriosam repudiandae odit cupiditate Qui vitae"""
dean_riley_8673	Dean Riley	38.0	61.1	"""Exercitationem ut ducimus	 Veniam earum quod Deleniti"""	"""Cumque quibusdam odio quia sint: Asperiores	 Distinctio dolorem debitis alias"""
ms_bowen_0190	Ms Susan Bowen	10.0	19.1	"""Praesentium quas ipsam	 Veritatis velit Nemo veniam aliquid"""	"""(At aliquam rerum ipsa iure) 	 Sit deleniti and Voluptates"""
mrs_burton_8024	Mrs Shannon Burton	33.0	52.1	"""Aliquid molestiae	 Sed id ipsam quidem alias Deserunt dicta vero"""	"""Porro esse suscipit: Error sed adipisci est odit	 Occaecati facere unde"""
tom_ford_1377	Tom Ford	69.0	62.1	"""Note: Quod cupiditate earum eos	 then Impedit asperiores"""	"""Id libero excepturi molestias	 Sunt quam cum sunt distinctio Nulla"""
