name;username;total_count;price;summary
Randy Phelps;randy_phelps_2906;57.0;40.1;'''Mrs trip; Charge cup white Popular receive major answer'''
Matthew Bryant DDS;matthew_dds_3819;24.0;49.1;'''Note: Fund whose need stuff early; then Interesting soldier step hold'''
Evan Taylor;evan_taylor_8453;43.0;11.1;'''(Accept agreement) ; Part game eat and Loss'''
Daniel Turner;daniel_turner_5012;15.0;82.1;'''(Bag close) ; Break education and Least hour forward two natural every'''
Howard Lewis;howard_lewis_0581;3.0;96.1;'''Impact main dinner end; Old white yet Full growth task apply man after'''
Nancy Lynch;nancy_lynch_3894;86.0;50.1;'''(Son me) ; Would garden present future and Wonder into pick program network finish'''
Kelli Riley;kelli_riley_7125;65.0;9.1;'''Receive process beyond up section behavior: Group represent; Laugh until'''
Manuel Clark;manuel_clark_9830;70.0;51.1;'''Art page firm; Allow drug fast billion ; Party wait'''
James Henderson;james_henderson_4219;56.0;31.1;'''Positive case; Energy dinner evidence Job physical baby on bar'''
Melanie Ford;melanie_ford_2695;98.0;60.1;'''(Sure business remain) ; Be and Then prove upon threat sea'''
Erin Hale;erin_hale_0860;45.0;53.1;'''Use maybe husband; Your work never lead ; Method whatever'''
Stacey Sanders;stacey_sanders_4297;71.0;9.1;'''(Memory weight hotel watch) ; This student door college and After recognize here yeah gas'''
Taylor Crosby;taylor_crosby_3023;52.0;79.1;'''Important minute meeting; Data run save American yeah Talk decision'''
Adriana Jacobs;adriana_jacobs_3763;33.0;22.1;'''Note: World south list fish central; then Much ground consumer'''
Elizabeth Hicks;elizabeth_hicks_5680;68.0;13.1;'''Son: Listen feel across; Somebody stop century'''
Peter Perkins;peter_perkins_1922;31.0;80.1;'''Note: Stop political city reality paper season; then Story also several hundred Congress'''
Tim Greene;tim_greene_9370;34.0;76.1;'''System degree; Food value former serious surface eye ; Another never'''
Dr. Kenneth Baker;dr_baker_4857;56.0;84.1;'''Drive power deep: Community media product; Science attention'''
Jason Mullins;jason_mullins_2046;22.0;46.1;'''(Generation two) ; Catch mention certainly baby and Certainly'''
x;michael_mosley_0655;100.0;34.1;'''Treat explain; Southern movie issue away maintain ; Chance teacher'''
Jeremy Bowen PhD;jeremy_phd_1579;37.0;89.1;'''Edge; Goal product Leg play'''
Benjamin Miller;benjamin_miller_4401;34.0;43.1;'''Son where middle yard economy enough; Wear reveal test ; Television under'''
Monica Liu;monica_liu_9420;37.0;24.1;'''(Record) ; Participant and Involve three media investment according century card'''
Jeanette Williams;jeanette_williams_5786;21.0;15.1;'''Note: Adult world simple; then Human pay'''
Ricky Adams;ricky_adams_2091;19.0;14.1;'''Send increase boy; Recent bring Color seek'''
Laura Taylor;laura_taylor_7072;67.0;78.1;'''(Medical) ; Worry just and Firm personal so pay accept'''
Melissa Osborn;melissa_osborn_3379;42.0;99.1;'''(Focus minute above) ; Brother admit move and Along pay'''
Angelica Keller;angelica_keller_0829;44.0;47.1;'''Mother language; Feel front policy ; Into wear'''
Molly Harris;molly_harris_8017;;70.1;'''Note: Skin; then Field general'''
Gary Brown II;gary_ii_5806;10.0;;'''Note: Run; then Capital begin artist'''
Glen Smith;glen_smith_7963;77.0;88.1;'''Note: Him senior; then Particularly vote little individual'''
Jon Hendricks;jon_hendricks_5491;69.0;82.1;'''General maintain; Government international market ; Western fill will left'''
Nancy Farmer;nancy_farmer_4421;68.0;1.1;'''Tend day very; Quite Lay picture thought husband medical such'''
Kevin Stephens;kevin_stephens_6241;87.0;34.1;'''Bring hour past scene mouth; General police save first reveal Discussion skin'''
Michael Jenkins;michael_jenkins_7353;40.0;35.1;'''Sort choose base more win; Small dinner sit hospital Both serve information describe top'''
Steven Li;steven_li_7827;88.0;1.1;'''Across former law but; Actually budget Money property term study'''
Justin Arnold;justin_arnold_0104;15.0;50.1;'''Note: Which mind usually; then Eight force'''
Robert Rogers;robert_rogers_9459;80.0;88.1;'''Group edge law recognize family fight thought; Shoulder ; Partner future place'''
Samantha Brown;samantha_brown_6544;39.0;14.1;'''Region during hope weight buy policy; Network might song Use amount'''
Kristen Jackson;kristen_jackson_9032;87.0;32.1;'''Image result; Admit hold result shoulder source foreign Player although maintain everything'''
Thomas Murphy;thomas_murphy_5736;72.0;82.1;'''Environmental forward; Condition none rock evening firm ; View brother local'''
Ann Cohen;ann_cohen_3464;31.0;72.1;'''Whole much painting reason; Describe late ; Team although'''
Melissa Cox;melissa_cox_1869;11.0;75.1;'''Laugh especially method attack; Worker listen concern Social hair least'''
Patricia Coleman;patricia_coleman_7382;97.0;52.1;'''(Soldier choice believe deal minute) ; Hundred than and Free black there speech determine'''
David Parker;david_parker_7621;5.0;19.1;'''Or a red everybody white; Just eight Amount understand'''
Shane Smith;shane_smith_6762;99.0;61.1;'''(Free lay) ; Road catch movement turn easy into and Democrat participant suffer'''
Christopher Soto;christopher_soto_9398;49.0;84.1;'''Name song total people; May hair hospital hospital inside citizen ; Firm knowledge president evidence appear per'''
David Bishop;david_bishop_1764;70.0;83.1;'''Find hot begin safe discussion country: Series difference sport action show; Management machine arm'''
Kelly Rice;kelly_rice_6250;33.0;19.1;'''Ok; Civil food factor Cover top just'''
Ricky Hill;ricky_hill_9779;96.0;11.1;'''Allow specific: Sell sister; Political better American hard'''
