name,username,age,price,note
Angel Anderson,angel_anderson_2435,28.0,5.1,"""Note: Individual service choose, then Group off"""
Denise Odonnell,denise_odonnell_6835,89.0,41.1,"""Toward: Officer moment tell expect future, Test away senior"""
Kayla Webb,kayla_webb_0646,80.0,30.1,"""Their top improve: Term identify improve laugh, Student discuss imagine fine"""
Jared Jackson,jared_jackson_9158,81.0,20.1,"""Hand growth movie allow: Ground serve large, Boy reason"""
Ryan Flores,ryan_flores_8786,20.0,76.1,"""Move teach, Nature actually into now Maybe"""
Michael Fitzgerald,michael_fitzgerald_4740,44.0,8.1,"""Note: Month list, then Nice more have experience"""
Julia Burton,julia_burton_0955,18.0,12.1,"""Big floor beat peace power; Issue out , Thus those resource page knowledge"""
Alejandro Brown,alejandro_brown_0178,31.0,,"""Bag way, Answer raise democratic imagine under Thank strategy of world want"""
Philip Elliott,philip_elliott_4463,43.0,48.1,"""Book set; Instead time , Bit building"""
Scott Gordon,scott_gordon_2723,26.0,97.1,"""Note: Mrs marriage key until sister, then Product especially"""
Bailey Gay,bailey_gay_9724,27.0,3.1,"""Important top participant, Should Their spend pass"""
Katherine Miller,katherine_miller_4664,16.0,9.1,"""(Necessary main right) , Hold affect probably and Watch travel small might wear"""
Jennifer Hill,jennifer_hill_5250,56.0,79.1,"""Skin however claim seven near; Radio everyone blue ball , Teacher management"""
Carolyn Barnett,carolyn_barnett_3588,22.0,6.1,"""Probably project south water former more, Executive around dark Their study"""
Anthony Ruiz,anthony_ruiz_9327,32.0,33.1,"""(Whom far) , Contain themselves owner similar and Theory give only report"""
Teresa Chavez,teresa_chavez_2071,40.0,72.1,"""Probably; Subject oil sort already action drug , Campaign whose player southern table white"""
Heather Orr,heather_orr_2608,28.0,7.1,"""(Student style across) , Against and Hot add"""
D,donna_thomas_5621,99.0,34.1,"""Property from: Let somebody us indicate hour resource, Else education first"""
Stephanie Rodriguez,stephanie_rodriguez_2469,59.0,55.1,"""High investment; As order avoid , Key recently whole better against president"""
Eric Jones,eric_jones_5833,64.0,33.1,"""Note: Court nature note, then Leader radio or"""
Ryan Green,ryan_green_0581,61.0,54.1,"""Note: Save follow Congress, then Value series"""
Katie Cummings,katie_cummings_3463,29.0,44.1,"""Team their stop; South reflect gun seven , Always raise"""
Samantha Taylor,samantha_taylor_9020,54.0,73.1,"""Note: Involve former even her stay arm mission, then Rate"""
Craig Watkins,craig_watkins_7286,,5.1,"""Note: She officer my, then Theory leg during personal"""
