name	total_count	comment
Sharon Davies	86.0	'''Ducimus magni molestias quod sint	 Neque Laudantium maiores iste odio'''
Garry Parker	88.0	'''Note: Esse delectus unde	 then Cupiditate voluptatem at'''
Molly Ferguson	42.0	'''Laudantium quasi libero accusamus vel: Voluptate ullam	 Possimus'''
Kieran Hall	86.0	'''Sequi rerum possimus iusto; Vitae itaque quidem deserunt 	 Tempore consequuntur repudiandae consequatur explicabo'''
Jacob Wood	15.0	'''Consectetur minima corrupti deleniti consequuntur; Blanditiis praesentium 	 Quisquam'''
Connor Ward	70.0	'''Maxime quam illo tempore ex asperiores: Assumenda accusantium modi saepe	 Nulla officiis'''
l	28.0	'''Autem placeat asperiores: Maiores quisquam nisi	 Repellendus quisquam vel'''
Arthur Morgan	46.0	'''Note: Explicabo reiciendis odio illo illum architecto ullam	 then Error nemo'''
Elizabeth Ward	10.0	'''Nobis asperiores excepturi quia officiis fugit: Ab a	 Doloremque officiis maxime'''
Mark Watson-Evans	19.0	'''Note: Ipsum at non officiis quia	 then Perspiciatis et'''
Dr Deborah Watkins	75.0	'''Saepe assumenda iure	 Eum eveniet Corrupti'''
Mr Rhys Lewis	7.0	'''Note: Vero accusamus commodi magnam cumque	 then Nesciunt quasi'''
Donna Randall	63.0	'''Quos; Architecto sapiente in magnam 	 Modi libero'''
Martin Harris	48.0	'''Dolor veritatis natus accusamus quae; Animi laboriosam maxime itaque numquam reprehenderit 	 Vero cum'''
Francis Robinson	82.0	'''Recusandae nesciunt	 Reprehenderit doloremque ad at Numquam eum velit'''
Mrs Kayleigh Burgess	94.0	'''(Officia ex rerum) 	 Illum dignissimos deserunt ex and Cum doloribus et consequuntur quaerat quo'''
Mr Thomas Morris	84.0	'''(Eligendi consectetur blanditiis) 	 Rem excepturi dolor odit impedit consequuntur and Enim quasi'''
Ruth Jones	50.0	'''Ratione quaerat: Consequuntur neque	 Nisi nostrum'''
Jasmine Lee	83.0	'''(Ex tenetur soluta asperiores libero) 	 Molestiae doloremque and Amet'''
Mrs Hayley Humphreys	33.0	'''Laborum odit veritatis officia nemo animi: Dolor quia ducimus expedita	 Dolores impedit'''
Teresa Thomas		'''Id atque; Neque accusamus 	 Dolore nisi'''
Marcus Day	95.0	'''Exercitationem adipisci accusantium tenetur itaque	 Quia dolores neque eveniet Repudiandae asperiores'''
Dr Charlotte Hall	66.0	'''Note: Rem pariatur	 then Ratione modi impedit iure'''
Dr Georgina Harris	25.0	'''Itaque: Cumque a error laudantium ut	 Reprehenderit quo officiis'''
Marcus Godfrey	78.0	'''(Est corrupti voluptates hic) 	 Incidunt officia and Consectetur distinctio libero earum'''
'Danielle O''Connor'	7.0	'''Sapiente illo repellat: Rerum consequuntur	 Explicabo autem'''
Karl Wilkinson	70.0	'''Ducimus optio; Ratione asperiores et eius eaque 	 Unde totam'''
Sophie Hill	69.0	'''Ullam aliquid at: Iusto accusamus eveniet unde dolorum ut	 Sint vitae deleniti laudantium'''
Mrs Clare Richards	82.0	'''Note: Itaque	 then Ipsa'''
Sharon Shaw-Wood	75.0	'''Asperiores vitae; Et nostrum nihil officiis 	 Soluta'''
Dr Georgia Reynolds	49.0	'''Repudiandae laudantium; Aliquid in enim cumque dolor 	 Earum nesciunt beatae neque'''
Dominic Williams	29.0	'''(Unde) 	 Quas dignissimos mollitia ad necessitatibus and Eos unde'''
Christopher Ward	84.0	'''Animi atque animi maiores nobis dolor	 Dignissimos ipsa Est neque ducimus aperiam possimus labore'''
Garry Lewis	31.0	'''Culpa saepe illum deleniti; Delectus adipisci accusamus 	 Vel odio odit'''
Shane Stanley	41.0	'''Assumenda perferendis quod: Optio earum consequuntur sint provident	 Repellendus quibusdam quam sunt illum'''
Jemma Elliott	65.0	'''Dolores blanditiis dolores voluptates culpa facere: Vel odit	 Id illum aliquam'''
Tony Warner	96.0	'''Voluptatem fugit in: Tempore quae dolores doloribus explicabo	 Quas eaque veniam quibusdam'''
